Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,A circle is the collection of points?,At same distance from centre,At different distance,Inside circle,Outside circle,At same distance from centre
MCQ,2,The fixed distance from centre to circle is called?,Diameter,Radius,Chord,Arc,Radius
MCQ,3,The longest chord of a circle is?,Radius,Diameter,Arc,Tangent,Diameter
MCQ,4,The centre of a circle lies?,On the circle,Inside the circle,Outside the circle,On diameter,Inside the circle
MCQ,5,A chord passing through centre is?,Radius,Diameter,Arc,Secant,Diameter
MCQ,6,How many radii does a circle have?,1,2,Infinite,4,Infinite
MCQ,7,How many diameters does a circle have?,1,2,Infinite,4,Infinite
MCQ,8,A diameter is how many times the radius?,1,2,3,4,2
MCQ,9,The radius is how many times the diameter?,1,1/2,2,3,1/2
MCQ,10,Which is true?,All diameters are equal,All chords are equal,All arcs are equal,None,All diameters are equal
MCQ,11,A chord divides the circle into?,Two arcs,Two radii,Two diameters,None,Two arcs
MCQ,12,A line segment joining centre to any point on circle is?,Diameter,Radius,Chord,Arc,Radius
MCQ,13,A chord that is not diameter lies?,Inside centre,Outside centre,At centre,None,Outside centre
MCQ,14,Which passes through centre?,Radius,Chord,Diameter,Arc,Diameter
MCQ,15,The distance around a circle is?,Area,Diameter,Circumference,Radius,Circumference
MCQ,16,A circle has how many centres?,0,1,2,Infinite,1
MCQ,17,Equal chords of a circle are?,Equidistant from centre,Unequal distance,Touch centre,None,Equidistant from centre
MCQ,18,Chords equidistant from centre are?,Equal,Unequal,Parallel,None,Equal
MCQ,19,Perpendicular from centre to chord?,Bisects chord,Equal chord,Parallel,None,Bisects chord
MCQ,20,Which is not part of circle?,Radius,Chord,Triangle,Diameter,Triangle
MCQ,21,The circle is a?,Polygon,Closed curve,Open curve,Line,Closed curve
MCQ,22,The plane figure bounded by circle is?,Arc,Circle,Disc,Radius,Disc
MCQ,23,The diameter divides circle into?,Two semicircles,Four quadrants,Two radii,None,Two semicircles
MCQ,24,If radius is 7 cm, diameter is?,7 cm,14 cm,21 cm,28 cm,14 cm
MCQ,25,If diameter is 10 cm, radius is?,2 cm,5 cm,10 cm,20 cm,5 cm
MCQ,26,Which is smaller?,Radius,Diameter,Arc,Circumference,Radius
MCQ,27,Which is bigger?,Radius,Diameter,Chord,Arc,Diameter
