Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "The Bond of Love"?,Ruskin Bond,Kenneth Anderson,Jerome K Jerome,R K Narayan,Kenneth Anderson
MCQ,2,What kind of animal is Bruno?,Dog,Bear,Monkey,Tiger,Bear
MCQ,3,What was Bruno also called?,Baba,Tommy,Raja,Sheru,Baba
MCQ,4,Who found Bruno?,Author,Author’s wife,Farmer,Hunter,Author
MCQ,5,Where was Bruno found?,Forest,Zoo,Field,River bank,Forest
MCQ,6,What had happened to Bruno’s mother?,Alive,Captured,Shot,Died naturally,Shot
MCQ,7,What did Bruno eat initially?,Milk,Fruits,Bread,All of these,All of these
MCQ,8,Where was Bruno kept at first?,House,Garden,Backyard,Garage,Garden
MCQ,9,Why was Bruno sent to the zoo?,He was sick,He was dangerous,No space,He escaped,He was dangerous
MCQ,10,Which zoo was Bruno sent to?,Delhi Zoo,Mysore Zoo,Bangalore Zoo,Madras Zoo,Mysore Zoo
MCQ,11,Who missed Bruno the most?,Author,Son,Wife,Neighbours,Wife
MCQ,12,What did the author’s wife do to get Bruno back?,Cried,Wrote letters,Visited zoo daily,Fell ill,Visited zoo daily
MCQ,13,Who helped in bringing Bruno back?,Zoo keeper,Superintendent,Minister,Friend,Superintendent
MCQ,14,Where was Bruno kept after returning?,House,Cage,Garden,Room,Cage
MCQ,15,What was the new enclosure called?,Zoo,Den,Island,Cave,Island
MCQ,16,How did Bruno react on seeing the author’s wife?,Angry,Indifferent,Joyful,Scared,Joyful
MCQ,17,What does the story mainly highlight?,Adventure,Animal cruelty,Love between humans and animals,Wildlife hunting,Love between humans and animals
MCQ,18,What quality of the author’s wife is shown?,Fear,Compassion,Anger,Laziness,Compassion
MCQ,19,Why was Bruno dangerous at home?,He bit people,He grew large,He was ill,He escaped,He grew large
MCQ,20,What type of bear was Bruno?,Polar bear,Sloth bear,Black bear,Panda,Sloth bear
MCQ,21,What game did Bruno like?,Chasing,Swimming,Playing ball,Climbing,Swimming
MCQ,22,What happened when Bruno was in the zoo?,He was sad,He forgot family,He died,He escaped,He was sad
MCQ,23,What did Bruno do when reunited?,Ignored,Ran away,Hugged author’s wife,Slept,Hugged author’s wife
MCQ,24,What lesson does the story teach?,Animals are dangerous,Animals need cages,Love creates strong bonds,Humans are superior,Love creates strong bonds
MCQ,25,What was Bruno’s favourite food?,Meat,Fruits,Milk,Porridge,Porridge
MCQ,26,What was used to keep Bruno safe?,Chain,Cage,Wall,Rope,Cage
MCQ,27,What made Bruno calm?,Food,Music,Author’s wife,Water,Author’s wife
MCQ,28,What emotion dominates the story?,Fear,Humour,Love,Sadness,Love
MCQ,29,Why did the author agree to bring Bruno back?,Pressure,Money,Wife’s love,Pity,Wife’s love
MCQ,30,What does Bruno symbolise?,Danger,Wildlife,Innocence,Loyalty,Loyalty
MCQ,31,What kind of relationship is shown?,Owner-pet,Human-animal bond,Friendship,Rivalry,Human-animal bond
MCQ,32,Why did neighbours fear Bruno?,Noise,Size,Attacks,Wild behaviour,Size
MCQ,33,What was Bruno’s reaction to captivity?,Happy,Sad,Neutral,Angry,Sad
MCQ,34,What is the tone of the story?,Comic,Serious,Emotional,Tragic,Emotional
MCQ,35,Who narrated the story?,Zoo keeper,Author’s wife,Author,Friend,Author
MCQ,36,What happened to Bruno at the zoo?,He thrived,He was lonely,He became wild,He escaped,He was lonely
MCQ,37,Why was the enclosure called an island?,Surrounded by water,On hill,In forest,In zoo,Surrounded by water
MCQ,38,What did Bruno do on the island?,Roamed freely,Slept all day,Fought animals,Escaped,Roamed freely
MCQ,39,How long did Bruno live with the family?,Few days,Few months,Many years,One year,Many years
MCQ,40,Why was Bruno dangerous to keep?,Wild instincts,Illness,Hunger,Noise,Wild instincts
MCQ,41,What is the central conflict?,Fear vs love,Man vs animal,Zoo vs home,Wild vs tame,Fear vs love
MCQ,42,How is Bruno treated by the author?,Cruelly,Casually,Lovingly,Indifferently,Lovingly
MCQ,43,What quality of animals is highlighted?,Cruelty,Faithfulness,Cunning,Laziness,Faithfulness
