Question,Answer
Decimals are numbers with a fractional part.,True
The decimal point separates whole and fractional parts.,True
0.5 is equal to 1/2,True
0.25 is equal to 1/4,True
0.75 is greater than 0.7,True
0.3 + 0.4 = 0.7,True
0.5 × 0.2 = 0.1,True
0.6 ÷ 0.2 = 3,True
0.3 < 0.4,True
0.45 > 0.5,False
0.9 - 0.3 = 0.6,True
0.8 + 0.15 = 0.95,True
0.7 × 0.5 = 0.35,True
0.6 ÷ 0.3 = 2,True
Adding decimals requires aligning decimal points.,True
Subtracting decimals requires aligning decimal points.,True
Multiplying decimals: multiply normally and place decimal.,True
Dividing decimals: convert divisor to whole number, then divide.,True
0.25 + 0.25 = 0.5,True
0.4 × 0.5 = 0.2,True
0.8 ÷ 0.4 = 2,True
0.7 < 0.75,True
0.6 + 0.05 = 0.65,True
0.9 - 0.2 = 0.7,True
0.3 ÷ 0.1 = 3,True
0.12 + 0.13 = 0.25,True
0.9 × 0.1 = 0.09,True
0.5 ÷ 0.2 = 2.5,True
0.8 - 0.8 = 0,True
0.1 + 0.2 = 0.3,True
0.15 × 2 = 0.3,True
0.75 ÷ 0.25 = 3,True
0.4 > 0.45,False
0.6 < 0.65,True
0.3 × 0.3 = 0.09,True
0.8 ÷ 0.4 = 1.5,False
0.2 ÷ 0.2 = 1,True
0.7 + 0.2 = 0.9,True
0.9 - 0.4 = 0.5,True
0.25 ÷ 0.5 = 0.5,True
0.125 × 8 = 1,True
0.3 + 0.03 = 0.33,True
0.1 + 0.02 = 0.12,True
0.05 × 4 = 0.2,True
0.2 ÷ 0.1 = 2,True
0.75 ÷ 0.25 = 4,False
0.3 × 0.1 = 0.03,True
0.9 - 0.45 = 0.45,True
0.6 + 0.15 = 0.75,True
0.7 × 0.5 = 0.35,True
0.8 ÷ 0.2 = 4,True
0.5 - 0.3 = 0.2,True
