Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who was Anne Frank's diary addressed to?,Kitty,Katty,Kitten,Kathy,Kitty
MCQ,2,What was Anne's nationality?,German,Dutch,Polish,Jewish,Dutch
MCQ,3,Why did Anne start writing a diary?,She loved writing,She had no real friend,She wanted to be famous,She was bored,She had no real friend
MCQ,4,What was the name of Anne's father?,Otto,Edith,Peter,Hermann,Otto
MCQ,5,Which subject did Anne find difficult?,Mathematics,History,Science,Geography,Mathematics
MCQ,6,Who was Mr. Keesing?,Anne's father,Anne's math teacher,Anne's neighbor,Anne's uncle,Anne's math teacher
MCQ,7,What punishment did Mr. Keesing give to Anne for talking in class?,Detention,Extra homework,Writing essays,Standing outside,Writing essays
MCQ,8,What was the topic of the first essay Mr. Keesing assigned to Anne?,My Family,A Chatterbox,My Best Friend,The Life of a Student,A Chatterbox
MCQ,9,How did Anne justify her talkative nature in her essay?,She blamed her friends,She said it was a family trait,She apologized,She promised to change,She said it was a family trait
MCQ,10,What was the title of Anne's second essay?,An Incorrigible Chatterbox,The Art of Silence,My Silent Days,The Importance of Quietness,An Incorrigible Chatterbox
MCQ,11,How did Mr. Keesing react to Anne's essays?,He was angry,He laughed,He ignored them,He gave her more homework,He laughed
MCQ,12,What was the name of Anne's elder sister?,Margot,Edith,Kitty,Hannah,Margot
MCQ,13,Where did Anne and her family go into hiding?,In a basement,In a friend's house,In the Secret Annex,In a forest,In the Secret Annex
MCQ,14,Who helped Anne's family while they were in hiding?,Mr. Keesing,Miep Gies,Mr. Van Daan,Peter,Miep Gies
MCQ,15,What was the name of Anne's mother?,Margot,Edith,Kitty,Hannah,Edith
MCQ,16,What did Anne call her diary?,Dear Diary,Kitty,My Friend,Anne's Diary,Kitty
MCQ,17,Why did Anne feel the need to write in a diary?,She wanted to become a writer,She had no real friend,She was bored,She wanted to document history,She had no real friend
MCQ,18,What was the date of Anne's first diary entry?,June 12, 1942,June 20, 1942,July 1, 1942,July 5, 1942,June 20, 1942
MCQ,19,How did Anne describe her family in her diary?,Loving and caring,Strict and harsh,Indifferent,Absent,Loving and caring
