Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "The Snake and the Mirror"?,R.K. Narayan,Vaikom Muhammad Basheer,Premchand,Ruskin Bond,Vaikom Muhammad Basheer
MCQ,2,What was the profession of the narrator?,Teacher,Doctor,Farmer,Lawyer,Doctor
MCQ,3,Where did the narrator live?,Village hut,Town house,Hostel,Hospital,Village hut
MCQ,4,What did the narrator earn?,High salary,Little money,Nothing,Inheritance,Little money
MCQ,5,What animal entered the room?,Dog,Cat,Snake,Rat,Snake
MCQ,6,Where did the snake sit?,Floor,Bed,Table,Shoulder,Shoulder
MCQ,7,What object attracted the snake?,Food,Light,Mirror,Sound,Mirror
MCQ,8,What was the narrator looking at before the snake came?,Book,Mirror,Window,Snake,Mirror
MCQ,9,What was the narrator thinking about?,Marriage,Money,Job,Food,Marriage
MCQ,10,What did the narrator plan to buy?,Car,House,Mirror,Clothes,Clothes
MCQ,11,How did the narrator describe himself?,Handsome,Poor,Ugly,Rich,Handsome
MCQ,12,What quality of the narrator is highlighted?,Bravery,Vanity,Anger,Fear,Vanity
MCQ,13,What type of snake was it?,Cobra,Viper,Python,Unknown,Cobra
MCQ,14,What saved the narrator’s life?,Luck,Prayer,Mirror,Snake mercy,Mirror
MCQ,15,What was the snake doing?,Sleeping,Watching narrator,Admiring itself,Attacking,Admiring itself
MCQ,16,What did the narrator do when snake moved?,Ran away,Shouted,Fainted,Stood still,Ran away
MCQ,17,Where did the narrator hide?,Bathroom,Roof,Neighbour’s house,Tree,Neighbour’s house
MCQ,18,How long did narrator stay away?,Few minutes,One hour,Whole night,Two days,Whole night
MCQ,19,What happened to narrator’s belongings?,Safe,Stolen,Broken,Burnt,Stolen
MCQ,20,Who stole his belongings?,Snake,Neighbours,Thieves,Animals,Thieves
MCQ,21,What was left behind?,Money,Clothes,Box,Dirty vest,Dirty vest
MCQ,22,What tone does the story have?,Tragic,Serious,Humorous,Horror,Humorous
MCQ,23,The story is an example of?,Tragedy,Comedy,Autobiography,Fantasy,Autobiography
MCQ,24,What theme is central to the story?,Fear and humour,War,Love,Adventure,Fear and humour
MCQ,25,What quality of snake is shown?,Cruelty,Intelligence,Vanity,Anger,Vanity
MCQ,26,Why didn’t the snake bite?,No venom,It was sleepy,Mirror distracted,It was friendly,Mirror distracted
MCQ,27,What did narrator fear the most?,Snake bite,Darkness,Loneliness,Poverty,Snake bite
MCQ,28,What did narrator think snake would do?,Sleep,Bite,Leave,Dance,Bite
MCQ,29,How did narrator escape?,Slowly,Silently,Running,Climbing,SIlently
MCQ,30,What did narrator realise later?,Fear useless,Luck saved him,Snake kind,Mirror magic,Luck saved him
MCQ,31,What did mirror symbolise?,Beauty,Vanity,Light,Hope,Vanity
MCQ,32,What kind of house was it?,Well built,New,Old and poor,Luxurious,Old and poor
MCQ,33,What did narrator lose?,Everything,Money only,Clothes only,Nothing,Everything
MCQ,34,What lesson does the story teach?,Bravery,Pride,Humility,Fearlessness,Humility
MCQ,35,How is fear portrayed?,Seriously,Lightly,Dramatically,Angrily,Lightly
MCQ,36,What kind of person was narrator?,Proud,Greedy,Simple,Lazy,Proud
MCQ,37,Why is story amusing?,Snake behaviour,Narrator thoughts,Unexpected events,All of these,All of these
MCQ,38,What was narrator’s age?,Young,Middle-aged,Old,Teenager,Young
MCQ,39,What saved narrator from snake bite?,Mirror reflection,Luck,Prayer,Speed,Mirror reflection
MCQ,40,What happened after narrator returned?,House empty,Snake dead,Police came,Fire,House empty
MCQ,41,What did narrator learn about life?,Fear is useless,Pride dangerous,Humility needed,All of these,All of these
MCQ,42,Snake’s action shows?,Intelligence,Vanity,Kindness,Fear,Vanity
MCQ,43,What literary device is used?,Irony,Simile,Metaphor,Alliteration,Irony
MCQ,44,What was narrator’s reaction to snake?,Anger,Fear,Curiosity,Joy,Fear
MCQ,45,What made the situation comic?,Narrator thoughts,Snake vanity,Mirror,All,All
MCQ,46,How did narrator describe the snake?,Dangerous,Beautiful,Big,Silent,Beautiful
MCQ,47,Why didn’t narrator scream?,Fear,Shock,Wisdom,Snake threat,Fear
