Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The angle of incidence is equal to the angle of reflection. This is:,First law of reflection,Second law of reflection,Law of refraction,Law of dispersion,Second law of reflection
MCQ,2,The incident ray, the reflected ray, and the normal at the point of incidence lie in the same plane. This is:,First law of reflection,Second law of reflection,Law of refraction,Law of dispersion,First law of reflection
MCQ,3,A concave mirror forms a real and inverted image when the object is placed:,At infinity,At the focus,Between focus and pole,Between focus and center of curvature,Beyond the center of curvature
MCQ,4,A convex mirror always forms:,Real and inverted image,Virtual and erect image,Real and erect image,Virtual and inverted image,Virtual and erect image
MCQ,5,The mirror formula is:,1/f = 1/v + 1/u,1/f = 1/v - 1/u,1/f = -1/v + 1/u,f = v + u,1/f = 1/v + 1/u
MCQ,6,For a concave mirror, the focal length is:,Positive,Negative,Zero,Infinite,Negative
MCQ,7,For a convex mirror, the focal length is:,Positive,Negative,Zero,Infinite,Positive
MCQ,8,The magnification (m) for a mirror is given by:,-v/u,v/u,-u/v,u/v,-v/u
MCQ,9,When magnification is negative, the image is:,Real and inverted,Virtual and erect,Real and erect,Virtual and inverted,Real and inverted
MCQ,10,The refractive index of a medium is defined as the ratio of:,Speed of light in vacuum to speed of light in medium,Speed of light in medium to speed of light in vacuum,Wavelength in vacuum to wavelength in medium,Wavelength in medium to wavelength in vacuum,Speed of light in vacuum to speed of light in medium
MCQ,11,Snell's law states that:,(sin i)/(sin r) = constant,(sin r)/(sin i) = constant,sin i × sin r = constant,sin i + sin r = constant,(sin i)/(sin r) = constant
MCQ,12,The refractive index of glass is approximately:,1.0,1.5,2.0,2.5,1.5
MCQ,13,The refractive index of water is approximately:,1.0,1.33,1.5,2.0,1.33
MCQ,14,A convex lens converges light rays and is also called:,Diverging lens,Converging lens,Plano lens,Concave lens,Converging lens
MCQ,15,A concave lens diverges light rays and is also called:,Converging lens,Diverging lens,Plano lens,Convex lens,Diverging lens
MCQ,16,For a convex lens, the focal length is:,Positive,Negative,Zero,Infinite,Positive
MCQ,17,For a concave lens, the focal length is:,Positive,Negative,Zero,Infinite,Negative
MCQ,18,The lens formula is:,1/f = 1/v - 1/u,1/f = 1/v + 1/u,1/f = -1/v - 1/u,f = v - u,1/f = 1/v - 1/u
MCQ,19,The power of a lens is given by:,1/f (in meters),f (in meters),1/f (in cm),f (in cm),1/f (in meters)
MCQ,20,The unit of power of a lens is:,Meter,Centimeter,Diopter,Volt,Diopter
MCQ,21,A convex lens forms a real and inverted image when the object is placed:,At infinity,At the focus,Between focus and optical center,Beyond the focus,Beyond the focus
MCQ,22,A concave lens always forms:,Real and inverted image,Virtual and erect image,Real and erect image,Virtual and inverted image,Virtual and erect image
