Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The process by which organisms produce new individuals of their own kind is called:,Growth,Development,Reproduction,Metabolism,Reproduction
MCQ,2,Reproduction that involves only one parent is called:,Sexual reproduction,Asexual reproduction,Binary fission,Budding,Asexual reproduction
MCQ,3,Reproduction that involves two parents is called:,Asexual reproduction,Sexual reproduction,Binary fission,Fragmentation,Sexual reproduction
MCQ,4,The type of reproduction in Amoeba is:,Budding,Binary fission,Fragmentation,Spore formation,Binary fission
MCQ,5,The type of reproduction in Hydra is:,Binary fission,Budding,Fragmentation,Spore formation,Budding
MCQ,6,The type of reproduction in Planaria is:,Binary fission,Budding,Fragmentation,Spore formation,Fragmentation
MCQ,7,The type of reproduction in Rhizopus (bread mould) is:,Binary fission,Budding,Fragmentation,Spore formation,Spore formation
MCQ,8,The male reproductive organ in plants is:,Stamen,Pistil,Ovary,Stigma,Stamen
MCQ,9,The female reproductive organ in plants is:,Stamen,Pistil,Anther,Stamen,Pistil
MCQ,10,The male gamete in plants is produced in:,Ovary,Anther,Stigma,Style,Anther
MCQ,11,The female gamete in plants is produced in:,Anther,Ovary,Stamen,Pollen,Ovary
MCQ,12,The process of fusion of male and female gametes is called:,Fertilization,Pollination,Germination,Transpiration,Fertilization
MCQ,13,The process of transfer of pollen from anther to stigma is called:,Fertilization,Pollination,Germination,Transpiration,Pollination
MCQ,14,Pollination by wind is called:,Anemophily,Entomophily,Hydrophily,Ornithophily,Anemophily
MCQ,15,Pollination by insects is called:,Anemophily,Entomophily,Hydrophily,Ornithophily,Entomophily
MCQ,16,The male reproductive organ in humans is:,Ovary,Testis,Uterus,Fallopian tube,Testis
MCQ,17,The female reproductive organ in humans is:,Testis,Ovary,Penis,Scrotum,Ovary
MCQ,18,The male gamete in humans is called:,Ovum,Sperm,Zygote,Embryo,Sperm
MCQ,19,The female gamete in humans is called:,Sperm,Ovum,Zygote,Embryo,Ovum
MCQ,20,The fertilized egg is called:,Sperm,Ovum,Zygote,Embryo,Zygote
MCQ,21,The site of fertilization in humans is:,Ovary,Uterus,Fallopian tube,Vagina,Fallopian tube
