Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,The basic instruments used for geometrical constructions are?,Ruler and compass,Ruler and protractor,Compass and protractor,Divider and scale,Ruler and compass
MCQ,2,Which instrument is used to draw arcs?,Ruler,Compass,Protractor,Divider,Compass
MCQ,3,Which instrument is used to draw straight lines?,Compass,Divider,Ruler,Protractor,Ruler
MCQ,4,Which angle can be constructed using compass and ruler?,30°,45°,60°,All of these,All of these
MCQ,5,To construct a 60° angle, which arc is used?,Semicircle,Equilateral triangle,Right triangle,Isosceles triangle,Equilateral triangle
MCQ,6,Which angle cannot be directly constructed?,30°,45°,60°,20°,20°
MCQ,7,Perpendicular bisector divides a line segment into?,Two unequal parts,Two equal parts,Three parts,None,Two equal parts
MCQ,8,Angle bisector divides an angle into?,Two equal angles,Two unequal angles,Three angles,None,Two equal angles
MCQ,9,Which construction uses equal radius arcs?,Perpendicular bisector,Angle bisector,Both,None,Both
MCQ,10,What is the first step in most constructions?,Draw a rough figure,Measure angle,Use compass,None,Draw a rough figure
MCQ,11,Which angle is constructed by bisecting 90°?,30°,45°,60°,90°,45°
MCQ,12,Which angle is constructed by bisecting 60°?,30°,45°,90°,120°,30°
MCQ,13,A perpendicular bisector always passes through?,Midpoint,Endpoint,Vertex,None,Midpoint
MCQ,14,An angle bisector divides angle in ratio?,1:1,2:1,3:1,Depends,1:1
MCQ,15,Which construction needs compass opened more than half?,Perpendicular bisector,Angle bisector,None,Both,Both
MCQ,16,Which angle is used to construct 15°?,30°,45°,60°,90°,30°
MCQ,17,Which angle is bisected to get 22.5°?,45°,60°,90°,30°,45°
MCQ,18,What is the locus of points equidistant from endpoints?,Perpendicular bisector,Angle bisector,Median,None,Perpendicular bisector
MCQ,19,To draw perpendicular at a point on line, arcs are drawn?,Above line,Below line,Both sides,None,Both sides
MCQ,20,Which construction creates a right angle?,Perpendicular line,Angle bisector,Median,None,Perpendicular line
MCQ,21,Which angle is half of 90°?,30°,45°,60°,15°,45°
MCQ,22,Which is not needed in construction?,Compass,Ruler,Protractor,Sharp pencil,Protractor
MCQ,23,The bisector of a straight angle is?,45°,90°,180°,60°,90°
MCQ,24,Which angle is formed by perpendicular lines?,45°,60°,90°,120°,90°
MCQ,25,Which is constructed first to get 75°?,60°,45°,30°,90°,60°
MCQ,26,Which angle is sum of 45° and 30°?,75°,60°,90°,15°,75°
MCQ,27,Which angle is difference of 45° and 30°?,15°,75°,60°,90°,15°
MCQ,28,Which angle cannot be obtained by bisection?,20°,15°,22.5°,30°,20°
MCQ,29,The midpoint of line segment is found by?,Angle bisector,Perpendicular bisector,Median,None,Perpendicular bisector
MCQ,30,Which is a valid construction?,Angle 60°,Angle 90°,Angle 45°,All,All
MCQ,31,Which tool helps draw circles?,Ruler,Compass,Protractor,None,Compass
MCQ,32,Which angle is supplementary of 60°?,120°,30°,90°,45°,120°
MCQ,33,Which construction gives 120°?,Exterior of 60°,Bisect 90°,Add 30°,None,Exterior of 60°
MCQ,34,Which angle is obtained by adding 45° and 45°?,60°,90°,120°,30°,90°
MCQ,35,Which construction ensures accuracy?,Rough drawing,Exact arcs,Guessing,None,Exact arcs
MCQ,36,Which angle is bisected to get 7.5°?,15°,30°,45°,60°,15°
MCQ,37,Which construction uses equal arcs from endpoints?,Perpendicular bisector,Angle bisector,Median,None,Perpendicular bisector
MCQ,38,Which angle is half of straight angle?,45°,60°,90°,180°,90°
MCQ,39,Which is used to mark equal distances?,Ruler,Compass,Protractor,None,Compass
MCQ,40,Which is not an angle?,Line,Point,Ray,Triangle,Point
MCQ,41,Angle formed by two intersecting lines?,Vertex,Right angle,Obtuse angle,None,Vertex
