Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The area of a circle with radius r is:,πr²,2πr,πr,2πr²,πr²
MCQ,2,The circumference (perimeter) of a circle with radius r is:,πr²,2πr,πr,2πr²,2πr
MCQ,3,The area of a sector of angle θ (in degrees) of a circle with radius r is:,(θ/360) × πr²,(θ/180) × πr²,θ × πr²,(θ/360) × 2πr,(θ/360) × πr²
MCQ,4,The length of arc of a sector of angle θ (in degrees) of a circle with radius r is:,(θ/360) × 2πr,(θ/180) × πr,θ × 2πr,(θ/360) × πr²,(θ/360) × 2πr
MCQ,5,The area of a segment of a circle is the area of the corresponding sector minus:,Area of triangle,Area of rectangle,Area of square,Area of circle,Area of triangle
MCQ,6,If the radius of a circle is 7 cm, its area is:,22 cm²,44 cm²,154 cm²,308 cm²,154 cm²
MCQ,7,If the radius of a circle is 7 cm, its circumference is:,22 cm,44 cm,154 cm,308 cm,44 cm
MCQ,8,The area of a circle is 154 cm². Its radius is:,7 cm,14 cm,21 cm,28 cm,7 cm
MCQ,9,The circumference of a circle is 44 cm. Its radius is:,7 cm,14 cm,21 cm,28 cm,7 cm
MCQ,10,If the area of a circle is 616 cm², its radius is:,7 cm,14 cm,21 cm,28 cm,14 cm
MCQ,11,If the circumference of a circle is 88 cm, its radius is:,7 cm,14 cm,21 cm,28 cm,14 cm
MCQ,12,The area of a sector of angle 60° of a circle with radius 6 cm is:,6π cm²,6π cm²,12π cm²,18π cm²,6π cm²
MCQ,13,The length of arc of a sector of angle 90° of a circle with radius 14 cm is:,11 cm,22 cm,33 cm,44 cm,22 cm
MCQ,14,The area of a quadrant of a circle with radius 14 cm is:,49π cm²,98π cm²,154 cm²,196π cm²,49π cm²
MCQ,15,If the area of a circle is increased by 44%, the percentage increase in radius is:,20%,22%,44%,88%,20%
MCQ,16,The area of a circle is 154 cm². Its circumference is:,22 cm,44 cm,154 cm,308 cm,44 cm
MCQ,17,The circumference of a circle is 44 cm. Its area is:,22 cm²,44 cm²,154 cm²,308 cm²,154 cm²
MCQ,18,If the radius of a circle is doubled, its area becomes:,2 times,4 times,8 times,Same,4 times
MCQ,19,If the radius of a circle is doubled, its circumference becomes:,2 times,4 times,8 times,Same,2 times
MCQ,20,The area of a ring (annulus) with outer radius R and inner radius r is:,π(R² - r²),π(R - r)²,2π(R - r),π(R + r),π(R² - r²)
MCQ,21,If the diameter of a circle is 14 cm, its area is:,22 cm²,44 cm²,154 cm²,308 cm²,154 cm²
MCQ,22,If the diameter of a circle is 14 cm, its circumference is:,22 cm,44 cm,154 cm,308 cm,44 cm
MCQ,23,The area of a semicircle with radius 7 cm is:,77 cm²,154 cm²,22 cm²,44 cm²,77 cm²
MCQ,24,The perimeter of a semicircle with radius 7 cm is:,(π + 2)7 cm,(π + 1)7 cm,π × 7 cm,2π × 7 cm,(π + 2)7 cm
MCQ,25,If the area of a sector is (1/4)th of the area of the circle, the angle of the sector is:,45°,60°,90°,120°,90°
MCQ,26,If the length of arc of a sector is equal to the radius, the angle of the sector is:,1 radian,57.3°,90°,180°,57.3°
MCQ,27,The area of a circle inscribed in a square of side 14 cm is:,49π cm²,98π cm²,154 cm²,196π cm²,49π cm²
MCQ,28,The area of a circle circumscribed about a square of side 14 cm is:,49π cm²,98π cm²,154 cm²,196π cm²,98π cm²
MCQ,29,If two circles of radii 5 cm and 3 cm have their centers 8 cm apart, the number of common tangents is:,0,1,2,4,2
MCQ,30,The area swept by the minute hand of a clock of length 14 cm in 5 minutes is:,77/3 cm²,154/3 cm²,77 cm²,154 cm²,77/3 cm²
MCQ,31,The area of a sector of angle 120° of a circle with radius 21 cm is:,462 cm²,231 cm²,154 cm²,77 cm²,462 cm²
MCQ,32,The length of arc of a sector of angle 72° of a circle with radius 25 cm is:,22 cm,44 cm,220/7 cm,440/7 cm,220/7 cm
MCQ,33,If the circumference of a circle is equal to the perimeter of a square, and the side of the square is 11 cm, the radius of the circle is:,7 cm,14 cm,21 cm,28 cm,7 cm
MCQ,34,The area of a circular park is 1386 m². Its radius is:,7 m,14 m,21 m,28 m,21 m
MCQ,35,The area of a sector is 77 cm² and the radius is 7 cm. The angle of the sector is:,60°,90°,120°,180°,90°
MCQ,36,The area of a segment of a circle of radius 14 cm, when the angle of the corresponding sector is 60°, is:,(308/3 - 49√3) cm²,(308/3 + 49√3) cm²,308 cm²,154 cm²,(308/3 - 49√3) cm²
MCQ,37,If the area of a circle is 616 cm², its diameter is:,14 cm,28 cm,42 cm,56 cm,28 cm
MCQ,38,The area of a circle whose circumference is 132 cm is:,1386 cm²,693 cm²,346.5 cm²,2772 cm²,1386 cm²
MCQ,39,The area of a sector of angle 45° of a circle with radius 28 cm is:,308 cm²,154 cm²,77 cm²,616 cm²,308 cm²
