Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who wrote the poem "Rain on the Roof"?,Robert Frost,Coates Kinney,John Keats,William Wordsworth,Coates Kinney
MCQ,2,The poem describes?,Storm,Rainfall,Thunder,River,Rainfall
MCQ,3,What is the poet doing in the poem?,Running,Sleeping,Listening to rain,Walking,Listening to rain
MCQ,4,Where does the poet lie?,Garden,Roof,Bed,Street,Bed
MCQ,5,The sound of rain creates?,Fear,Music,Memories,Sadness,Memories
MCQ,6,The rain brings memories of?,Friends,Mother,Teacher,Childhood,Mother
MCQ,7,What time of day is suggested?,Morning,Afternoon,Night,Noon,Night
MCQ,8,What does the poet call the rain?,Soft music,Drums,Noise,Silence,Soft music
MCQ,9,The poet’s mother is?,Alive,Dead,Ill,Absent,Dead
MCQ,10,The rain sound is described as?,Loud,Gentle,Harsh,Painful,Gentle
MCQ,11,The poet feels?,Fearful,Joyful,Comforted,Angry,Comforted
MCQ,12,The rain creates a feeling of?,Loneliness,Nostalgia,Anger,Hatred,Nostalgia
MCQ,13,What is meant by "humid shadows"?,Dark clouds,Damp darkness,Bright light,Dry heat,Damp darkness
MCQ,14,What happens to the poet’s heart?,Becomes heavy,Fills with joy,Becomes angry,Becomes cold,Fills with joy
MCQ,15,What does the rain tap?,Windows,Rooftop,Door,Floor,Rooftop
MCQ,16,The poem is mainly about?,Nature only,Memories and emotions,Rain science,Weather forecast,Memories and emotions
MCQ,17,The tone of the poem is?,Sad,Joyful,Reflective,Angry,Reflective
MCQ,18,The poet remembers his?,Father,Mother,Friends,Teacher,Mother
MCQ,19,What emotion dominates the poem?,Fear,Anger,Love,Calmness,Love
MCQ,20,The rain sound is compared to?,Song,Drum,Music,Thunder,Music
MCQ,21,What does the poet close?,Door,Book,Windows,Eyes,Eyes
MCQ,22,Why does the poet close his eyes?,To sleep,To imagine,To pray,To cry,To imagine
MCQ,23,What kind of memories are recalled?,Sad,Painful,Sweet,Bitter,Sweet
MCQ,24,The poem highlights?,Nature beauty,Childhood memories,Storm effects,Rain damage,Childhood memories
MCQ,25,What literary device is used for rain?,Simile,Metaphor,Personification,Alliteration,Personification
MCQ,26,What does the rain symbolize?,Problems,Memories,Destruction,Anger,Memories
MCQ,27,The poet’s mood is?,Restless,Peaceful,Angry,Fearful,Peaceful
MCQ,28,The mother’s presence is felt through?,Dreams,Memories,Voices,Photos,Memories
MCQ,29,What does "tinkle" suggest?,Loud noise,Harsh sound,Soft sound,Painful sound,Soft sound
MCQ,30,The poem is written in?,Free verse,Blank verse,Rhyming scheme,Prose,Rhyming scheme
MCQ,31,What does rain bring to poet’s mind?,Fear,Sorrow,Memories,Anger,Memories
