Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,How many major physical divisions does India have?,4,5,6,7,6
MCQ,2,Which is the northernmost physical division?,Coastal Plains,Peninsular Plateau,Indian Desert,Himalayan Mountains,Himalayan Mountains
MCQ,3,Which mountains are geologically young?,Aravallis,Himalayas,Nilgiris,Satpuras,Himalayas
MCQ,4,The Himalayas were formed by?,Volcanic activity,Folding of crust,Weathering,Erosion,Folding of crust
MCQ,5,Which range lies to the north of Great Himalayas?,Himachal,Himadri,Shiwalik,Trans-Himalaya,Trans-Himalaya
MCQ,6,Which range is known as Himadri?,Greater Himalayas,Lesser Himalayas,Outer Himalayas,None,Greater Himalayas
MCQ,7,Which range has highest peaks?,Shiwalik,Himachal,Himadri,None,Himadri
MCQ,8,Which range is the southernmost?,Himadri,Himachal,Shiwalik,None,Shiwalik
MCQ,9,Which plateau lies north of the plains?,Deccan Plateau,Central Highlands,Chotanagpur Plateau,None,Central Highlands
MCQ,10,Which is the oldest landmass?,Himalayas,Peninsular Plateau,Plains,Desert,Peninsular Plateau
MCQ,11,The Peninsular Plateau is composed of?,Sedimentary rocks,Igneous rocks,Metamorphic rocks,Old crystalline rocks,Old crystalline rocks
MCQ,12,Which plateau lies in eastern India?,Malwa Plateau,Chotanagpur Plateau,Deccan Plateau,None,Chotanagpur Plateau
MCQ,13,The Northern Plains are formed by?,Wind deposits,Glacial deposits,Alluvial deposits,Lava flows,Alluvial deposits
MCQ,14,Which rivers formed Northern Plains?,Indus Ganga Brahmaputra,Narmada Tapi,None,None,Indus Ganga Brahmaputra
MCQ,15,Which soil is found in Northern Plains?,Black soil,Laterite soil,Alluvial soil,Red soil,Alluvial soil
MCQ,16,Which desert lies in western India?,Gobi,Thar,Kalahari,None,Thar
MCQ,17,The Thar Desert lies to the?,East of Aravalli,West of Aravalli,North of Himalayas,None,West of Aravalli
MCQ,18,Which river flows through Thar Desert?,Yamuna,Luni,Ganga,None,Luni
MCQ,19,Which coastal plains lie on western side?,Eastern Coastal Plains,Western Coastal Plains,None,None,Western Coastal Plains
MCQ,20,Which coastal plains are wider?,Eastern,Western,Both,None,Eastern
MCQ,21,Which delta is largest?,Ganga delta,Mahanadi delta,Krishna delta,None,Ganga delta
MCQ,22,Which islands are volcanic?,Lakshadweep,Andaman and Nicobar,None,None,Andaman and Nicobar
MCQ,23,Lakshadweep islands are of?,Volcanic origin,Coral origin,Alluvial origin,None,Coral origin
MCQ,24,Which is the highest peak in India?,Mount Everest,K2,Kanchenjunga,Nanda Devi,Kanchenjunga
MCQ,25,Which plateau is rich in minerals?,Malwa,Chotanagpur,Deccan,None,Chotanagpur
MCQ,26,Which physical division is flat and fertile?,Plateau,Plains,Mountains,Desert,Plains
MCQ,27,Which river forms gorge?,Ganga,Brahmaputra,Narmada,None,Narmada
MCQ,28,Which river flows in rift valley?,Yamuna,Narmada,Ganga,None,Narmada
MCQ,29,Which plain is most densely populated?,Coastal Plains,Northern Plains,Desert,None,Northern Plains
MCQ,30,Which hills are in south India?,Aravalli,Western Ghats,Shiwalik,None,Western Ghats
MCQ,31,The Western Ghats are also called?,Nilgiris,Sahyadris,Cardamom Hills,None,Sahyadris
MCQ,32,Which plateau is triangular in shape?,Chotanagpur,Deccan,Malwa,None,Deccan
MCQ,33,Which coast has lagoons?,Eastern,Western,Both,None,Western
MCQ,34,Which physical feature protects India from cold winds?,Plains,Plateau,Himalayas,None,Himalayas
MCQ,35,Which area has sparse vegetation?,Plains,Plateau,Desert,None,Desert
MCQ,36,Which plateau is lava formed?,Malwa,Deccan,Chotanagpur,None,Deccan
