Chapter,Question,Option A,Option B,Option C,Option D,Answer
Ratio and Proportion,What is the ratio of 4 to 8?,1:2,2:1,4:8,8:4,1:2
Ratio and Proportion,The ratio 3:9 simplified is?,1:3,3:1,3:9,9:3,1:3
Ratio and Proportion,Which of the following is a proportion?,2:3 = 4:6,2:3 = 3:2,3:5 = 2:3,4:5 = 2:1,2:3 = 4:6
Ratio and Proportion,If a:b = 2:3, b:a = ?,3:2,2:3,1:1,2:2,3:2
Ratio and Proportion,If 5:10 = ? : 20,10,15,25,20,10
Ratio and Proportion,Which of the following ratios is equivalent to 4:6?,2:3,3:2,4:3,6:4,2:3
Ratio and Proportion,The proportion 3:4 = 9:12 is ?,True,False,Maybe,None,True
Ratio and Proportion,If 6:8 = x:16, x=?,12,14,10,8,12
Ratio and Proportion,If a:b = 5:7, then a:b in fraction form is?,5/7,7/5,5/12,7/12,5/7
Ratio and Proportion,The ratio of 15 to 20 is?,3:4,4:3,3:5,5:4,3:4
Ratio and Proportion,The ratio of 12 to 18 simplified?,2:3,3:2,4:6,6:4,2:3
Ratio and Proportion,In 2:5 = x:15, x=?,6,7,5,10,6
Ratio and Proportion,If 8:12 = ? : 36,24,28,30,32,24
Ratio and Proportion,Which of the following is a proportion?,5:10 = 1:2,5:10 = 2:1,3:6 = 3:1,2:4 = 3:6,5:10 = 1:2
Ratio and Proportion,If 3:4 = 9:x, x=?,12,10,15,8,12
Ratio and Proportion,The ratio of 25 to 5 is?,5:1,1:5,25:5,5:25,5:1
Ratio and Proportion,If a:b = 7:3, then b:a = ?,3:7,7:3,1:1,7:7,3:7
Ratio and Proportion,Equivalent ratio of 9:12 is?,3:4,4:3,6:8,2:3,3:4
Ratio and Proportion,If 10:15 = ? : 30,20,25,30,15,20
Ratio and Proportion,If 5:8 = x:24, x=?,15,16,18,20,15
Ratio and Proportion,Proportion means?,Two ratios are equal,Two numbers are equal,Two fractions are equal,All,Two ratios are equal
Ratio and Proportion,The ratio of 9 to 12 simplified?,3:4,4:3,2:3,6:8,3:4
Ratio and Proportion,If 7:9 = x:27, x=?,21,18,24,25,21
Ratio and Proportion,Which ratio is equal to 6:9?,2:3,3:2,4:6,3:4,2:3
Ratio and Proportion,If a:b = 3:7, then a:b in fraction?,3/7,7/3,3/10,7/10,3/7
Ratio and Proportion,The ratio of 50 to 20 simplified?,5:2,2:5,10:4,5:3,5:2
Ratio and Proportion,If 8:12 = x:18, x=?,12,10,15,16,12
Ratio and Proportion,The proportion 2:3 = 6:9 is?,True,False,None,Maybe,True
Ratio and Proportion,Equivalent ratio of 15:25 is?,3:5,5:3,5:8,3:8,3:5
Ratio and Proportion,If 12:16 = ? : 32,24,20,28,30,24
Ratio and Proportion,If 4:5 = x:25, x=?,20,15,25,30,20
Ratio and Proportion,Which of the following is a proportion?,6:9 = 2:3,6:9 = 3:2,4:8 = 3:6,5:10 = 3:7,6:9 = 2:3
Ratio and Proportion,If 7:14 = x:28, x=?,14,12,16,15,14
Ratio and Proportion,Ratio means?,Comparison between two numbers,Addition of two numbers,Subtraction,Multiplication,Comparison between two numbers
Ratio and Proportion,Proportion is used to?,Solve ratio problems,Solve addition problems,Solve subtraction problems,Solve division problems,Solve ratio problems
Ratio and Proportion,If 5:6 = x:18, x=?,15,12,14,16,15
Ratio and Proportion,Equivalent ratio of 10:15 is?,2:3,3:2,3:5,5:3,2:3
Ratio and Proportion,If 3:8 = x:32, x=?,12,10,14,15,12
Ratio and Proportion,Ratio of 21 to 7 simplified?,3:1,1:3,7:3,21:7,3:1
Ratio and Proportion,If a:b = 4:5, then b:a = ?,5:4,4:5,1:1,4:4,5:4
Ratio and Proportion,The proportion 5:6 = 10:12 is?,True,False,None,Maybe,True
Ratio and Proportion,If 6:7 = x:35, x=?,30,28,25,32,30
Ratio and Proportion,Equivalent ratio of 8:12?,2:3,3:2,3:4,4:3,2:3
Ratio and Proportion,If 7:9 = x:27, x=?,21,18,24,25,21
Ratio and Proportion,Ratio of 14 to 21 simplified?,2:3,3:2,7:3,7:6,2:3
Ratio and Proportion,If 10:12 = ? : 36,30,32,34,35,30
Ratio and Proportion,If 9:12 = x:24, x=?,18,20,22,16,18
Ratio and Proportion,Which ratio is equivalent to 12:18?,2:3,3:2,4:6,3:4,2:3
Ratio and Proportion,If 5:7 = x:21, x=?,15,14,16,18,15
Ratio and Proportion,Ratio of 40 to 10 simplified?,4:1,1:4,2:1,1:2,4:1
Ratio and Proportion,If 6:8 = ? : 32,24,28,30,32,24
