Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Minerals are defined as,Man-made substances,Naturally occurring substances,Artificial resources,Biotic resources,Naturally occurring substances
MCQ,2,Which mineral is known as the backbone of modern industry?,Copper,Iron ore,Gold,Aluminium,Iron ore
MCQ,3,Which mineral is used in steel production?,Bauxite,Iron ore,Mica,Limestone,Iron ore
MCQ,4,Which mineral is an important raw material for aluminium?,Iron ore,Bauxite,Manganese,Copper,Bauxite
MCQ,5,Which mineral is used in electrical industry?,Coal,Mica,Iron ore,Limestone,Mica
MCQ,6,Minerals found in cracks and crevices are called,Placer deposits,Veins and lodes,Residual deposits,Alluvial deposits,Veins and lodes
MCQ,7,Minerals deposited in river beds are called,Veins,Residual,Placer deposits,Igneous,Placer deposits
MCQ,8,Which type of coal has the highest carbon content?,Lignite,Peat,Bituminous,Anthracite,Anthracite
MCQ,9,Which is a non-metallic mineral?,Iron,Manganese,Mica,Copper,Mica
MCQ,10,Which mineral is used in cement industry?,Coal,Limestone,Mica,Bauxite,Limestone
MCQ,11,Which mineral is used as fuel?,Iron,Bauxite,Coal,Mica,Coal
MCQ,12,Which state is the largest producer of iron ore?,Odisha,Chhattisgarh,Goa,Karnataka,Odisha
MCQ,13,Which region has rich iron ore deposits?,Chotanagpur Plateau,Deccan Plateau,Western Ghats,Northern Plains,Chotanagpur Plateau
MCQ,14,Which mineral is obtained from placer deposits?,Iron,Bauxite,Gold,Manganese,Gold
MCQ,15,Which mineral is used in manufacturing aircraft?,Iron,Copper,Bauxite,Manganese,Bauxite
MCQ,16,Which energy resource is renewable?,Coal,Petroleum,Hydel power,Natural gas,Hydel power
MCQ,17,Which source of energy is called fossil fuel?,Solar,Wind,Coal,Hydel,Coal
MCQ,18,Which energy source is obtained from sun?,Thermal,Hydel,Solar,Nuclear,Solar
MCQ,19,Which is a conventional source of energy?,Solar,Wind,Coal,Biogas,Coal
MCQ,20,Which is a non-conventional energy source?,Coal,Petroleum,Solar,Natural gas,Solar
MCQ,21,Which state leads in coal production?,Jharkhand,Odisha,Chhattisgarh,West Bengal,Jharkhand
MCQ,22,Which coalfield is the oldest in India?,Jharia,Bokaro,Raniganj,Talcher,Raniganj
MCQ,23,Which mineral is used to harden steel?,Iron,Bauxite,Manganese,Mica,Manganese
MCQ,24,Which mineral is essential for automobile industry?,Copper,Iron ore,Mica,Gold,Iron ore
MCQ,25,Which energy source causes maximum pollution?,Solar,Wind,Coal,Hydel,Coal
