Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Who is known as the Father of Geometry?,Pythagoras,Euclid,Archimedes,Newton,Euclid
MCQ,2,Euclid’s geometry is based on?,Observations,Axioms and postulates,Experiments,Algebra,Axioms and postulates
MCQ,3,How many axioms are given by Euclid?,5,7,10,Unlimited,5
MCQ,4,How many postulates are there in Euclid’s geometry?,4,5,6,7,5
MCQ,5,Things which are equal to the same thing are equal to one another is?,Postulate,Axiom,Theorem,Proof,Axiom
MCQ,6,A point has?,Length,Breadth,Thickness,No dimension,No dimension
MCQ,7,A line has?,Length only,Length and breadth,Breadth only,Area,Length only
MCQ,8,A plane has?,Length only,Length and breadth,Thickness,No dimension,Length and breadth
MCQ,9,Which is accepted without proof?,Theorem,Axiom,Corollary,Proof,Axiom
MCQ,10,Which requires proof?,Axiom,Postulate,Theorem,Definition,Theorem
MCQ,11,A straight line can be drawn joining any two points is?,Axiom,Postulate,Theorem,Definition,Postulate
MCQ,12,A terminated line can be produced indefinitely is?,Axiom,Postulate,Theorem,Definition,Postulate
MCQ,13,A circle can be drawn with any centre and radius is?,Postulate,Axiom,Theorem,Definition,Postulate
MCQ,14,All right angles are equal to one another is?,Axiom,Postulate,Theorem,Definition,Postulate
MCQ,15,Euclid’s fifth postulate is related to?,Circles,Lines,Parallel lines,Triangles,Parallel lines
MCQ,16,Axioms are?,Geometry specific,Universal truths,Definitions,Theorems,Universal truths
MCQ,17,Postulates are?,Universal,Geometry specific,Scientific,Undefined,Geometry specific
MCQ,18,The statement “Whole is greater than the part” is?,Postulate,Axiom,Theorem,Definition,Axiom
MCQ,19,A line segment has?,One end,Two ends,No ends,Infinite ends,Two ends
MCQ,20,A ray has?,One end,Two ends,No ends,Infinite ends,One end
MCQ,21,A straight line has?,One end,Two ends,No ends,Infinite ends,No ends
MCQ,22,The book written by Euclid is?,Elements,Geometry,Basics,Principia,Elements
MCQ,23,Which is not an axiom?,Whole is greater than part,A circle can be drawn,Things equal to same thing are equal,Things added to equals are equal,A circle can be drawn
MCQ,24,Which is not a postulate?,A line can be drawn,A circle can be drawn,Whole is greater than part,Right angles are equal,Whole is greater than part
MCQ,25,Euclid’s axioms are also called?,Common notions,Postulates,Theorems,Proofs,Common notions
MCQ,26,Geometry deals with?,Numbers,Shapes and sizes,Algebra,Graphs,Shapes and sizes
MCQ,27,A theorem is?,Self evident,Accepted without proof,Requires proof,Definition,Requires proof
MCQ,28,Postulates are assumed?,False,True without proof,After proof,Randomly,True without proof
MCQ,29,A point represents?,Position,Length,Area,Volume,Position
MCQ,30,Which has no thickness?,Plane,Solid,Line,Rectangle,Line
