Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,The point (0,0) is called?,Origin,X-axis,Y-axis,Quadrant,Origin
MCQ,2,The x-coordinate of a point is also called?,Abscissa,Ordinate,Axis,Origin,Abscissa
MCQ,3,The y-coordinate of a point is also called?,Abscissa,Ordinate,Axis,Origin,Ordinate
MCQ,4,Which point lies on x-axis?,(3,0),(0,4),(2,3),(−1,5),(3,0)
MCQ,5,Which point lies on y-axis?,(0,−3),(4,0),(2,1),(3,3),(0,−3)
MCQ,6,In which quadrant does (2,3) lie?,I,II,III,IV,I
MCQ,7,In which quadrant does (−4,5) lie?,I,II,III,IV,II
MCQ,8,In which quadrant does (−3,−2) lie?,I,II,III,IV,III
MCQ,9,In which quadrant does (4,−6) lie?,I,II,III,IV,IV
MCQ,10,The coordinates of origin are?,(1,1),(0,1),(1,0),(0,0),(0,0)
MCQ,11,How many quadrants are there?,2,3,4,5,4
MCQ,12,The point (0,5) lies on?,X-axis,Y-axis,Origin,Quadrant,Y-axis
MCQ,13,The point (−6,0) lies on?,X-axis,Y-axis,Origin,Quadrant,X-axis
MCQ,14,Which coordinate is positive in III quadrant?,x only,y only,both,none,none
MCQ,15,Which coordinate is negative in II quadrant?,x only,y only,both,none,x only
MCQ,16,Which quadrant has both coordinates positive?,I,II,III,IV,I
MCQ,17,Which quadrant has x positive and y negative?,I,II,III,IV,IV
MCQ,18,The graph paper is divided into?,2 parts,3 parts,4 parts,5 parts,4 parts
MCQ,19,The horizontal line is called?,Y-axis,X-axis,Origin,Graph,X-axis
MCQ,20,The vertical line is called?,X-axis,Y-axis,Origin,Graph,Y-axis
MCQ,21,Point (−2,4) lies in?,I,II,III,IV,II
MCQ,22,Point (5,−7) lies in?,I,II,III,IV,IV
MCQ,23,Point (−6,−8) lies in?,I,II,III,IV,III
MCQ,24,Point (0,0) lies in?,I quadrant,II quadrant,III quadrant,None,None
MCQ,25,Which is the abscissa of (4,−3)?,4,−3,7,1,4
MCQ,26,Which is the ordinate of (4,−3)?,4,−3,7,1,−3
MCQ,27,The point (0,0) divides axes into?,Two equal parts,Four quadrants,Two quadrants,Lines only,Four quadrants
MCQ,28,Coordinates of a point on y-axis are?,(x,0),(0,y),(x,y),(0,0),(0,y)
MCQ,29,Coordinates of a point on x-axis are?, (x,y),(0,y),(x,0),(0,0),(x,0)
MCQ,30,Which quadrant contains (−1,6)?,I,II,III,IV,II
MCQ,31,Which quadrant contains (7,−2)?,I,II,III,IV,IV
MCQ,32,Which point lies in III quadrant?,(−2,−3),(2,−3),(−2,3),(3,2),(−2,−3)
MCQ,33,Which point lies in I quadrant?,(−2,3),(2,−3),(−2,−3),(3,4),(3,4)
MCQ,34,Which coordinate represents distance from y-axis?,y,x,z,origin,x
MCQ,35,Which coordinate represents distance from x-axis?,x,y,z,origin,y
MCQ,36,The point (5,0) lies on?,X-axis,Y-axis,Origin,Quadrant,X-axis
MCQ,37,The point (0,−9) lies on?,X-axis,Y-axis,Origin,Quadrant,Y-axis
MCQ,38,Which is correct for II quadrant?,x+,y−,x−,y+,x−,y+
MCQ,39,Which is correct for IV quadrant?,x+,y−,x−,y+,x−,y−,x+,y−
MCQ,40,Which point has ordinate zero?,(0,4),(3,0),(−2,5),(1,2),(3,0)
MCQ,41,Which point has abscissa zero?,(0,4),(3,0),(−2,5),(1,2),(0,4)
MCQ,42,The axes intersect at?,(1,1),(0,1),(1,0),(0,0),(0,0)
MCQ,43,Point (−8,0) lies?,On x-axis,On y-axis,In III quadrant,In II quadrant,On x-axis
MCQ,44,Point (0,9) lies?,On x-axis,On y-axis,In I quadrant,In II quadrant,On y-axis
MCQ,45,Which has both coordinates negative?,(−3,−4),(3,−4),(−3,4),(3,4),(−3,−4)
MCQ,46,Which has both coordinates positive?,(−3,−4),(3,−4),(−3,4),(3,4),(3,4)
MCQ,47,Point (−5,6) lies in?,I,II,III,IV,II
MCQ,48,Point (6,−5) lies in?,I,II,III,IV,IV
MCQ,49,The origin divides the plane into?,2 regions,3 regions,4 regions,5 regions,4 regions
MCQ,50,Coordinates are written as?,[x,y],(x,y),{x,y},<x,y>,(x,y)

Integer,1,Coordinates of origin?,0,0,,,
Integer,2,Abscissa of (7,−2)?,7,,,,
Integer,3,Ordinate of (7,−2)?,-2,,,,
Integer,4,Quadrant of (3,4)?,I,,,,
Integer,5,Quadrant of (−3,5)?,II,,,,
Integer,6,Quadrant of (−4,−6)?,III,,,,
Integer,7,Quadrant of (5,−7)?,IV,,,,
Integer,8,Coordinates of point on x-axis?,y=0,,,,
Integer,9,Coordinates of point on y-axis?,x=0,,,,
