Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the poet of the poem Fog?,Carl Sandburg,Robert Frost,John Keats,Adrienne Rich,Carl Sandburg
MCQ,2,Fog is a,Story,Poem,Play,Essay,Poem
MCQ,3,The fog comes on,Little cat feet,Big waves,Strong wind,Heavy rain,Little cat feet
MCQ,4,The poet compares fog to a,Dog,Cat,Tiger,Cloud,Cat
MCQ,5,The poem Fog is an example of,Humorous poem,Narrative poem,Imagist poem,Lyric poem,Imagist poem
MCQ,6,The fog sits looking over,City and harbour,Forest and hills,Fields and farms,Houses and roads,City and harbour
MCQ,7,The fog comes silently like a,Storm,Breeze,Cat,Wave,Cat
MCQ,8,The fog then moves on,Quickly,Suddenly,Silently,Noisily,Silently
MCQ,9,The poem uses which literary device mainly?,Simile,Metaphor,Personification,Alliteration,Simile
MCQ,10,The mood of the poem is,Angry,Calm,Mysterious,Joyful,Calm
MCQ,11,The fog is described as,Sudden and loud,Slow and silent,Fast and violent,Bright and clear,Slow and silent
MCQ,12,The poem has,Many stanzas,Two stanzas,One stanza,Four stanzas,One stanza
MCQ,13,The poem has how many lines?,4,5,6,7,6
MCQ,14,The fog stays for a,Long time,Short time,Whole day,Night only,Short time
MCQ,15,The poem Fog is written in,Free verse,Rhyming couplets,Sonnet,Ballad,Free verse
MCQ,16,The fog’s movement is compared to,Running,Jumping,Sitting and moving,Roaring,Sitting and moving
MCQ,17,The fog is personified as an,Animal,Human,Bird,Insect,Animal
MCQ,18,The fog watches over the city like a,Guard,Cat,Dog,King,Cat
MCQ,19,The poet uses simple language to create,Confusion,Imagery,Fear,Noise,Imagery
MCQ,20,The fog’s arrival is,Noisy and sudden,Gentle and quiet,Dangerous and fast,Bright and sharp,Gentle and quiet
MCQ,21,The poem describes fog as,Powerful,Playful,Mysterious,Scary,Mysterious
MCQ,22,The fog comes and goes,Quickly,Slowly,Violently,Permanently,Slowly
MCQ,23,The fog is compared to a cat because it is,Wild,Silent and soft,Dangerous,Playful,Silent and soft
MCQ,24,The setting of the poem is,Nature only,City and harbour,Forest,Rural area,City and harbour
