Question,Answer
"On which occasion was the fair held?","Eid"
"Who did Rashid go to the fair with?","His uncle and Bhaiya"
"What was the name of the shop that attracted Rashid?","The Lucky Shop"
"How much did it cost to play one round at the Lucky Shop?","50 paise"
"What was the first prize won by the old man?","A beautiful clock"
"How much did the shopkeeper pay to buy back the clock?","15 rupees"
"What four items did the little boy win?","A comb, a fountain pen, a wristwatch, and a table lamp"
"What was the first thing Rashid won?","Two pencils"
"What was the second thing Rashid won?","A bottle of ink"
"Did Rashid win any expensive prizes?","No"
"Why did Rashid keep playing?","He hoped to win a big prize like the others"
"Who were the old man and the boy actually?","Friends/partners of the shopkeeper"
"What did Uncle tell Rashid about the 'luck' of the others?","It was all a trick"
"What did Uncle buy for Rashid to cheer him up?","An umbrella, biscuits, and sweets"
"How did Rashid feel when he lost all his money?","Upset and humiliated"
"What did the game involve?","Picking up six numbered discs and adding the numbers"
"Was the shopkeeper young or old?","He was middle-aged"
"What did Uncle warn Rashid before leaving him?","Not to buy anything or go too far"
"Who was Bhaiya?","A servant who worked for Rashid's family"
"How many discs did a player have to pick up?","Six"
"Did the old man look happy with his clock?","Yes, but he sold it back immediately"
"What did the little boy do with his prizes?","He sold them all back to the shopkeeper"
"How much did the shopkeeper pay the boy for the lamp?","Not specified, but he bought everything back"
"Why did people laugh at Rashid?","Because of his 'bad luck' winning cheap items"
"Did Rashid's uncle scold him?","No, he was kind and understanding"
"How long did the Eid fair last?","Many days"
"What did the 'tradesmen' come to the fair for?","To sell all kinds of goods"
"What was the shopkeeper's expression like?","Neither happy nor sad"
"What did Rashid think of the boy's luck?","He thought the boy was very lucky"
"Did Rashid have a lot of money?","No, he had some 'settled' money given by Uncle"
"What happened when Rashid's money was all gone?","He stopped playing and felt sad"
"Did Uncle see the tricks at the shop?","Yes, he understood them perfectly"
"What did the shopkeeper want to do to the people?","Tempt them to try their luck"
"Was the clock a real prize?","It was a bait to attract others"
"What did the shopkeeper do with the 50 paise Rashid paid?","He kept it"
"Did Rashid tell his uncle about the shop?","Yes, he told him the whole story"
"What did Rashid win on his third try?","Another trifle (small item)"
"How did the shopkeeper buy back the prizes?","By giving the winners cash"
"What was the 'Game of Chance' really?","A game of trickery"
"Where was the fair located?","In Rashid's village/locality"
"Did Rashid's friends play the game?","The story only mentions Rashid playing"
"Was the shopkeeper an honest man?","No, he was a cheat"
"What does 'Lucky' in the shop's name mean?","It was a name used to fool people"
"Did the old man actually want the clock?","No, he was part of the plan"
"What did the boy do with his wristwatch?","Sold it back for money"
"Did Rashid walk away with any prize at the end?","No, he had only cheap pencils and ink"
"What was the mood of the fair?","Joyful and busy"
"Did the 'Lucky' boy look older than Rashid?","He was a 'little boy'"
"What did the shopkeeper encourage people to do?","Try their luck"
"Did Rashid learn a lesson at the end?","Yes, through his uncle's explanation"
