Chapter,Question,Answer
Symmetry,A shape is symmetric if it can be folded into two identical parts.,True
Symmetry,The line dividing a symmetric shape is called the line of symmetry.,True
Symmetry,All circles have infinite lines of symmetry.,True
Symmetry,A square has 2 lines of symmetry.,False
Symmetry,A square has 4 lines of symmetry.,True
Symmetry,A rectangle has 2 lines of symmetry.,True
Symmetry,A rectangle has 4 lines of symmetry.,False
Symmetry,An equilateral triangle has 3 lines of symmetry.,True
Symmetry,An isosceles triangle has 1 line of symmetry.,False
Symmetry,An isosceles triangle has 1 line of symmetry.,True
Symmetry,A scalene triangle has no line of symmetry.,True
Symmetry,A regular pentagon has 5 lines of symmetry.,True
Symmetry,A regular hexagon has 6 lines of symmetry.,True
Symmetry,A regular octagon has 8 lines of symmetry.,True
Symmetry,Line symmetry is also called reflection symmetry.,True
Symmetry,A circle has no line of symmetry.,False
Symmetry,Rotational symmetry means a shape looks same after rotation.,True
Symmetry,A square has rotational symmetry of order 4.,True
Symmetry,A rectangle has rotational symmetry of order 2.,True
Symmetry,An equilateral triangle has rotational symmetry of order 3.,True
Symmetry,A scalene triangle has rotational symmetry of order 3.,False
Symmetry,A regular pentagon has rotational symmetry of order 5.,True
Symmetry,A regular hexagon has rotational symmetry of order 6.,True
Symmetry,All regular polygons have line symmetry.,True
Symmetry,All regular polygons have rotational symmetry.,True
Symmetry,A circle has rotational symmetry of infinite order.,True
Symmetry,A semi-circle has 1 line of symmetry.,True
Symmetry,A semi-circle has 2 lines of symmetry.,False
Symmetry,A rhombus has 2 lines of symmetry.,True
Symmetry,A kite has 1 line of symmetry.,True
Symmetry,A rectangle can have rotational symmetry of order 4.,False
Symmetry,A square can have rotational symmetry of order 2.,True
Symmetry,All symmetrical shapes are regular.,False
Symmetry,All regular polygons are symmetrical.,True
Symmetry,Letter A has vertical line symmetry.,True
Symmetry,Letter H has vertical and horizontal line symmetry.,True
Symmetry,Letter T has only vertical line symmetry.,True
Symmetry,Letter Z has no line symmetry.,False
Symmetry,Letter M has vertical line symmetry.,True
Symmetry,Letter X has 2 lines of symmetry.,True
Symmetry,Letter Y has 1 line of symmetry.,True
Symmetry,Letter O has infinite lines of symmetry.,True
Symmetry,Line of symmetry divides the figure into identical parts.,True
Symmetry,Reflection symmetry is when a figure is mirrored.,True
Symmetry,Rotational symmetry requires a shape to look same before and after rotation.,True
Symmetry,A regular triangle has 1 line of symmetry.,False
Symmetry,A hexagon can have 3 lines of symmetry.,False
Symmetry,A pentagon has 5 vertices.,True
Symmetry,A regular hexagon has 6 sides and 6 vertices.,True
Symmetry,A square rotated 90 degrees looks different.,False
Symmetry,A rectangle rotated 180 degrees looks the same.,True
Symmetry,A scalene triangle rotated 120 degrees looks same.,False
Symmetry,All regular polygons have equal sides.,True
