Question,Answer
Panchayati Raj is a system of ______ government.,local
It was introduced to strengthen ______.,democracy
Panchayati Raj works in ______ areas.,villages
Gram Panchayat is the ______ level of Panchayati Raj.,village
Panchayat President is also called ______.,Sarpanch
Gram Panchayat members are ______ by villagers.,elected
Panchayat Samiti works at ______ level.,block
Zila Parishad works at ______ level.,district
Panchayati Raj promotes local ______.,participation
Gram Sabha consists of all ______ in the village.,voters
Panchayati Raj is mentioned in the ______ of India.,Constitution
Article ______ supports Panchayati Raj.,243
Panchayati Raj helps in rural ______.,development
Panchayati Raj ensures ______ of local people.,representation
Gram Panchayat manages local ______.,resources
Panchayati Raj promotes ______.,self-governance
Panchayati Raj was given constitutional ______.,status
Panchayati Raj plans local ______.,projects
Sarpanch is elected for a ______ term.,fixed
Panchayat can collect ______ from villagers.,taxes
Gram Panchayat provides basic ______.,services
Panchayati Raj strengthens ______ democracy.,grassroots
Local government is closest to the ______.,people
Village committees help in decision ______.,making
Panchayat implements government ______.,schemes
Panchayat ensures cleanliness and ______.,sanitation
Panchayat can maintain local ______.,roads
Local people participate in ______ meetings.,Gram Sabha
Panchayati Raj helps in rural ______.,welfare
Panchayat manages funds for local ______.,development
Village meetings are called ______.,Gram Sabha
Panchayat President leads the ______.,Gram Panchayat
Zila Parishad supervises ______ Panchayats.,block-level
Panchayati Raj was formalized in ______.,1992
Local self-government promotes ______.,accountability
Panchayati Raj includes three ______.,tiers
Block-level body is ______.,Panchayat Samiti
District-level body is ______.,Zila Parishad
Villagers can ask questions in ______.,Gram Sabha
Panchayati Raj encourages ______ participation.,citizen
Funds for Panchayat come from taxes and ______.,government grants
Gram Panchayat can provide drinking ______.,water
Education and health services are managed by ______.,Panchayat
Local disputes can be solved in ______.,Gram Sabha
Panchayati Raj strengthens rural ______.,administration
Panchayat members work for community ______.,welfare
Panchayati Raj ensures local ______.,development
Villagers elect their representatives in ______.,elections
Local government promotes transparency and ______.,accountability
Panchayati Raj system empowers ______.,citizens
Panchayati Raj is part of ______ democracy.,Indian
