Question,Answer
Electricity helps us to ______.,do work
An electric current is the flow of ______.,electrons
The device that produces electricity is called a ______.,battery
A complete path for electric current is called a ______.,circuit
The point where two wires meet is called a ______.,junction
The part of the circuit that uses electricity is called a ______.,load
A wire that allows electricity to flow is called a ______.,conductor
Materials that do not allow electricity to flow are called ______.,insulators
Copper and aluminum are good ______.,conductors
Rubber and plastic are ______.,insulators
A switch is used to ______ and off a circuit.,turn on
Batteries provide ______ to a circuit.,electricity
A bulb glows when ______ flows through it.,current
Series circuit has components connected in ______.,line
Parallel circuit has components connected in ______.,branches
In a series circuit, if one bulb goes off, ______ bulbs go off.,all
In a parallel circuit, if one bulb goes off, ______ bulbs are affected.,other
A simple circuit needs a battery, wires, and a ______.,bulb
Electricity can be dangerous if not used ______.,safely
The flow of electricity depends on ______ of the circuit.,resistance
A closed circuit allows current to ______.,flow
An open circuit does not allow current to ______.,flow
The path through which electricity flows is called a ______.,conductor
A cell has ______ terminals.,two
The longer terminal of a battery is the ______ terminal.,positive
The shorter terminal of a battery is the ______ terminal.,negative
Switch helps to ______ the flow of electricity.,control
Insulators prevent ______.,electric shock
Metal wires are used to ______ electricity.,conduct
A bulb glows when circuit is ______.,complete
Current flows from ______ to negative terminal.,positive
Electricity is used in ______,fan, and TV.,lamp
A fuse protects circuits from ______.,overload
Circuit diagrams use ______ to show components.,symbols
A battery provides ______ to the circuit.,energy
Electric current is measured in ______.,amperes
A device that converts electrical energy into light is a ______.,bulb
A device that converts electrical energy into motion is a ______.,motor
Electricity can travel through ______ wires.,metal
Conductors have ______ resistance.,low
Insulators have ______ resistance.,high
A series circuit has only one ______ for current.,path
A parallel circuit has ______ paths for current.,multiple
Wires are covered with ______ for safety.,plastic
Switches can be ______ or push button type.,toggle
Bulbs in a series circuit share ______.,voltage
Bulbs in a parallel circuit get ______ voltage.,full
Short circuit occurs when electricity takes a ______ path.,wrong
Electric current flows from ______ to negative.,positive
A motor works because of ______ energy.,electrical
Safety devices in circuits include ______ and fuses.,switches
