Left Column,Right Column,Correct Matches
1) Predecessor of 10,000; 2) Successor of 9,999; 3) Predecessor of 1,00,000; 4) Successor of 99,999,A) 9,999; B) 1,00,000; C) 9,99,999; D) 10,000,1-A; 2-D; 3-C; 4-B
1) Place value of 6 in 16,789; 2) Place value of 5 in 75,206; 3) Place value of 9 in 39,740; 4) Place value of 2 in 62,418,A) 5,000; B) 9,000; C) 6,000; D) 2,000,1-C; 2-A; 3-B; 4-D
1) 40,000 + 3,000 + 200 + 10 + 5; 2) 9,000 + 80 + 4; 3) 20,000 + 60; 4) 7,000 + 300 + 5,A) 43215; B) 7035; C) 20060; D) 9084,1-A; 2-D; 3-C; 4-B
1) Number of digits in 9,99,999; 2) Number of digits in 1,00,000; 3) Number of digits in 10,000; 4) Number of digits in 999,A) 5; B) 6; C) 4; D) 3,1-B; 2-B; 3-C; 4-D
1) 7 ten-thousands + 3 thousands + 2 hundreds + 5 tens + 9 ones; 2) 5 ten-thousands + 0 thousands + 6 hundreds + 2 tens + 1 one; 3) 9 thousands + 0 hundreds + 5 tens + 4 ones; 4) 3 thousands + 40,A) 73259; B) 9054; C) 3040; D) 50621,1-A; 2-D; 3-B; 4-C
1) Expanded form of 12,405; 2) Expanded form of 20,060; 3) Expanded form of 4,709; 4) Expanded form of 3,040,A) 3000 + 40; B) 20000 + 60; C) 4000 + 700 + 9; D) 10000 + 2000 + 400 + 5,1-D; 2-B; 3-C; 4-A
1) Smallest 6-digit number; 2) Greatest 5-digit number; 3) Smallest 5-digit number; 4) Greatest 4-digit number,A) 9999; B) 100000; C) 10000; D) 99999,1-B; 2-D; 3-C; 4-A
1) Just before 50,000; 2) Just after 99,999; 3) Just before 1,00,001; 4) Just after 9,999,A) 10,000; B) 49,999; C) 1,00,000; D) 1,00,000,1-B; 2-D; 3-C; 4-A
1) Face value of 7 in 78,305; 2) Face value of 0 in 10,203; 3) Face value of 4 in 14,902; 4) Face value of 2 in 20,478,A) 2; B) 7; C) 0; D) 4,1-B; 2-C; 3-D; 4-A
1) Place value of 3 in 13,890; 2) Place value of 4 in 84,615; 3) Place value of 1 in 21,345; 4) Place value of 7 in 57,019,A) 1,000; B) 7,000; C) 3,000; D) 4,000,1-C; 2-D; 3-A; 4-B
1) Indian system number; 2) International system number; 3) Expanded form; 4) Standard form,A) Writing a number as sum of place values; B) Writing the number normally; C) Commas after every three digits; D) Commas after 3 digits then every 2 digits,1-D; 2-C; 3-A; 4-B
1) Ascending order; 2) Descending order; 3) Successor; 4) Predecessor,A) Number just after; B) Number just before; C) Smallest to greatest; D) Greatest to smallest,1-C; 2-D; 3-A; 4-B
1) 3,05,090; 2) 9,08,761; 3) 6,00,008; 4) 1,20,045,A) 900000 + 8000 + 700 + 60 + 1; B) 300000 + 5000 + 90; C) 600000 + 8; D) 100000 + 20000 + 40 + 5,1-B; 2-A; 3-C; 4-D
1) 90,000 + 4,000 + 30 + 2; 2) 70,000 + 800 + 6; 3) 3,000 + 200 + 4; 4) 20,000 + 5,A) 3204; B) 20005; C) 70806; D) 94032,1-D; 2-C; 3-A; 4-B
1) 1,23,456 in words; 2) 5,06,070 in expanded form; 3) 3,45,601 place value of 3; 4) 9,020 in expanded form,A) 500000 + 6000 + 70; B) 9000 + 20; C) Three lakh twenty-three thousand four hundred fifty-six; D) 300000,1-C; 2-A; 3-D; 4-B
