Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who wrote the letter received by Miss Mason?,Wanda,Wanda's mother,Wanda's father,The principal,Wanda's father
MCQ,2,What did the letter from Wanda's father say?,Wanda was sick,Wanda won't be coming to school anymore,They were moving to a big city,Both B and C,Both B and C
MCQ,3,What else did the letter mention about Wanda?,Her funny name,Her drawings,Her medal,Her dress,Her funny name
MCQ,4,How did the class react to Miss Mason reading the letter?,They laughed,They were silent,They were happy,They clapped,They were silent
MCQ,5,Who felt the most guilty after reading the letter?,Peggy,Maddie,Miss Mason,The whole class,Maddie
MCQ,6,What did Maddie decide to do after reading the letter?,Apologize to Wanda,Ignore the situation,Blame Peggy,Leave the school,Apologize to Wanda
MCQ,7,Where did Maddie and Peggy go to find Wanda?,Boggins Heights,City center,The school,The park,Boggins Heights
MCQ,8,What did they find at Wanda's house?,It was empty,It was full of people,It was on fire,It was locked,It was empty
MCQ,9,What did Maddie and Peggy write to Wanda?,A letter of apology,A letter of complaint,A letter asking for drawings,A friendly letter asking about her,A friendly letter asking about her
MCQ,10,Did Wanda reply to their letter?,Yes immediately,No never,Yes after a long time,Yes the next day,Yes after a long time
MCQ,11,What did Wanda's reply include?,A drawing for each girl,A letter,A gift,Both A and B,Both A and B
MCQ,12,Who was more anxious for a reply?,Peggy,Maddie,Miss Mason,The class,Maddie
MCQ,13,What did Wanda's letter reveal?,She hated them,She forgave them,She was angry,She was indifferent,She forgave them
MCQ,14,What did Wanda give to Maddie and Peggy?,Her drawings,Her dresses,Her books,Her shoes,Her drawings
MCQ,15,What was special about the drawings Wanda gave?,They were blank,They had their faces on them,They were torn,They were unfinished,They had their faces on them
MCQ,16,How did Maddie feel after receiving the drawing?,Happy,Guilty and sad,Angry,Indifferent,Guilty and sad
MCQ,17,What did Peggy realize about Wanda?,She was dumb,She was smart and talented,She was indifferent,She was angry,She was smart and talented
MCQ,18,What lesson did Maddie learn?,To be silent,To stand up against bullying,To ignore others,To be indifferent,To stand up against bullying
MCQ,19,What did the class do after reading Wanda's letter?,Ignored it,Laughed,Reflected on their behavior,Celebrated,Reflected on their behavior
MCQ,20,What did Maddie vow to do in the future?,Be silent,Stand up against bullying,Ignore others,Be indifferent,Stand up against bullying
MCQ,21,What did Wanda's father mention in his letter?,They were moving to a big city,They were happy,They were sad,They were staying,They were moving to a big city
MCQ,22,Why did Wanda's family move to the city?,They were rich,They were poor,They were being teased,They were happy,They were being teased
MCQ,23,What did Maddie and Peggy realize about Wanda's drawings?,They were ugly,They were beautiful,They were incomplete,They were stolen,They were beautiful
MCQ,24,What did the drawings symbolize?,Wanda's anger,Wanda's forgiveness,Wanda's indifference,Wanda's sadness,Wanda's forgiveness
MCQ,25,What did Maddie and Peggy feel after receiving the drawings?,Happy,Guilty,Angry,Indifferent,Guilty
MCQ,26,What did the class learn from Wanda's departure?,Nothing,To be kind,To be indifferent,To be silent,To be kind
MCQ,27,What did Maddie decide to do if she saw someone being bullied?,Ignore it,Join in,Stand up against it,Be silent,Stand up against it
MCQ,28,What did Peggy think about Wanda's drawings?,They were ugly,They were beautiful,They were incomplete,They were stolen,They were beautiful
MCQ,29,What did Wanda's letter show about her character?,She was angry,She was forgiving,She was indifferent,She was sad,She was forgiving
MCQ,30,What did Maddie dream about at night?,Pleasant dreams,She had sleepless nights,Dreams about Wanda being bullied,Dreams about school,Dreams about Wanda being bullied
MCQ,31,What did Maddie feel in her stomach after hearing the letter?,Happiness,A sick feeling,Anger,Excitement,A sick feeling
MCQ,32,What did Miss Mason do after reading the letter?,She scolded the class,She was upset,She ignored it,She laughed,She was upset
MCQ,33,What was Wanda's drawing for Peggy?,A blue dress,A green dress with red trimmings,A red dress,A yellow dress,A green dress with red trimmings
MCQ,34,What was Wanda's drawing for Maddie?,A blue dress,A green dress,A red dress,A yellow dress,A blue dress
MCQ,35,What did Wanda wish in her letter?,Happy New Year,Merry Christmas,Happy Birthday,Good luck,Merry Christmas
MCQ,36,How long did it take for Wanda's reply to arrive?,One week,Two weeks,Weeks,Weeks and weeks,Weeks and weeks
MCQ,37,What did the letter reveal about why Wanda's family moved?,Because of the big city,Because of her funny name,Because they were teased,Because they were rich,Because of her funny name
MCQ,38,What did Maddie think about her silence during the teasing?,It was fine,It was wrong,It didn't matter,It was helpful,It was wrong
MCQ,39,What was the main theme of Part II?,Forgiveness,Bullying,Guilt,All of the above,All of the above
MCQ,40,How did Peggy feel when she saw Wanda's drawings?,Guilty,Happy,Angry,Indifferent,Guilty
MCQ,41,What did the drawings teach Maddie and Peggy?,Wanda was talented,Wanda had forgiven them,Wanda remembered them,All of the above,All of the above
MCQ,42,What did Maddie realize about her behavior?,It was fine,It was wrong,It didn't matter,It was helpful,It was wrong
MCQ,43,What was the significance of Wanda including their faces in the drawings?,She hated them,She remembered and forgave them,She forgot them,She was angry,She remembered and forgave them
MCQ,44,What did Maddie promise herself?,To never speak,To never let anyone be bullied,To ignore others,To be popular,To never let anyone be bullied
MCQ,45,How did the story end?,Happily,Sadly,With a lesson learned,With guilt,With a lesson learned
