Question,Answer
The smallest prime number is ___. ,2
The only even prime number is ___. ,2
1 is neither prime nor composite.,True
The HCF of 24 and 36 is ___. ,12
The LCM of 6 and 8 is ___. ,24
The HCF of 15 and 20 is ___. ,5
The LCM of 12 and 15 is ___. ,60
A number divisible by 9 has sum of digits divisible by ___. ,9
A number divisible by 3 has sum of digits divisible by ___. ,3
If a number is divisible by both 2 and 3, it is divisible by ___. ,6
The smallest composite number is ___. ,4
Every composite number can be written as a product of ___. ,prime numbers
A number divisible by 10 must have ___ in the units place.,0
A number divisible by 5 ends with ___ or ___. ,0 or 5
If the sum of digits of a number is 0, the number is divisible by ___. ,9
The HCF of two co-prime numbers is ___. ,1
The LCM of two co-prime numbers is the ___ of the two numbers.,product
If a number is divisible by 4, its last two digits are divisible by ___. ,4
If a number is divisible by 8, its last three digits are divisible by ___. ,8
A number divisible by 11 has difference of sum of digits in odd and even places equal to ___. ,0
The prime factorization of 60 is ___. ,2×2×3×5
The prime factorization of 72 is ___. ,2×2×2×3×3
The HCF of 18 and 27 is ___. ,9
The LCM of 9 and 12 is ___. ,36
The smallest number divisible by both 12 and 15 is ___. ,60
A number divisible by 2 must have ___ in the ones place.,even digit
A number divisible by 3 if the sum of its digits is divisible by ___. ,3
A number divisible by 6 must be divisible by ___ and ___. ,2 and 3
The smallest 2-digit prime number is ___. ,11
The greatest 1-digit prime number is ___. ,7
The number 91 is divisible by ___. ,7
The number 121 is divisible by ___. ,11
The LCM of 4, 6 and 8 is ___. ,24
The HCF of 8, 12 and 16 is ___. ,4
A number divisible by 4 has its last two digits divisible by ___. ,4
The prime factorization of 36 is ___. ,2×2×3×3
The LCM of 5 and 7 is ___. ,35
The HCF of 14 and 21 is ___. ,7
The smallest number divisible by 9 and 12 is ___. ,36
A number divisible by 9 has sum of digits divisible by ___. ,9
The smallest prime number greater than 50 is ___. ,53
The smallest composite number greater than 10 is ___. ,12
The HCF of 45 and 75 is ___. ,15
The LCM of 10 and 25 is ___. ,50
If two numbers have HCF = 1, they are called ___. ,co-prime
The number 143 is divisible by ___. ,11
The number 77 is divisible by ___. ,7
The LCM of 3, 4 and 6 is ___. ,12
The HCF of 20, 30 and 40 is ___. ,10

