Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Federalism means,Power with one government,Division of power among levels,Military rule,Monarchy,Division of power among levels
MCQ,2,Which country follows federal system?,Sri Lanka,China,India,Nepal,India
MCQ,3,How many levels of government are there in India?,One,Two,Three,Four,Three
MCQ,4,Which is NOT a feature of federalism?,Two governments,Written constitution,Centralisation of power,Division of powers,Centralisation of power
MCQ,5,Which list has subjects of national importance?,State List,Union List,Concurrent List,Local List,Union List
MCQ,6,Which list includes subjects of local importance?,Union List,Concurrent List,State List,Residual List,State List
MCQ,7,Which list includes subjects of common interest?,Union List,State List,Concurrent List,Local List,Concurrent List
MCQ,8,Who resolves disputes between centre and states?,Parliament,President,Supreme Court,Prime Minister,Supreme Court
MCQ,9,Which constitution is supreme in a federation?,State constitution,Parliament,Written constitution,Cabinet,Written constitution
MCQ,10,Which level is responsible for police?,Union,State,Local,Central,State
MCQ,11,Which country has a coming together federation?,India,Belgium,USA,Sri Lanka,USA
MCQ,12,Which country has holding together federation?,USA,India,Australia,Canada,India
MCQ,13,Which amendment strengthened local government?,42nd,44th,73rd,52nd,73rd
MCQ,14,Panchayati Raj applies to,Urban areas,Rural areas,Both,Industrial areas,Rural areas
MCQ,15,Municipalities are part of,Union government,State government,Local government,Central government,Local government
MCQ,16,Which language policy does India follow?,One language,Two languages,Multilingualism,No language,Multilingualism
MCQ,17,Which schedule contains language list?,7th,8th,9th,10th,8th
MCQ,18,How many languages are in Eighth Schedule?,14,18,22,25,22
MCQ,19,Which body conducts elections in India?,Parliament,President,Election Commission,Supreme Court,Election Commission
MCQ,20,Which government can make laws on Concurrent List?,Centre only,State only,Both centre and state,Local bodies,Both centre and state
MCQ,21,Which tier includes Zila Parishad?,Union,State,Local,Central,Local
MCQ,22,Which subject belongs to Union List?,Police,Agriculture,Defence,Public health,Defence
MCQ,23,Which subject belongs to State List?,Defence,Foreign affairs,Agriculture,Banking,Agriculture
MCQ,24,Which subject belongs to Concurrent List?,Police,Defence,Education,Trade,Education
MCQ,25,Which body interprets the constitution?,President,Parliament,Supreme Court,Cabinet,Supreme Court
MCQ,26,Which feature ensures independence of judiciary?,Appointment by PM,Security of tenure,Removal by president,Low salary,Security of tenure
MCQ,27,Which country inspired Indian federalism?,USA,UK,France,China,USA
MCQ,28,Which term refers to three levels of government?,Unitary,Federal,Decentralisation,Centralisation,Decentralisation
MCQ,29,Which amendment gave constitutional status to Panchayats?,52nd,61st,73rd,86th,73rd
MCQ,30,Which amendment gave status to municipalities?,73rd,74th,42nd,44th,74th
MCQ,31,Who appoints the Governor?,Chief Minister,President,Prime Minister,Chief Justice,President
MCQ,32,Which system has single level of government?,Federal,Unitary,Confederal,Decentralised,Unitary
MCQ,33,Which feature prevents misuse of power?,Federalism,Judiciary,Democracy,Centralisation,Federalism
MCQ,34,Which government controls currency?,State,Local,Union,Panchayat,Union
MCQ,35,Which country follows unitary system?,India,USA,Sri Lanka,Canada,Sri Lanka
MCQ,36,Which list has residuary powers?,State,Concurrent,Union,Local,Union
MCQ,37,Which tier deals with village issues?,Union,State,Local,Central,Local
MCQ,38,Which institution settles inter-state disputes?,High Court,Supreme Court,President,Governor,Supreme Court
MCQ,39,Which government handles foreign policy?,State,Local,Union,District,Union
MCQ,40,Which feature promotes unity in diversity?,Centralisation,Federalism,Dictatorship,Monarchy,Federalism
MCQ,41,Which amendment relates to local self-government?,44th,73rd,52nd,86th,73rd
MCQ,42,Which level has gram panchayat?,State,Local,Union,Central,Local
MCQ,43,Which list has subjects like marriage?,Union,State,Concurrent,Local,Concurrent
MCQ,44,Which tier is closest to people?,Union,State,Local,Central,Local
MCQ,45,Which country adopted federalism to manage diversity?,China,Sri Lanka,India,Nepal,India
MCQ,46,Which type of federation is India?,Coming together,Holding together,Unitary,Confederal,Holding together
MCQ,47,Which factor does NOT promote federalism?,Independent judiciary,Written constitution,Centralisation,Division of powers,Centralisation
MCQ,48,Which body ensures free elections?,Parliament,Judiciary,Election Commission,President,Election Commission
MCQ,49,Which subject is shared?,Police,Defence,Education,Currency,Education
MCQ,50,Federalism is important for,Unity,Democracy,Accommodation,All of these,All of these

Integer,1,Division of power?,Federalism,,,,
Integer,2,Number of government levels in India?,Three,,,,
Integer,3,Highest court?,Supreme Court,,,,
Integer,4,List for defence?,Union List,,,,
Integer,5,List for agriculture?,State List,,,,
Integer,6,List for education?,Concurrent List,,,,
Integer,7,Local government amendment?,73rd,,,,
Integer,8,Urban bodies amendment?,74th,,,,
Integer,9,Village body?,Gram Panchayat,,,,
Integer,10,State head?,Governor,,,,
Integer,11,Languages in 8th schedule?,22,,,,
Integer,12,Election conducting body?,Election Commission,,,,
Integer,13,Country with coming together federation?,USA,,,,
Integer,14,Country with holding together federation?,India,,,,
Integer,15,Constitution interpreter?,Supreme Court,,,,
Integer,16,Police under?,State,,,,
Integer,17,Currency controlled by?,Union,,,,
Integer,18,Foreign policy by?,Union,,,,
Integer,19,Closest government to people?,Local,,,,
Integer,20,Judiciary independence feature?,Tenure,,,,
Integer,21,Single government system?,Unitary,,,,
Integer,22,Multiple language policy?,Multilingualism,,,,
Integer,23,Decentralisation means?,Power to local,,,,
Integer,24,Head of state?,President,,,,
Integer,25,State legislature?,Vidhan Sabha,,,,
Integer,26,Panchayat term?,5 years,,,,
Integer,27,Power sharing promotes?,Unity,,,,
Integer,28,Inter-state dispute resolver?,Supreme Court,,,,
Integer,29,Local tax collection?,Panchayat,,,,
Integer,30,Urban local body?,Municipality,,,,
Integer,31,Residue powers belong to?,Union,,,,
Integer,32,Indian system?,Federal,,,,
Integer,33,Education shared subject?,Yes,,,,
Integer,34,State capital road?,State highway,,,,
Integer,35,Three tier system includes?,Local,,,,
