Question,Answer
All living beings need ______ to survive.,food
Plants make their own food through ______.,photosynthesis
Animals get food from ______.,plants or other animals
The food made by plants is stored in their ______.,leaves
Fruits and vegetables are sources of ______.,vitamins
Milk is an example of a ______ product.,animal
Wheat and rice are examples of ______.,cereals
Meat comes from ______.,animals
Fishes live in ______ and are a source of food.,water
Honey is made by ______.,bees
Eggs are laid by ______.,birds or reptiles
Protein is important for ______ growth.,body
Carbohydrates give us ______.,energy
Fats store ______ for the body.,energy
The main source of protein for vegetarians is ______.,dal or pulses
Sugar is obtained from ______.,sugarcane
Butter is made from ______.,milk
Cheese is made from ______.,milk
Leafy vegetables are rich in ______.,iron
Oranges and lemons provide ______.,vitamin C
Rice is a staple food in ______.,many countries
Pulses are also called ______.,legumes
Fish is a good source of ______.,protein
Meat provides ______ for the body.,protein
Grains are a source of ______.,carbohydrates
Nuts are rich in ______.,healthy fats
Honey is a natural ______.,sweetener
Vegetables provide ______.,minerals and vitamins
Fruits provide ______.,vitamins
Milk is a source of ______.,calcium
Cheese is rich in ______.,protein
Eggs are rich in ______.,protein
Butter is rich in ______.,fat
Cereals are rich in ______.,carbohydrates
Vegetables are rich in ______.,fiber
Pulses are rich in ______.,protein
Fruits are rich in ______.,vitamins
Meat is rich in ______.,protein
Fish is rich in ______.,omega-3 fatty acids
Wheat is ground to make ______.,flour
Sugarcane juice is processed to make ______.,sugar
Vegetables help in ______ digestion.,smooth
Fruits help prevent ______.,scurvy
Milk helps in strengthening ______.,bones
Cheese helps in building ______.,muscles
Eggs help in repairing ______.,tissues
Honey is also used as ______.,medicine
Meat helps in ______ repair.,tissue
Fish helps in ______ development.,brain
Butter is used for ______.,energy
