Chapter,Set A,Set B,Answer
Data Handling,Data,Collection of information,Data → Collection of information
Data Handling,Raw data,Data in original form,Raw data → Data in original form
Data Handling,Frequency,Number of times a value occurs,Frequency → Number of times a value occurs
Data Handling,Tally marks,Used to record data,Tally marks → Used to record data
Data Handling,Bar graph,Graph using bars,Bar graph → Graph using bars
Data Handling,Pictograph,Graph using pictures,Pictograph → Graph using pictures
Data Handling,Range,Difference between highest and lowest value,Range → Difference between highest and lowest value
Data Handling,Mean,Average of data,Mean → Average of data
Data Handling,Mode,Value occurring most frequently,Mode → Value occurring most frequently
Data Handling,Median,Middle value of arranged data,Median → Middle value of arranged data
Data Handling,Observation,Single piece of data,Observation → Single piece of data
Data Handling,Discrete data,Countable data,Discrete data → Countable data
Data Handling,Continuous data,Measurable data,Continuous data → Measurable data
Data Handling,Scale,Represents units on graph,Scale → Represents units on graph
Data Handling,Frequency table,Table showing frequencies,Frequency table → Table showing frequencies
