Question,Answer
Electricity is a form of energy.,True
Current is the flow of electric charges.,True
An electric circuit is a closed path.,True
A switch can open or close a circuit.,True
A bulb glows when current passes through it.,True
Copper is a good conductor.,True
Plastic is an insulator.,True
Electric current cannot flow in open circuit.,True
Battery provides electrical energy.,True
A cell has positive and negative ends.,True
Filament of bulb glows when current passes.,True
Connecting wires join components of circuit.,True
Fuse prevents damage due to excess current.,True
Torch works with battery.,True
Short circuit is dangerous.,True
Electric current flows in a closed path.,True
Switch is used to control current.,True
Current does not flow in broken wire.,True
Aluminium is a conductor.,True
Copper is used in wires.,True
Insulators prevent current from passing.,True
Filament is made of tungsten.,True
Electric bell works on electromagnet.,True
Dry cell contains paste electrolyte.,True
Positive end of dry cell is carbon rod.,True
Negative end of dry cell is zinc case.,True
Current can heat, light, or move objects.,True
Overloading causes short circuit.,True
Circuit diagram uses symbols.,True
Symbol of bulb is circle with filament.,True
Symbol of cell is long and short lines.,True
Symbol of switch is break in line.,True
Conductors allow current to pass.,True
Insulators block current.,True
Metallic wires are conductors.,True
Plastic covering is for safety.,True
Electricity can be dangerous.,True
Current flows from positive to negative.,True
Electromagnet is made using wire and iron.,True
Magnet can be temporary or permanent.,True
Current can light up bulb.,True
Series circuit has components in one path.,True
Parallel circuit has multiple paths.,True
Voltage makes current flow.,True
Ammeters measure current.,True
Voltmeters measure voltage.,True
Switch can be open or closed.,True
Bulb can fuse if current is high.,True
Battery can be single cell or combination.,True
