Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,What is the main crop of Coorg?,Tea,Coffee,Spices,Rice,Coffee
MCQ,2,Which river originates in Coorg?,Ganga,Yamuna,Kaveri,Godavari,Kaveri
MCQ,3,What is the traditional dress of Coorg men called?,Kabai,Kuffia,Kuppia,Kurta,Kuppia
MCQ,4,Which community in Coorg is known for its martial traditions?,Kodavas,Tamils,Marathas,Bengalis,Kodavas
MCQ,5,What is the capital of Coorg?,Madikeri,Mysore,Bangalore,Mangalore,Madikeri
MCQ,6,What is the traditional dress worn by Goan bakers called?,Kabai,Kuffia,Kuppia,Kurta,Kabai
MCQ,7,Which European country influenced Goan culture significantly?,France,Portugal,Spain,Italy,Portugal
MCQ,8,What is the local term for bread in Goa?,Pav,Chapati,Naan,Bol,Pav
MCQ,9,What is the traditional sweet bread in Goa called?,Bebinca,Dodol,Neureos,Bol,Bol
MCQ,10,Which beverage is commonly associated with Assam?,Coffee,Tea,Milk,Juice,Tea
MCQ,11,What is the term for tea leaves that are freshly sprouted?,First Flush,Second Flush,Third Flush,Autumn Flush,First Flush
MCQ,12,Which river is associated with the tea gardens in Assam?,Brahmaputra,Ganga,Yamuna,Godavari,Brahmaputra
MCQ,13,What is the traditional attire of Assamese women called?,Saree,Mekhela Chador,Salwar Kameez,Lehenga,Mekhela Chador
MCQ,14,Which dance form is native to Assam?,Bharatanatyam,Odissi,Bihu,Kathak,Bihu
MCQ,15,What is the primary language spoken in Assam?,Assamese,Bengali,Hindi,English,Assamese
MCQ,16,Which festival marks the Assamese New Year?,Bihu,Holi,Diwali,Navratri,Bihu
MCQ,17,What is the traditional Assamese silk called?,Kanjeevaram,Muga,Banarasi,Chanderi,Muga
MCQ,18,Which wildlife sanctuary in Assam is famous for one-horned rhinoceroses?,Sundarbans,Jim Corbett,Kaziranga,Periyar,Kaziranga
MCQ,19,What is the staple food of Assam?,Rice,Wheat,Barley,Maize,Rice
MCQ,20,What is Coorg also known as?,Kodagu,Coorgi,Kodava,Kodavaland,Kodagu
MCQ,21,What type of climate does Coorg have?,Desert,Coastal,Hill station,Tropical,Hill station
MCQ,22,What is the main profession of people in Coorg?,Farming,Coffee cultivation,Tourism,All of the above,All of the above
MCQ,23,What is the traditional Goan alcoholic beverage made from cashew apples?,Feni,Arrack,Toddy,Sake,Feni
MCQ,24,Which architectural style is prominent in Goan churches?,Gothic,Baroque,Dravidian,Modern,Baroque
MCQ,25,What spice is Goa famous for?,Turmeric,Cardamom,Clove,Black Pepper,Black Pepper
MCQ,26,What is the traditional music form of Goa?,Carnatic,Fado,Mando,Ghazal,Mando
MCQ,27,Which festival is celebrated with great enthusiasm in Goa?,Diwali,Holi,Christmas,Carnival,Carnival
MCQ,28,What is the traditional Goan festival celebrated before Lent?,Diwali,Holi,Christmas,Carnival,Carnival
MCQ,29,What time of day does the baker come in Goa?,Morning,Afternoon,Evening,Any time,Morning
MCQ,30,What sound does the baker make to announce his arrival?,Whistling,Shouting,Ringing a bell,Banging a bamboo stick,Banging a bamboo stick
MCQ,31,What did the baker carry on his head?,Bread basket,Basket of fruits,Water pot,Clothes,Bread basket
MCQ,32,What were the different types of bread the baker sold?,Pav and bread,Loaves and bol,Bread and cakes,All types,Loaves and bol
MCQ,33,What is 'bol'?,A type of sweet bread,A type of fruit,A type of vegetable,A type of fish,A type of sweet bread
