Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,The study of classification is called?,Ecology,Taxonomy,Physiology,Genetics,Taxonomy
MCQ,2,Who proposed five kingdom classification?,Linnaeus,Whittaker,Darwin,Aristotle,Whittaker
MCQ,3,How many kingdoms are there in Whittaker system?,2,3,5,6,5
MCQ,4,Which kingdom includes bacteria?,Protista,Fungi,Monera,Plantae,Monera
MCQ,5,Which organisms are prokaryotic?,Protista,Monera,Fungi,Plantae,Monera
MCQ,6,Which kingdom has unicellular eukaryotes?,Monera,Protista,Fungi,Plantae,Protista
MCQ,7,Which kingdom includes mushrooms?,Plantae,Fungi,Protista,Animalia,Fungi
MCQ,8,Which kingdom includes humans?,Protista,Plantae,Animalia,Fungi,Animalia
MCQ,9,Which kingdom includes algae?,Protista,Monera,Animalia,Fungi,Protista
MCQ,10,Which organisms lack cell wall?,Plantae,Fungi,Animalia,Monera,Animalia
MCQ,11,Cell wall in plants made of?,Chitin,Cellulose,Peptidoglycan,Protein,Cellulose
MCQ,12,Cell wall in fungi made of?,Cellulose,Chitin,Protein,None,Chitin
MCQ,13,Which kingdom has autotrophs?,Animalia,Fungi,Plantae,Protista,Plantae
MCQ,14,Which are heterotrophs?,Plantae,Animalia,Fungi,Both B and C,Both B and C
MCQ,15,Which division includes algae?,Bryophyta,Thallophyta,Pteridophyta,Gymnosperms,Thallophyta
MCQ,16,Which plants lack vascular tissue?,Pteridophyta,Bryophyta,Gymnosperms,Angiosperms,Bryophyta
MCQ,17,Which plants are called amphibians?,Thallophyta,Bryophyta,Pteridophyta,Angiosperms,Bryophyta
MCQ,18,Which plants have vascular tissues?,Bryophyta,Thallophyta,Pteridophyta,Both C and D,Both C and D
MCQ,19,Which plants bear naked seeds?,Angiosperms,Gymnosperms,Bryophyta,Pteridophyta,Gymnosperms
MCQ,20,Which plants bear seeds in fruits?,Gymnosperms,Angiosperms,Bryophyta,Thallophyta,Angiosperms
MCQ,21,Which animals have notochord?,Arthropoda,Mollusca,Chordata,Annelida,Chordata
MCQ,22,Which phylum includes insects?,Annelida,Arthropoda,Mollusca,Echinodermata,Arthropoda
MCQ,23,Which phylum has segmented body?,Annelida,Porifera,Cnidaria,Platyhelminthes,Annelida
MCQ,24,Which phylum has jointed legs?,Arthropoda,Annelida,Mollusca,Echinodermata,Arthropoda
MCQ,25,Which phylum has radial symmetry?,Arthropoda,Annelida,Echinodermata,Mollusca,Echinodermata
MCQ,26,Which phylum includes snails?,Annelida,Arthropoda,Mollusca,Chordata,Mollusca
MCQ,27,Which phylum includes starfish?,Mollusca,Arthropoda,Echinodermata,Annelida,Echinodermata
MCQ,28,Which phylum includes earthworm?,Annelida,Arthropoda,Mollusca,Echinodermata,Annelida
MCQ,29,Which animal has backbone?,Fish,Frog,Human,All,All
