Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,The main aim of improvement in food resources is?,Increase population,Increase food production,Export food,None,Increase food production
MCQ,2,Which practice improves crop yield?,Irrigation,Crop variety improvement,Both,None,Both
MCQ,3,Which crop is a cereal?,Wheat,Pulse,Oilseed,Fiber,Wheat
MCQ,4,Which crop belongs to pulses?,Rice,Wheat,Gram,Cotton,Gram
MCQ,5,Which crop gives oil?,Mustard,Wheat,Rice,Maize,Mustard
MCQ,6,Which crop gives fiber?,Cotton,Rice,Wheat,Gram,Cotton
MCQ,7,Which nutrient is required in large amount?,Micronutrient,Macronutrient,Vitamin,None,Macronutrient
MCQ,8,Which is a macronutrient?,Iron,Zinc,Nitrogen,Copper,Nitrogen
MCQ,9,Which is a micronutrient?,Nitrogen,Phosphorus,Zinc,Potassium,Zinc
MCQ,10,Which fertilizer supplies nitrogen?,Urea,Potash,Super phosphate,None,Urea
MCQ,11,Which manure improves soil fertility?,Compost,Urea,DAP,None,Compost
MCQ,12,Green manure is obtained from?,Leguminous plants,Cereals,Oilseeds,None,Leguminous plants
MCQ,13,Which method supplies water to crops?,Weeding,Irrigation,Harvesting,None,Irrigation
MCQ,14,Which irrigation method saves water?,Flood irrigation,Drip irrigation,Canal irrigation,None,Drip irrigation
MCQ,15,Which practice removes unwanted plants?,Harvesting,Weeding,Ploughing,None,Weeding
MCQ,16,Which is a weed?,Wheat,Gram,Xanthium,Rice,Xanthium
MCQ,17,Which method controls pests biologically?,Insecticides,Pesticides,Biocontrol,None,Biocontrol
MCQ,18,Which chemical controls pests?,Fertilizer,Pesticide,Manure,None,Pesticide
MCQ,19,Which practice loosens soil?,Harvesting,Ploughing,Weeding,None,Ploughing
MCQ,20,Rabi crops are grown in?,Summer,Rainy,Winter,None,Winter
MCQ,21,Kharif crops are grown in?,Winter,Summer,Rainy,None,Rainy
MCQ,22,Which is a rabi crop?,Rice,Maize,Wheat,Cotton,Wheat
MCQ,23,Which is a kharif crop?,Wheat,Gram,Rice,Mustard,Rice
MCQ,24,Which disease affects crops?,Rust in wheat,TB,None,None,Rust in wheat
MCQ,25,Which is a cash crop?,Rice,Wheat,Cotton,Maize,Cotton
MCQ,26,Which practice prevents soil erosion?,Ploughing,Weeding,Crop rotation,None,Crop rotation
MCQ,27,Which method increases soil nitrogen?,Crop rotation,Harvesting,None,None,Crop rotation
MCQ,28,Animal husbandry deals with?,Plants,Animals,Both,None,Animals
MCQ,29,Which animal gives milk?,Hen,Cow,Fish,None,Cow
MCQ,30,Which practice improves animal breed?,Cross breeding,Overfeeding,None,None,Cross breeding
MCQ,31,Poultry farming deals with?,Fish,Hens,Cows,None,Hens
MCQ,32,Fish farming is called?,Apiculture,Pisciculture,Dairy,None,Pisciculture
MCQ,33,Which fish lives in fresh water?,Tuna,Rohu,Shark,None,Rohu
MCQ,34,Which fish lives in sea?,Rohu,Catla,Tuna,None,Tuna
MCQ,35,Bee keeping is called?,Pisciculture,Apiculture,Dairy,None,Apiculture
MCQ,36,Which product is obtained from bees?,Milk,Meat,Honey,None,Honey
MCQ,37,Which nutrient is essential for growth?,Protein,Vitamin C,Water,None,Protein
MCQ,38,Which disease affects animals?,Foot and mouth disease,Rust,None,None,Foot and mouth disease
MCQ,39,Which practice prevents animal disease?,Vaccination,Overfeeding,None,None,Vaccination
MCQ,40,Which crop practice increases yield?,HYV seeds,Traditional seeds,None,None,HYV seeds
MCQ,41,Which variety matures early?,HYV,Local variety,None,None,HYV
MCQ,42,Which improves soil structure?,Manure,Fertilizer,None,None,Manure
MCQ,43,Which provides quick nutrients?,Manure,Fertilizer,None,None,Fertilizer
MCQ,44,Which animal gives wool?,Cow,Goat,Sheep,None,Sheep
MCQ,45,Which farming combines crops and animals?,Mixed farming,Monoculture,None,None,Mixed farming
