Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Metals are generally:,Good conductors of electricity,Poor conductors of electricity,Insulators,Semiconductors,Good conductors of electricity
MCQ,2,Non-metals are generally:,Good conductors of electricity,Poor conductors of electricity,Good conductors of heat,Metallic,Poor conductors of electricity
MCQ,3,Metals are generally:,Malleable,Brittle,Soft,Non-ductile,Malleable
MCQ,4,Non-metals are generally:,Malleable,Ductile,Brittle,Shiny,Brittle
MCQ,5,The property of metals to be drawn into wires is called:,Malleability,Ductility,Sonority,Lustre,Ductility
MCQ,6,The property of metals to be beaten into thin sheets is called:,Ductility,Malleability,Sonority,Lustre,Malleability
MCQ,7,The property of metals to produce sound when struck is called:,Malleability,Ductility,Sonority,Lustre,Sonority
MCQ,8,Metals generally have:,High melting points,Low melting points,Very low melting points,No melting point,High melting points
MCQ,9,The most reactive metal is:,Gold,Silver,Potassium,Iron,Potassium
MCQ,10,The least reactive metal is:,Sodium,Calcium,Gold,Aluminium,Gold
MCQ,11,Which metal is stored under kerosene?,Sodium,Gold,Silver,Copper,Sodium
MCQ,12,Which metal catches fire on reaction with water?,Gold,Silver,Sodium,Iron,Sodium
MCQ,13,Metals react with oxygen to form:,Metal oxides,Non-metal oxides,Salts,Acids,Metal oxides
MCQ,14,The reaction of metal with oxygen is called:,Reduction,Oxidation,Neutralization,Displacement,Oxidation
MCQ,15,Aluminium oxide is:,Acidic,Basic,Amphoteric,Neutral,Amphoteric
MCQ,16,Zinc oxide is:,Acidic,Basic,Amphoteric,Neutral,Amphoteric
MCQ,17,Non-metals react with oxygen to form:,Metal oxides,Acidic oxides,Basic oxides,Neutral oxides,Acidic oxides
MCQ,18,Metals react with water to form:,Metal hydroxide and hydrogen,Metal oxide and hydrogen,Salt and water,Salt and hydrogen,Metal hydroxide and hydrogen
MCQ,19,Which metal does not react with water at all?,Sodium,Potassium,Iron,Gold,Gold
MCQ,20,Which metal reacts with water at room temperature?,Gold,Silver,Sodium,Iron,Sodium
MCQ,21,Metals react with acids to produce:,Salt and water,Salt and hydrogen,Salt and oxygen,Salt and carbon dioxide,Salt and hydrogen
MCQ,22,Which metal does not react with dilute acids?,Zinc,Iron,Copper,Magnesium,Copper
MCQ,23,The most reactive metals are extracted by:,Electrolysis,Reduction with carbon,Reduction with aluminium,Heating alone,Electrolysis
MCQ,24,The metals in the middle of reactivity series are extracted by:,Electrolysis,Reduction with carbon,Reduction with aluminium,Heating alone,Reduction with carbon
MCQ,25,The least reactive metals are found in:,Combined state,Free state,Both,Neither,Free state
MCQ,26,An alloy is:,A pure metal,A mixture of metals,A compound of metals,A non-metal,A mixture of metals
MCQ,27,Brass is an alloy of:,Copper and zinc,Copper and tin,Copper and aluminium,Zinc and tin,Copper and zinc
MCQ,28,Bronze is an alloy of:,Copper and zinc,Copper and tin,Copper and aluminium,Zinc and tin,Copper and tin
MCQ,29,Steel is an alloy of:,Iron and carbon,Iron and chromium,Iron and nickel,Iron and zinc,Iron and carbon
MCQ,30,Stainless steel is an alloy of:,Iron and carbon,Iron, chromium and nickel,Iron and zinc,Iron and copper,Iron, chromium and nickel
MCQ,31,The process of slow eating away of metals due to reaction with air and moisture is called:,Rusting,Corrosion,Galvanization,Tinning,Corrosion
MCQ,32,The corrosion of iron is called:,Rusting,Tarnishing,Galvanization,Electroplating,Rusting
MCQ,33,The formula of rust is:,FeO,Fe₂O₃,Fe₃O₄,Fe(OH)₃,Fe₂O₃
MCQ,34,To prevent rusting, iron is coated with:,Zinc,Copper,Silver,Gold,Zinc
MCQ,35,The process of coating iron with zinc is called:,Galvanization,Tinning,Electroplating,Anodizing,Galvanization
MCQ,36,Ionic compounds are generally:,Solid at room temperature,Liquid at room temperature,Gas at room temperature,Plasma,Solid at room temperature
MCQ,37,Ionic compounds have:,Low melting points,High melting points,Very low melting points,No definite melting point,High melting points
MCQ,38,Ionic compounds conduct electricity in:,Solid state,Molten state,Aqueous solution,Both b and c,Both b and c
MCQ,39,The metal that is liquid at room temperature is:,Sodium,Potassium,Mercury,Calcium,Mercury
MCQ,40,The non-metal that is liquid at room temperature is:,Chlorine,Bromine,Iodine,Fluorine,Bromine
MCQ,41,The metal used in making aircraft is:,Iron,Copper,Aluminium,Silver,Aluminium
MCQ,42,The metal used in electrical wires is:,Iron,Copper,Aluminium,Both b and c,Both b and c
MCQ,43,The metal used in making jewellery is:,Iron,Copper,Gold,Aluminium,Gold
MCQ,44,Which non-metal is used in fertilizers?,Nitrogen,Oxygen,Hydrogen,Carbon,Nitrogen
MCQ,45,Which non-metal is essential for breathing?,Nitrogen,Oxygen,Hydrogen,Carbon,Oxygen
MCQ,46,The property due to which metals can be polished is called:,Malleability,Ductility,Lustre,Sonority,Lustre
MCQ,47,Which metal is used in thermometers?,Sodium,Mercury,Gold,Silver,Mercury
MCQ,48,The reaction: 2Na + 2H₂O → 2NaOH + H₂ represents reaction of metal with:,Oxygen,Water,Acid,Salt,Water
MCQ,49,The reaction: Zn + 2HCl → ZnCl₂ + H₂ represents reaction of metal with:,Oxygen,Water,Acid,Salt,Acid
MCQ,50,The metal that displaces copper from copper sulphate solution is:,Silver,Gold,Zinc,Copper,Zinc
Integer,1,The number of electrons in outermost shell of sodium (atomic number 11) is: _____.,1,,,,
Integer,2,The number of electrons in outermost shell of chlorine (atomic number 17) is: _____.,7,,,,
Integer,3,The number of valence electrons in magnesium (atomic number 12) is: _____.,2,,,,
