Question,Answer
Match the following:,
A. Light, 1. Form of energy that makes things visible
B. Shadow, 2. Dark shape formed when light is blocked
C. Reflection, 3. Bouncing back of light from surface
D. Transparent, 4. Lets light pass through
E. Opaque, 5. Does not let light pass through
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Mirror, 1. Reflects light
B. Glass, 2. Transparent object
C. Wall, 3. Opaque object
D. Shadow length, 4. Depends on light position
E. Sunlight, 5. Source of natural light
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Plane mirror, 1. Flat surface
B. Concave mirror, 2. Curved inward
C. Convex mirror, 3. Curved outward
D. Lens, 4. Bends light
E. Prism, 5. Splits light into colors
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Reflection law, 1. Angle of incidence = Angle of reflection
B. Incident ray, 2. Ray striking surface
C. Reflected ray, 3. Ray bouncing back
D. Normal, 4. Perpendicular at point of incidence
E. Shadow, 5. Formed due to obstruction of light
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Transparent objects, 1. Glass, water
B. Translucent objects, 2. Wax paper
C. Opaque objects, 3. Wall, book
D. Umbra, 4. Darkest part of shadow
E. Penumbra, 5. Partially shaded region
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Sun, 1. Natural light source
B. Lamp, 2. Artificial light source
C. Candle, 3. Artificial light source
D. Firefly, 4. Natural light source
E. Electric bulb, 5. Artificial light source
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Reflection, 1. Bouncing of light
B. Refraction, 2. Bending of light
C. Diffraction, 3. Spreading of light around obstacles
D. Dispersion, 4. Splitting of light into colors
E. Absorption, 5. Light taken in by surface
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Concave mirror, 1. Focuses light
B. Convex mirror, 2. Diverges light
C. Plane mirror, 3. Regular reflection
D. Lens, 4. Converges or diverges light
E. Prism, 5. Disperses white light
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Umbra, 1. Total shadow
B. Penumbra, 2. Partial shadow
C. Transparent, 3. Clear objects
D. Opaque, 4. Blocks light
E. Translucent, 5. Lets partial light through
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Regular reflection, 1. Smooth surface
B. Diffused reflection, 2. Rough surface
C. Mirror, 3. Plane mirror
D. Wall, 4. Diffused reflection
E. Water surface, 5. Regular reflection
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Light ray, 1. Direction of light travel
B. Incident ray, 2. Ray hitting surface
C. Reflected ray, 3. Ray bouncing back
D. Normal, 4. Perpendicular at point of incidence
E. Shadow, 5. Dark area formed
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Candle flame, 1. Source of light
B. Opaque object, 2. Blocks light
C. Transparent object, 3. Lets light pass
D. Mirror, 4. Reflects light
E. Prism, 5. Separates light into colors
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Light travels, 1. Straight line
B. Reflection, 2. Bounces back
C. Refraction, 3. Bends
D. Dispersion, 4. Colors separation
E. Absorption, 5. Taken by surface
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Moon, 1. Reflects sunlight
B. Sun, 2. Natural light source
C. Lamp, 3. Artificial source
D. Mirror, 4. Reflects light
E. Prism, 5. Splits light
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Candle shadow, 1. Opaque object
B. Hand shadow, 2. Opaque object
C. Sunlight through glass, 3. Transparent
D. Wax paper, 4. Translucent
E. Water, 5. Transparent
A-1,B-2,C-3,D-4,E-5
