Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Who proposed the law of gravitation?,Einstein,Newton,Galileo,Kepler,Newton
MCQ,2,Gravitational force acts between?,Two masses,Two charges,Two magnets,None,Two masses
MCQ,3,SI unit of gravitational force is?,dyne,newton,kg,m/s,newton
MCQ,4,Gravitational force is?,Contact force,Non-contact force,Frictional force,None,Non-contact force
MCQ,5,Gravitational force depends on?,Mass only,Distance only,Mass and distance,None,Mass and distance
MCQ,6,Gravitational force varies inversely as?,r,r²,r³,m,r²
MCQ,7,Formula of gravitational force?,F=ma,F=Gm1m2/r²,F=mv,F=mg,F=Gm1m2/r²
MCQ,8,Value of G is?,6.67×10⁻¹¹,9.8,3×10⁸,1.6×10⁻¹⁹,6.67×10⁻¹¹
MCQ,9,SI unit of G is?,N m²/kg²,kg m²/s²,N/kg,m/s²,N m²/kg²
MCQ,10,Weight is?,Mass,Force,Energy,Power,Force
MCQ,11,Weight depends on?,Mass only,Gravity only,Both mass and gravity,None,Both mass and gravity
MCQ,12,SI unit of weight?,kg,N,m/s²,kg m/s,N
MCQ,13,Mass of an object is?,Constant,Variable,Zero,Depends,Constant
MCQ,14,Weight of object on Moon is?,More than Earth,Less than Earth,Same,None,Less than Earth
MCQ,15,Acceleration due to gravity on Earth is?,9.8 m/s²,10 m/s²,8 m/s²,9 m/s,9.8 m/s²
MCQ,16,Acceleration due to gravity is denoted by?,a,g,G,v,g
MCQ,17,Value of g on Moon is?,9.8,4.9,1.6,3.7,1.6
MCQ,18,Free fall means?,Object moving up,Object under gravity only,Object at rest,None,Object under gravity only
MCQ,19,During free fall acceleration is?,Zero,g,Variable,Infinite,g
MCQ,20,Weight of object in free fall is?,Zero,mg,Less than mg,More than mg,Zero
MCQ,21,Which quantity remains constant everywhere?,Weight,Mass,Gravity,None,Mass
MCQ,22,Thrust is?,Force,Pressure,Area,None,Force
MCQ,23,Pressure is?,Force/Area,Area/Force,Force×Area,None,Force/Area
MCQ,24,SI unit of pressure?,N,m²,N/m²,kg,N/m²
MCQ,25,Pressure increases when?,Area increases,Force decreases,Area decreases,None,Area decreases
MCQ,26,Why camels have broad feet?,Increase pressure,Decrease pressure,Increase force,None,Decrease pressure
MCQ,27,Why sharp knives cut easily?,More area,Less area,Less force,None,Less area
MCQ,28,Upthrust acts?,Downwards,Upwards,Sideways,None,Upwards
MCQ,29,Upthrust is also called?,Weight,Buoyant force,Gravity,None,Buoyant force
MCQ,30,Buoyant force depends on?,Density of fluid,Volume of object,Both,None,Both
MCQ,31,Archimedes principle states?,Loss of weight equals buoyant force,Mass lost,None,None,Loss of weight equals buoyant force
MCQ,32,Object floats when?,Weight > buoyant force,Weight < buoyant force,Both equal,None,Weight < buoyant force
MCQ,33,Object sinks when?,Weight < buoyant force,Weight > buoyant force,Both equal,None,Weight > buoyant force
MCQ,34,Density is?,Mass/Volume,Volume/Mass,Mass×Volume,None,Mass/Volume
MCQ,35,SI unit of density?,kg/m³,g/cm³,kg,m³,kg/m³
MCQ,36,Relative density has unit?,Yes,No,None,None,No
MCQ,37,Relative density is ratio of?,Two densities,Two masses,Two volumes,None,Two densities
MCQ,38,Relative density of water is?,0,1,1000,Depends,1
MCQ,39,If relative density >1 object?,Floats,Sinks,Neutral,None,Sinks
MCQ,40,If relative density <1 object?,Sinks,Floats,Neutral,None,Floats
MCQ,41,Weight of object in space?,Zero,Same as Earth,Less,None,Zero
MCQ,42,Mass of object in space?,Zero,Same as Earth,Less,None,Same as Earth
MCQ,43,Force between Earth and Moon is?,Equal and opposite,Unequal,None,None,Equal and opposite
MCQ,44,Gravitation is always?,Attractive,Repulsive,Both,None,Attractive
MCQ,45,Pressure at bottom of liquid depends on?,Depth,Density,Both,None,Both
MCQ,46,Why we feel lighter in water?,Loss of mass,Upthrust,Gravity decrease,None,Upthrust
MCQ,47,SI unit of thrust?,N,N/m²,kg,m/s²,N
MCQ,48,Which force causes falling?,Magnetic,Gravitational,Friction,None,Gravitational
MCQ,49,Which remains same on Earth and Moon?,Weight,Mass,Gravity,None,Mass
MCQ,50,Gravitation is weakest among?,Fundamental forces,Contact forces,None,None,Fundamental forces

Integer,1,Who discovered gravitation?,Newton,,,,
Integer,2,Formula of gravitational force?,F=Gm1m2/r²,,,,
Integer,3,Value of g on Earth?,9.8 m/s²,,,,
Integer,4,Value of g on Moon?,1.6 m/s²,,,,
Integer,5,SI unit of G?,N m²/kg²,,,,
Integer,6,Weight formula?,W=mg,,,,
Integer,7,Mass unit?,kg,,,,
