Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who invented the printing press?,Johannes Gutenberg,James Watt,Isaac Newton,Marco Polo,Johannes Gutenberg
MCQ,2,The first printed book was the,Bible,Newspaper,Novel,Magazine,Bible
MCQ,3,The printing press was invented in the,14th century,15th century,16th century,17th century,15th century
MCQ,4,The first printing press in India was set up in,Goa,Bombay,Calcutta,Delhi,Goa
MCQ,5,Who introduced the printing press in India?,Portuguese missionaries,British officials,Indian rulers,Traders,Portuguese missionaries
MCQ,6,Print culture led to the spread of,Illiteracy,Knowledge,Slavery,Colonialism,Knowledge
MCQ,7,The first newspapers appeared in,China,Europe,India,America,Europe
MCQ,8,The Protestant Reformation was led by,Martin Luther,Gutenberg,Calvin,Henry VIII,Martin Luther
MCQ,9,Martin Luther criticized the,Printing press,Church practices,Bible,Education,Church practices
MCQ,10,Print culture helped spread,Democracy,Ideas and reforms,Slavery,Imperialism,Ideas and reforms
MCQ,11,Which book popularised scientific ideas?,Bible,Encyclopaedia,Novel,Magazine,Encyclopaedia
MCQ,12,Cheap books were called,Hardbacks,Manuscripts,Chapbooks,Comics,Chapbooks
MCQ,13,Which country was first to use woodblock printing?,China,India,France,Germany,China
MCQ,14,The first novel printed in India was,Rajmohan’s Wife,Godaan,Devdas,Pariksha Guru,Rajmohan’s Wife
MCQ,15,Who wrote Rajmohan’s Wife?,Premchand,Bankim Chandra Chattopadhyay,Rabindranath Tagore,Bharatendu Harishchandra,Bankim Chandra Chattopadhyay
MCQ,16,Print culture encouraged,Oral tradition,Reading habit,Illiteracy,Silence,Reading habit
MCQ,17,Which group benefited most from print culture?,Only elites,Common people,Rulers only,Clergy,Common people
MCQ,18,The Vernacular Press Act was passed in,1857,1878,1905,1919,1878
MCQ,19,The Vernacular Press Act was aimed at controlling,Indian press,British press,Education,Trade,Indian press
MCQ,20,Print culture helped women by promoting,Education,Domestic work,Isolation,Tradition,Education
MCQ,21,Who wrote Gulamgiri?,Jyotiba Phule,B R Ambedkar,Gandhi,Tagore,Jyotiba Phule
MCQ,22,Print culture helped in spreading,Nationalism,Illiteracy,Colonial rule,Poverty,Nationalism
MCQ,23,Which language newspapers grew in India?,English only,Vernacular languages,Latin,Chinese,Vernacular languages
MCQ,24,Print culture led to fear of,Moral decay,Loss of authority,Knowledge growth,Education,Loss of authority
MCQ,25,Which class feared print culture?,Common people,Elites,Rulers,Women,Rulers
MCQ,26,Who introduced lithography?,Gutenberg,Thomas Edison,Alois Senefelder,Newton,Alois Senefelder
MCQ,27,Print allowed people to read in,Groups,Silence,Only aloud,Public places,Silence
MCQ,28,The first newspaper in India was,Hickey’s Bengal Gazette,Times of India,Amrita Bazar Patrika,Kesari,Hickey’s Bengal Gazette
MCQ,29,Print culture led to rise of,Public opinion,Illiteracy,Slavery,Isolation,Public opinion
MCQ,30,Print culture played a role in,Freedom movement,Colonial expansion,Trade only,Agriculture,Freedom movement
MCQ,31,Who started Kesari newspaper?,Tilak,Gandhi,Nehru,Tagore,Tilak
MCQ,32,Print culture spread ideas of,Liberty and equality,Slavery,Monarchy,Imperialism,Liberty and equality
MCQ,33,Who were early readers in Europe?,Clergy and elites,Workers only,Peasants only,Women only,Clergy and elites
MCQ,34,Print made knowledge,Limited,Expensive,Accessible,Hidden,Accessible
MCQ,35,Print culture increased literacy by,Making books cheap,Destroying schools,Limiting reading,Oral teaching,Making books cheap
MCQ,36,Which medium replaced manuscripts?,Printing press,Telegraph,Radio,Telephone,Printing press
MCQ,37,Print culture helped spread,Scientific ideas,Superstition,Colonial laws,Fear,Scientific ideas
MCQ,38,The colonial government feared print because it spread,Criticism,Praise,Support,Silence,Criticism
MCQ,39,Print culture transformed society by,Creating debate,Stopping ideas,Destroying culture,Isolation,Creating debate
MCQ,40,Which group used print for reforms?,Social reformers,Colonial rulers,Merchants only,Farmers only,Social reformers
MCQ,41,Print culture helped form,Public opinion,Dictatorship,Colonial power,Slavery,Public opinion
MCQ,42,Which technology preceded print?,Manuscripts,Radio,Television,Internet,Manuscripts
MCQ,43,Print culture led to decline of,Handwritten books,Education,Ideas,Reading,Handwritten books
MCQ,44,Who controlled print through censorship?,Readers,Printers,Rulers,Teachers,Rulers
MCQ,45,Print culture helped nationalism by,Uniting people,Dividing people,Suppressing ideas,Silencing voices,Uniting people
MCQ,46,Which movement used print effectively?,National movement,Colonial movement,Trade movement,Labour movement,National movement
MCQ,47,Print culture increased discussion on,Social issues,Only religion,Only trade,Only war,Social issues
MCQ,48,Print made reading a,Public activity,Private activity,Dangerous act,Forbidden act,Private activity
MCQ,49,Which region saw early print revolution?,Europe,Africa,Australia,America,Europe
MCQ,50,The central idea of the chapter is,History of books,Impact of print on society,Colonialism only,Education system,Impact of print on society

Integer,1,Inventor of printing press?,Gutenberg,,,,
Integer,2,First printed book?,Bible,,,,
Integer,3,Country of woodblock printing?,China,,,,
Integer,4,First printing press in India?,Goa,,,,
Integer,5,Leader of Reformation?,Martin Luther,,,,
Integer,6,Cheap books called?,Chapbooks,,,,
Integer,7,First newspaper in India?,Hickey’s Bengal Gazette,,,,
Integer,8,Act controlling vernacular press?,Vernacular Press Act,,,,
Integer,9,Year of Vernacular Press Act?,1878,,,,
Integer,10,First Indian novel?,Rajmohan’s Wife,,,,
Integer,11,Author of Rajmohan’s Wife?,Bankim Chandra Chattopadhyay,,,,
Integer,12,Technique replacing manuscripts?,Printing,,,,
Integer,13,Print spread ideas of?,Reform,,,,
Integer,14,Group fearing print?,Rulers,,,,
Integer,15,Print helped spread?,Nationalism,,,,
Integer,16,Social reformer author of Gulamgiri?,Jyotiba Phule,,,,
Integer,17,Language newspapers grew?,Vernacular,,,,
Integer,18,Early European readers?,Clergy,,,,
Integer,19,Print increased?,Literacy,,,,
Integer,20,First printed religious book?,Bible,,,,
Integer,21,Print culture formed?,Public opinion,,,,
Integer,22,Who started Kesari?,Tilak,,,,
