Question,Answer
Describe Kalpana Chawla’s early life and interests.,She was born in Karnal and showed interest in flying from childhood.
How did Kalpana Chawla achieve her dream?,Through education, determination, and hard work.
Why did Kalpana choose to study abroad?,India lacked advanced aerospace education.
How did Kalpana become an astronaut?,She joined NASA after completing her studies.
Explain Kalpana’s achievements.,She flew two space missions and conducted research.
Why is Kalpana Chawla an inspiration?,She broke barriers and followed her dreams.
Describe her contribution to space science.,She performed experiments in space.
What challenges did Kalpana face?,Gender bias and intense training.
Why was her second mission important?,It focused on scientific experiments.
Explain the significance of the Columbia disaster.,It showed risks of space exploration.
How did Kalpana face danger?,With bravery.
What message did Kalpana give to students?,Dream big and work hard.
Why is Kalpana considered a global icon?,She inspired people worldwide.
How does the chapter encourage girls?,By showing a woman’s success.
Explain Kalpana’s dedication.,She trained rigorously.
Why was her journey difficult?,Space training is demanding.
How does the story blend tragedy and inspiration?,Her death was tragic but her life inspires.
Explain Kalpana’s educational journey.,She studied engineering and space science.
Why did she keep Indian identity?,She was proud of her roots.
What lesson does her failure teach?,Risk is part of success.
How did Kalpana break stereotypes?,By excelling in space science.
Explain the importance of perseverance.,It helped her succeed.
How does the chapter promote science education?,By highlighting scientific career.
Why should students learn from her life?,To stay motivated.
What does space exploration require?,Courage and skill.
How did Kalpana influence Indian students?,She inspired scientific ambition.
Explain her role as a pioneer.,First Indian-origin woman in space.
How does tragedy strengthen her legacy?,Her sacrifice is remembered.
What values define her personality?,Courage, discipline, humility.
Why is her life story relevant today?,Dreams still need effort.
How does the chapter portray ambition?,As positive force.
Why did Kalpana’s story touch hearts?,Her dedication and sacrifice.
Explain NASA’s role in her life.,Provided opportunity.
How did Kalpana face criticism?,With determination.
What does her success represent?,Women empowerment.
How does the chapter motivate perseverance?,By example.
Why is Kalpana’s life called extraordinary?,She achieved rare success.
Explain how Kalpana inspired confidence.,By proving success possible.
Why is space research risky?,Technical challenges.
How did Kalpana serve as a bridge?,Between India and America.
Explain impact of her death.,Global mourning.
What does chapter say about dreams?,They require effort.
How is Kalpana remembered?,As brave astronaut.
Why did she choose science?,Curiosity.
How does education empower?,Opens opportunities.
Explain importance of role models.,Inspire youth.
Why is Kalpana admired?,Her courage.
How does chapter end emotionally?,With respect.
What moral does story give?,Never stop dreaming.
