Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who wrote the poem "The Lake Isle of Innisfree"?,Robert Frost,W B Yeats,John Keats,William Wordsworth,W B Yeats
MCQ,2,The poem expresses a desire for?,City life,Solitude and peace,Wealth,Fame,Solitude and peace
MCQ,3,Innisfree is a?,City,Lake island,Mountain,Forest,Lake island
MCQ,4,Where does the poet want to go?,London,Innisfree,Dublin,Paris,Innisfree
MCQ,5,What will the poet build there?,House,Cottage,Small cabin,Palace,Small cabin
MCQ,6,How many bean rows will the poet have?,Seven,Nine,Twelve,Ten,Nine
MCQ,7,What surrounds the bean rows?,Trees,Hedges,Bee-loud glade,Fence,Bee-loud glade
MCQ,8,What does the poet want to hear?,Music,Wind,Cricket song,Lake water sounds,Lake water sounds
MCQ,9,The poet hears lake water?,At night,At morning,All day and night,Only evening,All day and night
MCQ,10,What does peace come dropping from?,Sky,Clouds,Morning veil,Dew,Morning veil
MCQ,11,Where does peace drop from?,Evening,Morning veil,Night,Stars,Morning veil
MCQ,12,The poet associates peace with?,Noise,City,Nature,People,Nature
MCQ,13,What time of day is described as purple?,Morning,Noon,Evening,Night,Evening
MCQ,14,What shines at noon?,Stars,Sun,Bees,Moon,Moon
MCQ,15,What is full of linnet’s wings?,Trees,Air,Island,Valley,Air
MCQ,16,The poet stands in?,Forest,Street,pavement grey,Field,pavement grey
MCQ,17,Where is the poet currently?,Village,Island,City,Nature,City
MCQ,18,What sound does the poet hear in his heart?,Wind,Birds,Lake water,Silence,Lake water
MCQ,19,The poem highlights contrast between?,Rich-poor,City-nature,Old-young,Noise-music,City-nature
MCQ,20,What is the poet tired of?,Nature,Peace,City noise,Silence,City noise
MCQ,21,The poem’s tone is?,Angry,Hopeful,Calm and reflective,Sad,Calm and reflective
MCQ,22,The poet longs for?,Adventure,Solitude,Fame,Wealth,Solitude
MCQ,23,What does Innisfree symbolize?,Escape,Isolation,Peaceful life,Danger,Peaceful life
MCQ,24,The poet wants to live?,With people,Alone,In city,In palace,Alone
MCQ,25,What kind of poem is this?,Narrative,Lyric,Dramatic,Sonnet,Lyric
MCQ,26,The central theme is?,Nature beauty,Escape into nature,Travel,War,Escape into nature
MCQ,27,The poem is written in?,Free verse,Blank verse,Rhyming stanzas,Prose,Rhyming stanzas
MCQ,28,What feeling dominates the poem?,Fear,Anger,Peace,Hatred,Peace
MCQ,29,The poet’s dream life is?,Busy,Simple,Luxurious,Dangerous,Simple
MCQ,30,What does the poet seek?,Money,Power,Inner peace,Success,Inner peace
MCQ,31,What creates peace for the poet?,Crowds,Nature,City lights,Noise,Nature
MCQ,32,The bees are?,Silent,Loud,Angry,Invisible,Loud
MCQ,33,The poem shows poet’s?,Greed,Ambition,Longing,Anger,Longing
MCQ,34,The poet’s heart feels?,Empty,Disturbed,Calm,Heavy,Calm
MCQ,35,The lake water sound is?,Imaginary,Real,Remembered,Forgotten,Remembered
MCQ,36,The poet’s imagination works in?,City,Nature memories,Books,People,Nature memories
MCQ,37,What color is the pavement?,White,Green,Grey,Black,Grey
MCQ,38,The poet listens to?,Traffic,Lake water,People,Music,Lake water
MCQ,39,What is the mood at Innisfree?,Chaotic,Peaceful,Busy,Loud,Peaceful
MCQ,40,What does the linnet symbolize?,Peace,Music,Freedom,Danger,Freedom
MCQ,41,What literary device is widely used?,Simile,Metaphor,Imagery,Irony,Imagery
MCQ,42,What does “bee-loud glade” suggest?,Silence,Noise of bees,City noise,Danger,Noise of bees
MCQ,43,What does the poet dislike?,Nature,Solitude,Urban life,Quietness,Urban life
MCQ,44,The poet’s desire is?,Temporary,Permanent,Uncertain,Dangerous,Permanent
MCQ,45,The poem shows escape from?,Happiness,Peace,Modern life,Nature,Modern life
MCQ,46,What brings calm to the poet’s heart?,Crowds,Noise,Nature sounds,City,Nature sounds
MCQ,47,The poem ends with?,Anger,Hope,Peace,Fear,Peace
MCQ,48,The island life is?,Luxurious,Simple,Hard,Noisy,Simple
MCQ,49,The poet’s present life is?,Peaceful,Busy,Stressful,Ideal,Stressful
MCQ,50,Main message of poem?,Live in city,Seek peace in nature,Be rich,Be social,Seek peace in nature

Integer,1,Poet?,W B Yeats,,,,
Integer,2,Poem type?,Lyric,,,,
Integer,3,Island?,Innisfree,,,,
Integer,4,Theme?,Peace,,,,
Integer,5,Bean rows?,Nine,,,,
Integer,6,Poet location?,City,,,,
Integer,7,Pavement color?,Grey,,,,
Integer,8,Desired life?,Simple,,,,
Integer,9,Sound heard?,Lake water,,,,
Integer,10,Mood?,Calm,,,,
Integer,11,Central symbol?,Innisfree,,,,
Integer,12,Poet desire?,Solitude,,,,
Integer,13,Noise source?,City,,,,
Integer,14,Bees?,Loud,,,,
Integer,15,Peace source?,Nature,,,,
