Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who wrote the poem "The Snake Trying"?,Ted Hughes,W W E Ross,Robert Frost,John Keats,W W E Ross
MCQ,2,The poem describes?,A dangerous snake,A harmless snake escaping,A fight,A forest,A harmless snake escaping
MCQ,3,Where is the snake trying to go?,Forest,Hole in the wall,Water,Sky,Hole in the wall
MCQ,4,Who tries to kill the snake?,Farmer,Poet,Man with a stick,Hunter,Man with a stick
MCQ,5,The snake is?,Aggressive,Poisonous,Harmless,Fierce,Harmless
MCQ,6,What does the snake do?,Attacks humans,Tries to escape,Sleeps,Bites animals,Tries to escape
MCQ,7,The snake is chased with?,Stone,Stick,Fire,Knife,Stick
MCQ,8,The snake’s body is?,Straight,Curved and wriggling,Fat,Stiff,Curved and wriggling
MCQ,9,The poem shows the snake as?,Cruel,Innocent,Dangerous,Evil,Innocent
MCQ,10,What is the tone of the poem?,Angry,Sympathetic,Humorous,Joyful,Sympathetic
MCQ,11,The snake is compared to?,Rope,Water,Lightning,Stick,Water
MCQ,12,What does the snake want?,Food,To bite,To escape,To rest,To escape
MCQ,13,The snake moves?,Slowly,Smoothly,Violently,Heavily,Smoothly
MCQ,14,The man attacks the snake because of?,Fear,Fun,Hatred,Order,Fear
MCQ,15,The snake represents?,Evil,Danger,Innocent nature,Violence,Innocent nature
MCQ,16,The poet’s attitude is?,Fearful,Neutral,Compassionate,Angry,Compassionate
MCQ,17,The poem suggests snakes are?,Always dangerous,Always friendly,Often misunderstood,Monsters,Often misunderstood
MCQ,18,What happens to the snake at the end?,Dies,Escapes,Bites man,Attacks,Escapes
MCQ,19,The snake glides like?,Water,Fire,Wind,Stone,Water
MCQ,20,The poem is a?,Narrative poem,Lyric poem,Didactic poem,Sonnet,Narrative poem
MCQ,21,What kind of snake is described?,Cobra,Python,Harmless garden snake,Viper,Harmless garden snake
MCQ,22,The man’s reaction shows?,Kindness,Ignorance,Hatred,Joy,Ignorance
MCQ,23,The snake is frightened by?,Man’s voice,Stick,Noise,Light,Stick
MCQ,24,What does the poet want us to feel?,Fear,Hatred,Pity,Anger,Pity
MCQ,25,The snake’s movement is?,Rough,Graceful,Clumsy,Noisy,Graceful
MCQ,26,The poem highlights conflict between?,Man and animal,Snake and snake,Man and man,Nature and city,Man and animal
MCQ,27,The snake’s attempt is to?,Attack,Bite,Hide,Escape,Escape
