Question,Answer
What is separation of substances?,Process of separating mixed substances
Name a method to separate solids from liquids.,Filtration
Name a method to separate liquids from solids.,Decantation
Which method separates fine particles from liquids?,Filtration
Which method separates immiscible liquids?,Separating funnel
Which method separates soluble solids from liquids?,Evaporation
Which method separates substances based on density?,Sedimentation
Which method separates light particles from heavy particles?,Winnowing
Which method is used to separate husk from grains?,Winnowing
Which method is used to get salt from seawater?,Evaporation
Which method is used to separate cream from milk?,Centrifugation
Which method is used to remove impurities from water?,Filtration
Which method is used to separate sand from water?,Filtration
Which method is used to separate oil from water?,Decantation
Which method separates alcohol from water?,Distillation
Which method separates mixtures using funnel?,Separating funnel
Which method separates insoluble solid from liquid?,Filtration
Which method separates solid from liquid in lab?,Filtration
Which method separates heavy particles from liquids?,Sedimentation
Which method separates lighter substance from grains?,Winnowing
Which method separates sugar from sugar solution?,Evaporation
Which method separates cream from milk?,Centrifugation
Which method separates oil layer from water layer?,Decantation
Which method separates two liquids with different boiling points?,Distillation
Which method is used to purify drinking water?,Filtration
Which method is used to separate fine sand from water?,Filtration
Which method is used to separate mud from water?,Decantation
Which method separates alcohol from water?,Distillation
Which method separates lighter particles from heavier ones?,Winnowing
Which method separates soluble solid from liquid?,Evaporation
Which method separates immiscible liquids in lab?,Separating funnel
Which method separates cream in dairy?,Centrifugation
Which method removes solid impurities from liquids?,Filtration
Which method removes oil from water?,Decantation
Which method separates salt from water?,Evaporation
Which method separates two liquids based on density?,Separating funnel
Which method separates lighter husk from grains?,Winnowing
Which method separates milk into cream and skim milk?,Centrifugation
Which method purifies water in labs?,Filtration
Which method separates soluble sugar from water?,Evaporation
Which method separates insoluble sand from water?,Filtration
Which method separates oil from water mixture?,Decantation
Which method separates alcohol and water?,Distillation
Which method separates heavy and light particles?,Winnowing
Which method separates cream from milk quickly?,Centrifugation
Which method separates water from salt solution?,Evaporation
Which method separates two immiscible liquids?,Separating funnel
Which method is used in laboratories to separate mixtures?,Filtration
Which method separates solid impurities from liquids?,Filtration
Which method separates substances based on solubility?,Evaporation
Which method separates substances based on density?,Separating funnel
