Question,Answer
1. Sum of first 20 natural numbers,A. 210
2. Sum of first 15 whole numbers,B. 105
3. Difference between 1000 and 567,C. 433
4. Product of 125 × 8,D. 1000
5. Quotient when 12,345 is divided by 5,E. 2469
6. Sum of first 30 natural numbers,F. 465
7. Product of 17 × 23,G. 391
8. Difference of 10,000 − 9876,H. 124
9. If 15 × __ = 225,I. 15
10. Quotient of 540 ÷ 12,J. 45
11. Sum of first 25 whole numbers,K. 300
12. Product of 123 × 11,L. 1353
13. Sum of 50 + 60 + 70 + 80 + 90,M. 350
14. Difference of 1000 − 678,N. 322
15. Sum of 123 + 456 + 789,O. 1368
