Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Figures having the same area are called?,Congruent figures,Similar figures,Equivalent figures,Equal figures,Equivalent figures
MCQ,2,Parallelograms on the same base and between the same parallels have?,Equal perimeter,Equal area,Equal sides,Equal angles,Equal area
MCQ,3,Triangles on the same base and between the same parallels have?,Equal perimeter,Equal area,Equal sides,Equal angles,Equal area
MCQ,4,Area of a parallelogram is given by?,1/2 × base × height,base × height,base + height,2 × base × height,base × height
MCQ,5,Area of a triangle is?,base × height,1/2 × base × height,2 × base × height,base + height,1/2 × base × height
MCQ,6,If two parallelograms have same base and height, their areas are?,Unequal,Equal,Half,Double,Equal
MCQ,7,Two triangles having equal bases and equal heights have?,Equal areas,Unequal areas,Half areas,Double areas,Equal areas
MCQ,8,Area of triangle is how much of parallelogram on same base and height?,Equal,Half,Double,Triple,Half
MCQ,9,Which figures have equal areas but different shapes?,Congruent,Equivalent,Similar,Identical,Equivalent
MCQ,10,If base of parallelogram is doubled and height same, area becomes?,Same,Double,Half,Triple,Double
MCQ,11,If height of triangle is doubled and base same, area becomes?,Same,Double,Half,Triple,Double
MCQ,12,Parallelograms between same parallels have?,Equal heights,Equal bases,Equal angles,Equal sides,Equal heights
MCQ,13,Triangles between same parallels have?,Equal heights,Equal bases,Equal angles,Equal sides,Equal heights
MCQ,14,Which is true?,Equal figures have equal area,Equivalent figures have equal area,Congruent figures may have different area,None,Equivalent figures have equal area
MCQ,15,If two triangles are on same base and same parallels, then they are?,Congruent,Similar,Equivalent,Equal,Equivalent
MCQ,16,Area of a parallelogram depends on?,Base only,Height only,Base and height,Sides only,Base and height
MCQ,17,Area of a triangle depends on?,Sides only,Angles only,Base and height,Perimeter,Base and height
MCQ,18,If two parallelograms have equal areas and equal bases, their heights are?,Unequal,Equal,Half,Double,Equal
MCQ,19,If two triangles have equal areas and equal heights, their bases are?,Equal,Unequal,Double,Half,Equal
MCQ,20,Area of parallelogram with base 10 cm and height 5 cm is?,25 cm²,50 cm²,100 cm²,15 cm²,50 cm²
MCQ,21,Area of triangle with base 12 cm and height 5 cm is?,60 cm²,30 cm²,25 cm²,120 cm²,30 cm²
MCQ,22,Two figures having same shape and size are?,Equivalent,Similar,Congruent,None,Congruent
