Question,Option A,Option B,Option C,Option D,Answer
Which nutrient gives energy to our body?,Proteins,Vitamins,Carbohydrates,Minerals,Carbohydrates
Which nutrient is needed for growth and repair?,Carbohydrates,Fats,Proteins,Vitamins,Proteins
Which nutrient protects our body from diseases?,Proteins,Carbohydrates,Vitamins,Fats,Vitamins
Which nutrient helps in keeping bones strong?,Vitamins,Minerals,Carbohydrates,Proteins,Minerals
Which nutrient gives more energy per gram?,Proteins,Fats,Vitamins,Water,Fats
Which of these is a source of carbohydrates?,Rice,Milk,Egg,Fish,Rice
Which of these is rich in proteins?,Pulses,Oil,Sugar,Butter,Pulses
Which food is rich in fats?,Butter,Rice,Apple,Spinach,Butter
Which nutrient is required in small amounts?,Carbohydrates,Proteins,Vitamins,Fats,Vitamins
Which food is rich in vitamins?,Fruits,Oil,Sugar,Rice,Fruits
Which food is rich in minerals?,Milk,Fruits,Both A and B,None,Both A and B
Which nutrient helps in proper functioning of body?,Vitamins,Carbohydrates,Fats,Proteins,Vitamins
Which nutrient is essential for healthy skin?,Proteins,Vitamins,Carbohydrates,Minerals,Vitamins
Which of these is a body-building food?,Rice,Potato,Pulses,Sugar,Pulses
Which of these is an energy-giving food?,Bread,Milk,Vegetables,Egg,Bread
Which nutrient helps in digestion?,Vitamins,Fibre,Proteins,Fats,Fibre
Which of these is a roughage?,Rice,Wheat,Salad,Milk,Salad
Which nutrient helps in strong teeth?,Vitamins,Minerals,Carbohydrates,Proteins,Minerals
Which nutrient prevents deficiency diseases?,Proteins,Vitamins,Carbohydrates,Fats,Vitamins
Which food contains vitamin C?,Orange,Rice,Butter,Meat,Orange
Which nutrient is present in pulses?,Fats,Proteins,Carbohydrates,Vitamins,Proteins
Which nutrient helps in energy storage?,Proteins,Carbohydrates,Fats,Vitamins,Fats
Which of these foods is rich in minerals?,Green leafy vegetables,Oil,Sugar,Rice,Green leafy vegetables
Which nutrient is needed for proper growth?,Proteins,Fats,Carbohydrates,Vitamins,Proteins
Which of these is a balanced diet?,Only rice,Rice and dal,Only fruits,Only meat,Rice and dal
Which nutrient is present in oils?,Proteins,Fats,Carbohydrates,Vitamins,Fats
Which food gives us vitamin A?,Carrot,Potato,Rice,Wheat,Carrot
Which nutrient keeps eyes healthy?,Vitamins,Proteins,Carbohydrates,Minerals,Vitamins
Which nutrient is needed to build muscles?,Carbohydrates,Proteins,Fats,Vitamins,Proteins
Which food is rich in calcium?,Milk,Rice,Oil,Sugar,Milk
Which nutrient prevents night blindness?,Vitamin A,Vitamin C,Vitamin D,Iron,Vitamin A
Which nutrient is found in citrus fruits?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
Which of these is a protein-rich food?,Egg,Rice,Potato,Sugar,Egg
Which nutrient is present in wheat?,Proteins,Carbohydrates,Fats,Vitamins,Carbohydrates
Which nutrient helps in blood formation?,Iron,Calcium,Vitamin A,Vitamin C,Iron
Which food is rich in iron?,Spinach,Milk,Rice,Oil,Spinach
Which nutrient is present in ghee?,Proteins,Fats,Carbohydrates,Vitamins,Fats
Which nutrient helps in healing wounds?,Proteins,Carbohydrates,Fats,Vitamins,Proteins
Which food gives energy quickly?,Sugar,Milk,Vegetables,Egg,Sugar
Which nutrient is present in fruits?,Vitamins,Proteins,Fats,Carbohydrates,Vitamins
Which nutrient is present in cereals?,Proteins,Carbohydrates,Fats,Vitamins,Carbohydrates
Which of these foods is body-building?,Meat,Sugar,Oil,Rice,Meat
Which nutrient helps in keeping the body healthy?,Vitamins,Carbohydrates,Fats,Proteins,Vitamins
Which nutrient is present in nuts?,Proteins,Fats,Carbohydrates,All of these,All of these
Which nutrient is required daily?,Vitamins,All nutrients,None,Only fats,All nutrients
Which food is rich in fibre?,Vegetables,Milk,Butter,Egg,Vegetables
Which nutrient helps prevent constipation?,Proteins,Fats,Fibre,Carbohydrates,Fibre
Which nutrient is found in bananas?,Carbohydrates,Proteins,Fats,Vitamins,Carbohydrates
Which of these makes food a balanced diet?,Presence of all nutrients,Only proteins,Only carbohydrates,Only fats,Presence of all nutrients
