Question,Option A,Option B,Option C,Option D,Answer
Which of the following is a quadrilateral?,Triangle,Square,Circle,Pentagon,B
The sum of angles in a triangle is?,90°,180°,270°,360°,B
Which shape has all sides equal and all angles 90°?,Rectangle,Square,Rhombus,Parallelogram,B
A polygon with 5 sides is called?,Pentagon,Hexagon,Heptagon,Octagon,A
Which of the following has no vertices?,Circle,Square,Triangle,Rectangle,A
Diagonals of a rectangle are?,Equal and bisect each other,Unequal,Equal but do not bisect,Unequal and bisect,A
The sum of interior angles of a pentagon is?,540°,360°,180°,720°,A
Which quadrilateral has only one pair of parallel sides?,Rectangle,Trapezium,Square,Rhombus,B
All sides equal but angles not 90° is?,Rectangle,Rhombus,Square,Trapezium,B
A triangle with all sides unequal is called?,Equilateral,Isosceles,Scalene,Right-angled,C
Which shape has infinite lines of symmetry?,Circle,Square,Rectangle,Triangle,A
Diagonals of a rhombus?,Perpendicular bisectors,Equal,Not intersect,Parallel,A
The perimeter of a square with side 5 cm is?,20 cm,25 cm,10 cm,15 cm,A
A rectangle has length 8 cm and breadth 5 cm. Its area is?,40 cm²,20 cm²,13 cm²,26 cm²,A
Which quadrilateral has diagonals equal and perpendicular?,Rectangle,Rhombus,Square,Parallelogram,C
The sum of angles in a hexagon is?,720°,540°,360°,900°,A
Which triangle has all sides equal?,Equilateral,Isosceles,Scalene,Right-angled,A
A parallelogram has diagonals that?,Bisect each other,Are equal,Are perpendicular,Do not intersect,A
Which quadrilateral has diagonals perpendicular but not equal?,Rhombus,Rectangle,Square,Trapezium,A
The number of sides in an octagon is?,6,8,5,7,B
Which triangle has one angle 90°?,Right-angled,Equilateral,Isosceles,Scalene,A
The sum of exterior angles of any polygon is?,360°,180°,540°,720°,A
Which shape has exactly two lines of symmetry?,Rectangle,Square,Circle,Rhombus,A
The perimeter of rectangle with length 7 cm and breadth 3 cm is?,20 cm,10 cm,25 cm,21 cm,A
Area of triangle with base 6 cm and height 4 cm is?,12 cm²,10 cm²,24 cm²,8 cm²,A
Which polygon has all sides and angles equal?,Regular pentagon,Square,Rhombus,Trapezium,A
The diagonals of a square are?,Equal and perpendicular,Equal only,Perpendicular only,Unequal,A
Which quadrilateral has no sides parallel?,Kite,Scalene quadrilateral,Parallelogram,Rectangle,B
A triangle with two equal sides is called?,Equilateral,Isosceles,Scalene,Right-angled,B
The number of diagonals in a pentagon is?,5,10,7,3,A
A hexagon has how many diagonals?,9,6,12,3,A
Which quadrilateral has opposite sides equal?,Parallelogram,Rectangle,Rhombus,Kite,A
Which polygon has 6 sides?,Hexagon,Heptagon,Octagon,Pentagon,A
The sum of interior angles of an octagon is?,1080°,720°,900°,600°,A
The sum of interior angles of a triangle is always?,180°,90°,360°,270°,A
A quadrilateral with no sides equal and no parallel sides is?,Trapezium,Irregular quadrilateral,Rectangle,Rhombus,B
Which polygon has 7 sides?,Heptagon,Hexagon,Octagon,Pentagon,A
Which triangle has angles 60°, 60°, 60°?,Equilateral,Isosceles,Scalene,Right-angled,A
A square with side 4 cm has perimeter?,16 cm,12 cm,14 cm,18 cm,A
A rhombus has diagonals?,Bisect each other at 90°,Equal,Not intersect,Parallel,A
The diagonal of rectangle with length 6 cm and breadth 8 cm is?,10 cm,12 cm,14 cm,8 cm,A
Which quadrilateral has diagonals that bisect angles?,Rhombus,Rectangle,Square,Trapezium,A
The area of square with side 9 cm is?,81 cm²,72 cm²,90 cm²,100 cm²,A
The area of rectangle with length 12 cm and breadth 5 cm is?,60 cm²,17 cm²,45 cm²,55 cm²,A
Which triangle has no equal sides?,Scalene,Isosceles,Equilateral,Right-angled,A
Which quadrilateral has equal opposite angles?,Parallelogram,Square,Rhombus,Kite,A
A triangle with sides 5 cm, 5 cm, 8 cm is?,Isosceles,Equilateral,Scalene,Right-angled,A
The sum of exterior angles of a hexagon is?,360°,540°,720°,180°,A
A circle has?,0 vertices,4 vertices,3 vertices,2 vertices,A
Which quadrilateral has one pair of opposite sides equal and parallel?,Trapezium,Parallelogram,Rhombus,Square,A
