Question,Option A,Option B,Option C,Option D,Correct Answer
Why does the child ask many questions?,To trouble teachers,Out of fear,Out of curiosity,Out of anger,Out of curiosity
What does the poem reveal about children?,They are rude,They are curious,They are careless,They are lazy,They are curious
Why does the child wonder about teachers’ homes?,Teachers seem mysterious,Teachers never talk,Teachers are strict,Teachers scold often,Teachers seem mysterious
What does the poem suggest about teachers?,They are strict always,They have no personal life,They are humans too,They live in school,They are humans too
Why does the child imagine teachers differently?,Lack of knowledge,Overthinking,Innocence and imagination,Fear,Innocence and imagination
What kind of questions are asked?,Logical,Scientific,Innocent and imaginative,Rude,Difficult,Innocent and imaginative
What does the poem show about the child’s mind?,Fearful,Creative,Angry,Dull,Creative
Why is the poem humorous?,Strange questions,Childlike thinking,Unexpected ideas,All of these,All of these
What is the poet’s tone?,Angry,Serious,Light and playful,Sad,Light and playful
Why does the poem make readers smile?,Relatable childhood thoughts,Funny language,Simple ideas,Both A and B,Both A and B
What does the child think teachers do at night?,Teach,Sleep,Disappear,Mark papers,Sleep
What does the poem highlight about teacher-student relation?,Fear-based,Formal only,Human connection,Strict discipline,Human connection
Why is the poem relatable?,Everyone was a child once,Simple language,School experience,Both A and C,Both A and C
What does the poem encourage students to do?,Fear teachers,Question authority,Understand teachers,Ignore teachers,Understand teachers
What does the poem suggest about authority?,Always strict,Always distant,Can be human and friendly,Always scary,Can be human and friendly
Why does the child wonder about teachers’ parents?,Curiosity,Confusion,Fear,Respect,Curiosity
What does the poem say about imagination?,It is useless,It is dangerous,It is natural in children,It should stop,It is natural in children
Why does the poet use simple language?,To confuse readers,For children’s understanding,To sound serious,To show authority,For children’s understanding
What feeling dominates the poem?,Fear,Curiosity,Anger,Sadness,Curiosity
What kind of life does the poem suggest teachers have?,Only work life,No family life,Balanced life,Stressful life,Balanced life
What does the child think about teachers’ weekends?,They teach,They rest,They disappear,They punish,They rest
Why does the poem avoid giving answers?,To confuse,To keep curiosity alive,To hide truth,To end poem quickly,To keep curiosity alive
What does the poem reflect?,Adult thinking,Child psychology,Teacher problems,School rules,Child psychology
What does the poem teach indirectly?,Respect authority,Understand people beyond roles,Obey rules blindly,Ignore elders,Understand people beyond roles
Why are questions repetitive?,Emphasize curiosity,Increase length,Show confusion,Create fear,Emphasize curiosity
What does the poem show about fear?,It is permanent,It disappears with understanding,It grows stronger,It is needed,It disappears with understanding
What kind of humor is used?,Sarcastic,Dark,Innocent,Harsh,Innocent
What does the poem say about learning?,Only in school,Only from books,Through understanding people,Through fear,Through understanding people
Why does the child imagine teachers changing clothes?,To humanize teachers,To insult teachers,To mock teachers,To criticize teachers,To humanize teachers
What does the poem suggest about respect?,Based on fear,Based on punishment,Based on understanding,Based on rules,Based on understanding
What does the poem show about teachers?,They are mysterious,They are ordinary humans,They are strict machines,They are magical beings,They are ordinary humans
What quality of the child is highlighted?,Obedience,Creativity,Discipline,Fear,Creativity
Why does the poet choose a child speaker?,Authenticity,Humor,Relatability,All of these,All of these
What does the poem make teachers appear?,Distant,Approachable,Angry,Powerful,Approachable
What is the central idea?,School life,Teacher authority,Teachers have normal lives,Homework pressure,Teachers have normal lives
Why does the poem end without answers?,To reflect curiosity,To confuse readers,To show ignorance,To mock teachers,To reflect curiosity
What does the poem celebrate?,Authority,Curiosity,Discipline,Rules,Curiosity
What is the effect on readers?,Fear teachers,Understand teachers better,Ignore teachers,Mock teachers,Understand teachers better
What aspect of childhood is shown?,Imagination,Anger,Greed,Fear,Imagination
What does the poem imply about adulthood?,Always serious,Free from curiosity,Less imaginative,More curious,Less imaginative
Why is the poem light-hearted?,No conflict,Humorous curiosity,Simple language,Both B and C,Both B and C
What does the poem bridge?,Knowledge gap,Teacher-student gap,Generation gap,Authority gap,Teacher-student gap
What message does the poem convey?,Teachers are strict,Teachers are human too,School is scary,Homework is bad,Teachers are human too
What does the poem suggest about questioning?,It is wrong,It is natural,It is disrespectful,It is useless,It is natural
What does the poem show about trust?,Built on fear,Built on understanding,Built on punishment,Built on silence,Built on understanding
What is the poem’s emotional tone?,Heavy,Playful,Serious,Angry,Playful
What value is promoted?,Obedience,Curiosity and understanding,Discipline,Fear,Curiosity and understanding
