Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,A good source of energy should be:,Easily available,Cheap,Easy to store and transport,All of the above,All of the above
MCQ,2,Fossil fuels are:,Renewable,Non-renewable,Clean,Abundant,Non-renewable
MCQ,3,The main disadvantage of fossil fuels is:,They are expensive,They cause pollution,They are difficult to extract,They are not efficient,They cause pollution
MCQ,4,Coal is a:,Renewable source,Non-renewable source,Nuclear source,Solar source,Non-renewable source
MCQ,5,Petroleum is a:,Renewable source,Non-renewable source,Nuclear source,Wind source,Non-renewable source
MCQ,6,Natural gas is a:,Renewable source,Non-renewable source,Nuclear source,Solar source,Non-renewable source
MCQ,7,Solar energy is a:,Conventional source,Non-conventional source,Nuclear source,Fossil fuel source,Non-conventional source
MCQ,8,Wind energy is a:,Conventional source,Non-conventional source,Nuclear source,Fossil fuel source,Non-conventional source
MCQ,9,Hydroelectric energy is a:,Conventional source,Non-conventional source,Nuclear source,Fossil fuel source,Conventional source
MCQ,10,Biomass is a:,Renewable source,Non-renewable source,Nuclear source,Fossil fuel source,Renewable source
MCQ,11,The device used to convert solar energy into electricity is:,Solar cell,Solar panel,Photovoltaic cell,All of the above,All of the above
MCQ,12,Solar cells are made of:,Silicon,Copper,Aluminium,Iron,Silicon
MCQ,13,The main disadvantage of solar cells is:,High initial cost,Low efficiency,Both a and b,Low maintenance,Both a and b
MCQ,14,Wind energy is harnessed using:,Windmills,Wind turbines,Both a and b,Solar panels,Both a and b
MCQ,15,The minimum wind speed required for electricity generation is:,5 km/h,15 km/h,25 km/h,35 km/h,15 km/h
MCQ,16,Hydroelectric power is generated from:,Flowing water,Still water,Ocean waves,Tidal waves,Flowing water
MCQ,17,The energy stored in water in a dam is:,Kinetic energy,Potential energy,Chemical energy,Nuclear energy,Potential energy
MCQ,18,Ocean thermal energy conversion uses:,Temperature difference in ocean,Wind in ocean,Waves in ocean,Currents in ocean,Temperature difference in ocean
MCQ,19,Tidal energy is generated from:,Ocean waves,Wind,Sun,Both sun and moon,Both sun and moon
MCQ,20,Geothermal energy is obtained from:,Sun,Wind,Heat inside Earth,Water,Heat inside Earth
MCQ,21,Biogas is produced from:,Animal dung,Plant waste,Agricultural waste,All of the above,All of the above
MCQ,22,The main constituent of biogas is:,Methane,Ethane,Propane,Butane,Methane
MCQ,23,Nuclear energy is obtained from:,Fission of heavy nuclei,Fusion of light nuclei,Both a and b,Combustion,Both a and b
MCQ,24,The fuel used in nuclear power plants is:,Uranium,Coal,Petroleum,Natural gas,Uranium
MCQ,25,The disadvantage of nuclear energy is:,It produces radioactive waste,It is expensive,It requires strict safety measures,All of the above,All of the above
MCQ,26,The energy stored in fossil fuels is:,Chemical energy,Potential energy,Kinetic energy,Nuclear energy,Chemical energy
MCQ,27,The energy from burning fossil fuels is converted to:,Heat energy,Electrical energy,Both a and b,Mechanical energy,Both a and b
MCQ,28,CNG stands for:,Compressed Natural Gas,Compressed Nitrogen Gas,Compressed Neon Gas,Compressed Noble Gas,Compressed Natural Gas
MCQ,29,CNG is a cleaner fuel than:,Petrol,Diesel,Both a and b,Natural gas,Both a and b
MCQ,30,The energy obtained from biomass is:,Solar energy,Chemical energy,Wind energy,Nuclear energy,Chemical energy
MCQ,31,Biomass includes:,Wood,Agricultural waste,Animal waste,All of the above,All of the above
MCQ,32,The process of burning biomass to produce energy is:,Combustion,Decomposition,Oxidation,Reduction,Combustion
MCQ,33,Solar cookers work on the principle of:,Absorption of solar energy,Reflection of solar energy,Both a and b,Refraction of solar energy,Both a and b
MCQ,34,The efficiency of solar cells is approximately:,10-20%,20-30%,30-40%,40-50%,10-20%
MCQ,35,Wind farms are located in areas with:,High wind speed,Low wind speed,No wind,Constant wind speed,High wind speed
MCQ,36,The energy in a hydroelectric power plant is converted from:,Potential to kinetic to electrical,Kinetic to potential to electrical,Chemical to electrical,Nuclear to electrical,Potential to kinetic to electrical
MCQ,37,Tidal energy is:,Renewable,Non-renewable,Both,Neither,Renewable
MCQ,38,Geothermal energy is:,Renewable,Non-renewable,Both,Neither,Renewable
MCQ,39,The main advantage of renewable energy sources is:,They are unlimited,They are clean,They are sustainable,All of the above,All of the above
MCQ,40,The main disadvantage of renewable energy sources is:,They are expensive,They are not always available,They require large areas,All of the above,All of the above
MCQ,41,The greenhouse effect is caused by:,CO₂,Methane,Both a and b,Water vapor,Both a and b
MCQ,42,Acid rain is caused by:,SO₂,NO₂,Both a and b,CO₂,Both a and b
MCQ,43,The most abundant renewable energy source is:,Solar,Wind,Hydroelectric,Biomass,Solar
MCQ,44,Solar panels convert:,Light energy to electrical energy,Heat energy to electrical energy,Chemical energy to electrical energy,Nuclear energy to electrical energy,Light energy to electrical energy
MCQ,45,The energy of moving air is called:,Solar energy,Wind energy,Hydroelectric energy,Tidal energy,Wind energy
MCQ,46,The energy of flowing water is called:,Solar energy,Wind energy,Hydroelectric energy,Tidal energy,Hydroelectric energy
MCQ,47,Fuel cells convert:,Chemical energy to electrical energy,Heat energy to electrical energy,Light energy to electrical energy,Nuclear energy to electrical energy,Chemical energy to electrical energy
MCQ,48,The energy stored in food is:,Chemical energy,Potential energy,Kinetic energy,Nuclear energy,Chemical energy
MCQ,49,The unit of energy is:,Joule,Watt,Volt,Ampere,Joule
MCQ,50,1 kilowatt-hour is equal to:,3.6 × 10⁶ J,3.6 × 10³ J,3.6 × 10⁹ J,3.6 × 10¹² J,3.6 × 10⁶ J
Integer,1,1 kilowatt-hour = 3.6 × 10⁶ J. The exponent is: _____.,6,,,,
Integer,2,The minimum wind speed required for electricity generation is approximately _____ km/h.,15,,,,
Integer,3,The efficiency of solar cells is approximately 10-20%. Write the lower limit: _____.,10,,,,
Integer,4,The efficiency of solar cells is approximately 10-20%. Write the upper limit: _____.,20,,,,
Integer,5,The main constituent of biogas is methane (CH₄). Number of carbon atoms: _____.,1,,,,
Integer,6,The main constituent of biogas is methane (CH₄). Number of hydrogen atoms: _____.,4,,,,
Integer,7,In nuclear fission, the fuel used is Uranium-235. The atomic number of uranium is: _____.,92,,,,
Integer,8,The energy from 1 kg of uranium is equivalent to energy from approximately _____ million kg of coal (roughly 3 million, but for integer let's use a round number). Actually, it's about 2.7 million kg, so let's use 3.,3,,,,
Integer,9,The number of main fossil fuels is: _____ (coal, petroleum, natural gas - so 3).,3,,,,
Integer,10,The number of main renewable energy sources is approximately: _____ (solar, wind, hydro, tidal, geothermal, biomass - so 6).,6,,,,
Integer,11,1 kilowatt = _____ watts.,1000,,,,
Integer,12,1 megawatt = _____ kilowatts.,1000,,,,
Integer,13,The number of carbon atoms in methane (CH₄) is: _____.,1,,,,
Integer,14,The number of hydrogen atoms in methane (CH₄) is: _____.,4,,,,
Integer,15,The atomic number of carbon is: _____.,6,,,,
Integer,16,The atomic number of hydrogen is: _____.,1,,,,
Integer,17,The number of oxygen atoms in CO₂ is: _____.,2,,,,
Integer,18,The number of carbon atoms in CO₂ is: _____.,1,,,,
Integer,19,In the reaction CH₄ + 2O₂ → CO₂ + 2H₂O, the coefficient of O₂ is: _____.,2,,,,
Integer,20,In the reaction CH₄ + 2O₂ → CO₂ + 2H₂O, the coefficient of H₂O is: _____.,2,,,,
Integer,21,The number of hydrogen atoms in water (H₂O) is: _____.,2,,,,
Integer,22,The number of oxygen atoms in water (H₂O) is: _____.,1,,,,
Integer,23,1 calorie = approximately 4.2 joules. Write the coefficient: _____ (4).,4,,,,
Integer,24,The efficiency of wind turbines is approximately 30-40%. Write the lower limit: _____.,30,,,,
Integer,25,The efficiency of wind turbines is approximately 30-40%. Write the upper limit: _____.,40,,,,
Integer,26,The efficiency of hydroelectric power plants is approximately 80-90%. Write the lower limit: _____.,80,,,,
Integer,27,The efficiency of hydroelectric power plants is approximately 80-90%. Write the upper limit: _____.,90,,,,
Integer,28,The number of main types of solar cookers is: _____ (box type, panel type, parabolic - so 3).,3,,,,
Integer,29,The temperature in geothermal power plants can reach _____°C (typically 150-400°C, let's use 200 as a round number for integer type).,200,,,,
Integer,30,The number of main greenhouse gases is: _____ (CO₂, CH₄, N₂O, water vapor - so about 4 major ones).,4,,,,
Integer,31,1 ton = _____ kg.,1000,,,,
Integer,32,1 megaton = _____ tons.,1000000,,,,
Integer,33,The number of protons in uranium-235 is: _____ (atomic number 92).,92,,,,
Integer,34,The number of neutrons in uranium-235 is: _____ (235-92=143).,143,,,,
Integer,35,The percentage of methane in biogas is approximately 50-70%. Write the lower limit: _____.,50,,,,
Integer,36,The percentage of methane in biogas is approximately 50-70%. Write the upper limit: _____.,70,,,,
Integer,37,The number of carbon atoms in ethane (C₂H₆) is: _____.,2,,,,
Integer,38,The number of hydrogen atoms in ethane (C₂H₆) is: _____.,6,,,,
Integer,39,1 kilowatt-hour = _____ watt-hours.,1000,,,,
