Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Natural vegetation refers to?,Planted trees,Wild plants,Garden plants,Seasonal crops,Wild plants
MCQ,2,Vegetation grown naturally without human aid is called?,Crops,Grasslands,Forests,Natural vegetation,Natural vegetation
MCQ,3,Which factor does NOT affect natural vegetation?,Climate,Relief,Soil,Religion,Religion
MCQ,4,India has how many major vegetation types?,3,4,5,6,5
MCQ,5,Which vegetation grows in heavy rainfall areas?,Thorn forests,Mangroves,Tropical evergreen,Grasslands,Tropical evergreen
MCQ,6,Tropical evergreen forests are also called?,Deciduous,Monsoon,Rain forests,Thorn,Rain forests
MCQ,7,Which tree is found in evergreen forests?,Teak,Sal,Ebony,Acacia,Ebony
MCQ,8,Which forests shed leaves in dry season?,Evergreen,Deciduous,Thorn,Mangrove,Deciduous
MCQ,9,Which tree is common in deciduous forests?,Ebony,Teak,Pine,Rubber,Teak
MCQ,10,Which forest type grows in less rainfall?,Evergreen,Deciduous,Thorn,Montane,Thorn
MCQ,11,Which tree has long roots and sharp thorns?,Teak,Pine,Acacia,Oak,Acacia
MCQ,12,Which forests are found in coastal areas?,Evergreen,Thorn,Mangrove,Montane,Mangrove
MCQ,13,Mangrove forests grow in?,Fresh water,Salt water,Deserts,Mountains,Salt water
MCQ,14,Which tree is common in mangrove forests?,Teak,Sundari,Pine,Sal,Sundari
MCQ,15,Which vegetation is found in Himalayas?,Mangrove,Montane,Thorn,Grasslands,Montane
MCQ,16,Which trees are found at higher altitudes?,Teak,Sal,Conifers,Acacia,Conifers
MCQ,17,Which tree is a conifer?,Oak,Pine,Teak,Bamboo,Pine
MCQ,18,Grasslands are suitable for?,Agriculture,Mining,Grazing,Industry,Grazing
MCQ,19,Which animal is found in tropical forests?,Camel,Lion,Elephant,Polar bear,Elephant
MCQ,20,Which animal is adapted to desert?,Tiger,Elephant,Camel,Rhino,Camel
MCQ,21,Which is India’s national animal?,Lion,Tiger,Elephant,Leopard,Tiger
MCQ,22,Which is India’s national bird?,Peacock,Sparrow,Eagle,Crow,Peacock
MCQ,23,Which region has rich wildlife?,Desert,Mountains,Forests,Plains,Forests
MCQ,24,Which animal is endangered?,Cow,Dog,Tiger,Goat,Tiger
MCQ,25,Which forest is also called monsoon forest?,Evergreen,Deciduous,Thorn,Mangrove,Deciduous
MCQ,26,Which vegetation grows in Rajasthan?,Evergreen,Deciduous,Thorn,Montane,Thorn
MCQ,27,Which forests are found in Western Ghats?,Evergreen,Thorn,Grasslands,Montane,Evergreen
MCQ,28,Which vegetation is found near river deltas?,Montane,Mangrove,Thorn,Grasslands,Mangrove
MCQ,29,Which animal lives in mangroves?,Lion,Crocodile,Camel,Deer,Crocodile
MCQ,30,Which vegetation type has dense canopy?,Deciduous,Evergreen,Thorn,Grassland,Evergreen
MCQ,31,Which forest type sheds leaves to conserve water?,Evergreen,Deciduous,Montane,Grassland,Deciduous
MCQ,32,Which forest has stunted trees?,Evergreen,Deciduous,Thorn,Montane,Thorn
MCQ,33,Which region has alpine vegetation?,Plains,Plateau,High Himalayas,Coastal,High Himalayas
MCQ,34,Which animal is found in Himalayas?,Camel,Yak,Elephant,Lion,Yak
MCQ,35,Which vegetation grows above tree line?,Grass,Alpine shrubs,Evergreen,Thorn,Alpine shrubs
MCQ,36,Which forest type has bamboo?,Evergreen,Deciduous,Montane,Thorn,Deciduous
MCQ,37,Which vegetation type is least dense?,Evergreen,Deciduous,Thorn,Montane,Thorn
MCQ,38,Which state has Sundarbans mangroves?,Odisha,West Bengal,Gujarat,Tamil Nadu,West Bengal
