Question,Answer
A desert is a very ________ place.,hot
Deserts receive very little ________.,rainfall
Animals in deserts need special ________.,adaptations
Camels are called the ship of the ________.,desert
Camels can live without ________ for many days.,water
The ________ fox lives in deserts.,desert
Desert animals usually come out at ________.,night
The camel stores fat in its ________.,hump
Desert snakes hide under the ________.,sand
Desert animals conserve ________.,water
The kangaroo rat lives in the ________.,desert
The kangaroo rat rarely drinks ________.,water
Camels have long ________.,legs
Desert animals rest during the ________.,day
Camels have thick ________.,eyelashes
Snakes move by ________.,slithering
Deserts have extreme ________.,temperature
Desert animals protect themselves from ________.,heat
Camels can walk easily on ________.,sand
The desert fox has large ________.,ears
Animals reduce activity to save ________.,energy
Desert nights are usually very ________.,cold
Camels eat thorny ________.,plants
Most desert animals sleep in ________.,burrows
The desert environment is very ________.,harsh
Animals adapt to survive in ________.,deserts
Camels can close their ________.,nostrils
Desert animals have light-coloured ________.,skin
The kangaroo rat lives in underground ________.,holes
Animals come out when the temperature is ________.,low
Desert animals are well ________.,adapted
Camels can survive long ________.,journeys
The desert fox avoids direct ________.,sunlight
Snakes remain hidden to avoid ________.,heat
Animals need little ________.,food
Deserts have very few ________.,plants
Camels can drink a lot of ________.,water
Desert animals are usually very ________.,alert
The camel’s feet are very ________.,broad
Animals protect themselves from ________.,predators
The desert fox hunts at ________.,night
The desert climate is extremely ________.,dry
Animals adjust their habits to ________.,survive
Desert animals have strong survival ________.,skills
The chapter explains desert ________.,life
Desert animals are examples of natural ________.,adaptation
