Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,The sum of interior angles of a triangle is?,90°,180°,270°,360°,180°
MCQ,2,A triangle with all sides equal is called?,Scalene,Isosceles,Equilateral,Right,Equilateral
MCQ,3,A triangle with two equal sides is called?,Scalene,Isosceles,Equilateral,Right,Isosceles
MCQ,4,A triangle with all sides unequal is called?,Scalene,Isosceles,Equilateral,Right,Scalene
MCQ,5,A triangle with one angle 90° is called?,Acute,Obtuse,Right,Equilateral,Right
MCQ,6,Which criterion proves congruence of triangles?,AAA,SSS,SSA,AA,SSS
MCQ,7,Which congruence rule uses two sides and included angle?,SSS,SAS,ASA,RHS,SAS
MCQ,8,Which rule is applicable only to right triangles?,SSS,SAS,ASA,RHS,RHS
MCQ,9,Which is not a congruence rule?,SSS,SAS,AAA,RHS,AAA
MCQ,10,If two triangles are congruent, their corresponding sides are?,Equal,Unequal,Proportional,Random,Equal
MCQ,11,If two triangles are congruent, their corresponding angles are?,Equal,Unequal,Supplementary,Complementary,Equal
MCQ,12,A triangle with all angles less than 90° is?,Acute,Right,Obtuse,Equilateral,Acute
MCQ,13,A triangle with one angle more than 90° is?,Acute,Right,Obtuse,Isosceles,Obtuse
MCQ,14,Which triangle has exactly two equal angles?,Scalene,Isosceles,Equilateral,Right,Isosceles
MCQ,15,In an equilateral triangle, each angle is?,30°,45°,60°,90°,60°
MCQ,16,The longest side of a right triangle is?,Base,Height,Hypotenuse,Median,Hypotenuse
MCQ,17,The side opposite the right angle is?,Base,Height,Hypotenuse,Median,Hypotenuse
MCQ,18,In a triangle, the sum of any two sides is?,Less than third side,Equal to third side,Greater than third side,Zero,Greater than third side
MCQ,19,Which triangle has sides 3 cm, 4 cm, 5 cm?,Acute,Obtuse,Right,Equilateral,Right
MCQ,20,Which congruence rule uses two angles and one side?,SSS,SAS,ASA,RHS,ASA
MCQ,21,In isosceles triangle, angles opposite equal sides are?,Equal,Unequal,90°,Supplementary,Equal
MCQ,22,Which angle is opposite the longest side?,Smallest angle,Right angle,Largest angle,Acute angle,Largest angle
MCQ,23,If two angles of a triangle are 50° and 60°, the third is?,60°,70°,80°,90°,70°
MCQ,24,How many medians does a triangle have?,1,2,3,4,3
MCQ,25,The point where medians meet is called?,Centroid,Incentre,Circumcentre,Orthocentre,Centroid
MCQ,26,The centroid divides each median in the ratio?,1:1,2:1,3:1,1:2,2:1
MCQ,27,The perpendicular from vertex to opposite side is called?,Median,Altitude,Angle bisector,Height,Altitude
MCQ,28,How many altitudes does a triangle have?,1,2,3,4,3
MCQ,29,The angle bisectors of a triangle meet at?,Centroid,Incentre,Circumcentre,Orthocentre,Incentre
MCQ,30,Which centre is equidistant from all sides?,Centroid,Incentre,Circumcentre,Orthocentre,Incentre
MCQ,31,Which centre is equidistant from all vertices?,Centroid,Incentre,Circumcentre,Orthocentre,Circumcentre
MCQ,32,The perpendicular bisectors of sides meet at?,Centroid,Incentre,Circumcentre,Orthocentre,Circumcentre
MCQ,33,The altitudes of a triangle meet at?,Centroid,Incentre,Circumcentre,Orthocentre,Orthocentre
MCQ,34,Which triangle has centroid, incentre, circumcentre at same point?,Scalene,Isosceles,Equilateral,Right,Equilateral
MCQ,35,In a right triangle, the circumcentre lies at?,Inside triangle,On hypotenuse,Outside triangle,At centroid,On hypotenuse
MCQ,36,In an obtuse triangle, the orthocentre lies?,Inside,On side,Outside,At centroid,Outside
MCQ,37,Which triangle has all angles equal?,Scalene,Isosceles,Equilateral,Right,Equilateral
MCQ,38,Which triangle has exactly one right angle?,Acute,Obtuse,Right,Equilateral,Right
MCQ,39,Which is a valid triangle?,2,3,6,3,4,5,1,2,3,4,4,8,3,4,5
MCQ,40,The sum of two angles of a triangle is?,Less than 180°,Equal to 180°,Greater than 180°,90°,Less than 180°
MCQ,41,If two sides are 5 cm and 7 cm, third side can be?,12 cm,2 cm,10 cm,20 cm,10 cm
MCQ,42,Which rule proves triangles similar?,SSS,SAS,AA,RHS,AA
MCQ,43,In an isosceles triangle, the altitude from vertex is also?,Median,Angle bisector,Perpendicular bisector,All,All
MCQ,44,Which triangle always has equal sides and angles?,Scalene,Isosceles,Equilateral,Right,Equilateral
MCQ,45,Which centre lies always inside triangle?,Centroid,Incentre,Circumcentre,Orthocentre,Incentre
MCQ,46,Which triangle has one angle equal to 90°?,Acute,Obtuse,Right,Equilateral,Right
MCQ,47,The base angles of an isosceles triangle are?,Equal,Unequal,Right,Supplementary,Equal
MCQ,48,Which is not a type of triangle based on sides?,Scalene,Isosceles,Right,Equilateral,Right
MCQ,49,Which is not a type based on angles?,Acute,Obtuse,Right,Isosceles,Isosceles
MCQ,50,The smallest side of a triangle is opposite the?,Largest angle,Smallest angle,Right angle,Obtuse angle,Smallest angle

Integer,1,Sum of angles of triangle?,180°, , , ,
Integer,2,Number of sides in triangle?,3, , , ,
Integer,3,Number of angles in triangle?,3, , , ,
Integer,4,Each angle of equilateral triangle?,60°, , , ,
Integer,5,Longest side of right triangle?,Hypotenuse, , , ,
Integer,6,Number of medians?,3, , , ,
Integer,7,Number of altitudes?,3, , , ,
Integer,8,Number of angle bisectors?,3, , , ,
Integer,9,Angles opposite equal sides in isosceles triangle?,Equal, , , ,
Integer,10,Triangle with all sides unequal?,Scalene, , , ,
Integer,11,Triangle with two equal sides?,Isosceles, , , ,
Integer,12,Triangle with all sides equal?,Equilateral, , , ,
Integer,13,Triangle with one angle >90°?,Obtuse, , , ,
Integer,14,Triangle with one angle =90°?,Right, , , ,
Integer,15,Triangle with all angles <90°?,Acute, , , ,
Integer,16,Centroid divides median in ratio?,2:1, , , ,
Integer,17,Meeting point of medians?,Centroid, , , ,
Integer,18,Meeting point of angle bisectors?,Incentre, , , ,
Integer,19,Meeting point of perpendicular bisectors?,Circumcentre, , , ,
Integer,20,Meeting point of altitudes?,Orthocentre, , , ,
Integer,21,Sum of any two sides is greater than third? (Yes/No),Yes, , , ,
Integer,22,Number of congruence rules?,4, , , ,
Integer,23,RHS applicable to which triangle?,Right, , , ,
Integer,24,In equilateral triangle, all centres coincide? (Yes/No),Yes, , , ,
Integer,25,Triangle inequality involves how many sides?,3, , , ,
Integer,26,Side opposite largest angle is?,Longest, , , ,
Integer,27,Side opposite smallest angle is?,Shortest, , , ,
Integer,28,Is AAA a congruence rule? (Yes/No),No, , , ,
Integer,29,Is SAS a congruence rule? (Yes/No),Yes, , , ,
Integer,30,Is SSA a congruence rule? (Yes/No),No, , , ,
Integer,31,Number of vertices in triangle?,3, , , ,
