Question,Option A,Option B,Option C,Option D,Correct Answer
A point has __ dimensions.,0,1,2,3,A
A line has __ dimension.,0,1,2,3,B
A plane has __ dimensions.,0,1,2,3,C
Two lines that meet at a point are called __ lines.,parallel,intersecting,perpendicular,skew,B
Two lines that never meet are called __ lines.,intersecting,skew,parallel,perpendicular,C
A line segment has __ end points.,1,2,0,3,B
A ray has __ starting point.,0,1,2,3,B
The distance from the center of a circle to any point on it is called __.,chord,radius,diameter,tangent,B
The line passing through the center and touching two points on a circle is called __.,radius,diameter,chord,secant,B
Two diameters of a circle can __.,intersect,never intersect,be equal,be unequal,A
The sum of angles in a triangle is __ degrees.,90,180,360,270,B
A right angle measures __ degrees.,45,90,180,60,B
An acute angle measures __ degrees.,>90,<90,=90,180,B
An obtuse angle measures __ degrees.,>90,<90,=90,180,A
A reflex angle measures __ degrees.,>180,<180,=180,90,A
Two angles whose sum is 90° are called __ angles.,supplementary,complementary,adjacent,vertical,B
Two angles whose sum is 180° are called __ angles.,complementary,supplementary,adjacent,vertical,B
A square has __ sides equal.,all,none,only opposite,only adjacent,A
A rectangle has __ angles of 90°.,all,only two,only one,none,A
Diagonals of a square __ each other at right angles.,do,do not,may,never,A
Diagonals of a rectangle __ each other.,do,do not,may,never,A
A rhombus has __ sides equal.,all,none,opposite,adjacent,A
A trapezium has __ pair of parallel sides.,one,two,none,three,A
The sum of interior angles of a quadrilateral is __ degrees.,180,360,270,540,B
The sum of exterior angles of any polygon is __ degrees.,180,360,540,720,B
A triangle with all sides equal is called __ triangle.,scalene,isosceles,equilateral,right-angled,C
A triangle with two sides equal is called __ triangle.,equilateral,isosceles,scalene,right-angled,B
A triangle with all sides unequal is called __ triangle.,scalene,isosceles,equilateral,right-angled,A
A triangle with one angle equal to 90° is called __ triangle.,obtuse,right-angled,acute,scalene,B
The side opposite the right angle in a right triangle is called __.,base,height,hypotenuse,perpendicular,C
A polygon with 5 sides is called __.,pentagon,hexagon,heptagon,octagon,A
A polygon with 6 sides is called __.,hexagon,heptagon,octagon,nonagon,A
A polygon with 7 sides is called __.,heptagon,hexagon,octagon,nonagon,A
A polygon with 8 sides is called __.,octagon,hexagon,heptagon,nonagon,A
A line that divides an angle into two equal parts is called __.,median,perpendicular bisector,angle bisector,diagonal,C
The perpendicular drawn from a point to a line is the __ distance.,longest,shortest,average,median,B
Two lines perpendicular to each other form a __ angle.,right,acute,obtuse,straight,A
A circle with radius r has circumference __.,πr,2πr,πr²,2πr²,B
The area of a triangle is __.,base×height,1/2×base×height,base×height²,2×base×height,B
The sum of all sides of a polygon is called __.,area,perimeter,diameter,circumference,B
The line joining midpoints of two sides of a triangle is parallel to the __ side.,opposite,adjacent,any,diagonal,A
A secant of a circle intersects the circle at __ points.,one,two,three,none,B
A tangent of a circle touches the circle at __ point.,one,two,three,none,A
Concentric circles __.,have same center,have same radius,never touch,have different centers,A
The diagonals of a rectangle __ each other.,bisect,are equal,perpendicular,none of these,A
The diagonals of a rhombus __ each other at right angles.,do,do not,may,never,A
The sum of angles in a pentagon is __ degrees.,360,540,720,180,B
The sum of angles in a hexagon is __ degrees.,540,720,900,360,B
A triangle with all angles < 90° is called __ triangle.,acute,obtuse,right,scalene,A
A triangle with one angle > 90° is called __ triangle.,acute,obtuse,right,scalene,B
The line joining the midpoints of two sides of a triangle is called __.,median,midline,altitude,perpendicular bisector,B
