Question,Answer
Define a point.,A point has zero dimension and is represented by a dot.
Define a line.,A line has one dimension and extends infinitely in both directions.
Define a line segment.,A part of a line with two endpoints.
Define a ray.,A part of a line with one endpoint extending infinitely in one direction.
Define a plane.,A flat surface with two dimensions that extends infinitely.
Define parallel lines.,Two lines in the same plane that never meet.
Define perpendicular lines.,Two lines that intersect at a right angle (90°).
Define a polygon.,A closed figure made of straight line segments.
Name three types of triangles based on sides.,Equilateral, Isosceles, Scalene.
Name three types of triangles based on angles.,Acute, Right-angled, Obtuse.
Define a circle.,Set of all points equidistant from a fixed point called the center.
Define radius of a circle.,Distance from the center to any point on the circle.
Define diameter of a circle.,A line passing through the center with endpoints on the circle; longest chord.
Define chord of a circle.,A line segment connecting two points on a circle.
Define tangent of a circle.,A line touching the circle at exactly one point.
Define secant of a circle.,A line intersecting the circle at two points.
Define angle.,An angle is formed by two rays with a common endpoint called vertex.
Define right angle.,An angle measuring exactly 90°.
Define acute angle.,An angle measuring less than 90°.
Define obtuse angle.,An angle measuring more than 90° but less than 180°.
Define straight angle.,An angle measuring exactly 180°.
Define complementary angles.,Two angles whose sum is 90°.
Define supplementary angles.,Two angles whose sum is 180°.
Define adjacent angles.,Two angles sharing a common vertex and side.
Define vertically opposite angles.,Angles opposite to each other when two lines intersect; equal in measure.
Define a rectangle.,A quadrilateral with opposite sides equal and four right angles.
Define a square.,A quadrilateral with all sides equal and four right angles.
Define a parallelogram.,A quadrilateral with both pairs of opposite sides parallel.
Define a rhombus.,A quadrilateral with all sides equal and opposite angles equal.
Define a trapezium.,A quadrilateral with exactly one pair of opposite sides parallel.
Define a median of a triangle.,A line joining a vertex to the midpoint of the opposite side.
Define an altitude of a triangle.,A perpendicular from a vertex to the opposite side or its extension.
Define a sector of a circle.,Region enclosed by two radii and the corresponding arc.
Define a segment of a circle.,Region enclosed by a chord and the corresponding arc.
Define a line of symmetry.,A line that divides a figure into two mirror images.
Define concave polygon.,A polygon with at least one interior angle greater than 180°.
Define convex polygon.,A polygon with all interior angles less than 180°.
Define regular polygon.,A polygon with all sides and all angles equal.
Define irregular polygon.,A polygon with sides and angles not equal.
Define transversal.,A line that intersects two or more lines at distinct points.
State the sum of interior angles of a triangle.,180°
State the sum of interior angles of a quadrilateral.,360°
State the sum of interior angles of an n-sided polygon.,(n-2)×180
State the sum of exterior angles of any polygon.,360°
Define corresponding angles.,Angles in the same relative position when a transversal intersects parallel lines.
Define alternate interior angles.,Angles on opposite sides of transversal but inside the parallel lines.
Define perpendicular bisector.,A line perpendicular to a segment passing through its midpoint.
Define angle bisector.,A line dividing an angle into two equal angles.
Explain how to identify a regular polygon in daily life.,Examples: square tiles, equilateral triangle patterns.
Explain how to identify an irregular polygon in daily life.,Examples: kite-shaped roofs, irregular quadrilateral windows.
