Chapter,Question,Answer
Mensuration,Find the area of a rectangle with length 12 cm and breadth 8 cm,Area = L × B = 12 × 8 = 96 cm²
Mensuration,Find the perimeter of a rectangle with length 15 cm and breadth 10 cm,Perimeter = 2(L + B) = 2(15+10) = 50 cm
Mensuration,Find the area of a square with side 9 cm,Area = side² = 9 × 9 = 81 cm²
Mensuration,Find the perimeter of a square with side 7 cm,Perimeter = 4 × 7 = 28 cm
Mensuration,Find the area of a triangle with base 10 cm and height 6 cm,Area = 1/2 × base × height = 1/2 × 10 × 6 = 30 cm²
Mensuration,Find the perimeter of a triangle with sides 5 cm, 6 cm, 7 cm,Perimeter = 5 + 6 + 7 = 18 cm
Mensuration,Find the area of a parallelogram with base 12 cm and height 5 cm,Area = base × height = 12 × 5 = 60 cm²
Mensuration,Find the perimeter of a parallelogram with sides 8 cm and 6 cm,Perimeter = 2(a + b) = 2(8+6) = 28 cm
Mensuration,Find the area of a rhombus with diagonals 10 cm and 8 cm,Area = 1/2 × d1 × d2 = 1/2 × 10 × 8 = 40 cm²
Mensuration,Find the perimeter of a rhombus with side 6 cm,Perimeter = 4 × 6 = 24 cm
Mensuration,Find the area of a trapezium with bases 10 cm, 6 cm and height 4 cm,Area = 1/2 × (sum of parallel sides) × height = 1/2 × (10+6) × 4 = 32 cm²
Mensuration,Find the perimeter of a trapezium with sides 5 cm, 6 cm, 7 cm, 8 cm,Perimeter = sum of all sides = 5+6+7+8 = 26 cm
Mensuration,Find the volume of a cuboid with length 5 cm, breadth 4 cm, height 3 cm,Volume = L × B × H = 5 × 4 × 3 = 60 cm³
Mensuration,Find the surface area of a cuboid with length 6 cm, breadth 4 cm, height 3 cm,SA = 2(LB + BH + HL) = 2(24+12+18) = 108 cm²
Mensuration,Find the volume of a cube with side 5 cm,Volume = side³ = 5³ = 125 cm³
Mensuration,Find the surface area of a cube with side 6 cm,SA = 6 × side² = 6 × 36 = 216 cm²
Mensuration,Find the volume of a cylinder with radius 7 cm and height 10 cm,Volume = πr²h = 3.14 × 49 × 10 ≈ 1538.6 cm³
