Question,Option A,Option B,Option C,Option D,Correct Answer
The smallest prime number is?,1,2,3,0,B
The smallest composite number is?,1,2,3,4,D
1 is ___,Prime,Composite,Neither prime nor composite,Both C
The only even prime number is?,2,4,6,8,A
A number having exactly two factors is called?,Composite,Prime,Even,Odd,B
A number having more than two factors is called?,Prime,Composite,Even,Odd,B
The HCF of 12 and 18 is?,6,12,18,24,A
The LCM of 4 and 6 is?,10,12,14,16,B
The successor of 0 is?,1,0,2,3,A
The predecessor of 1 is?,0,1,2,3,A
Prime numbers between 1 and 10 are?,2,3,5,7,All of these,D
Composite numbers between 1 and 10 are?,4,6,8,9,All of these,D
2 is the only ___ prime number?,Even,Odd,Composite,Neither,A
All even numbers greater than 2 are ___ numbers?,Prime,Composite,Odd,Neither,B
The sum of two even numbers is always?,Odd,Even,Prime,Composite,B
The sum of two odd numbers is always?,Odd,Even,Prime,Composite,B
The sum of an even and an odd number is?,Odd,Even,Prime,Composite,A
The product of two even numbers is?,Even,Odd,Prime,Composite,A
The product of two odd numbers is?,Even,Odd,Prime,Composite,B
The product of an even and an odd number is?,Even,Odd,Prime,Composite,A
The LCM of two co-prime numbers is their?,Sum,Difference,Product,Quotient,C
The HCF of two co-prime numbers is?,0,1,2,Their product,B
Two numbers having HCF 1 are called?,Co-prime,Composite,Prime,Even,A
The number 9 is a ___ number?,Prime,Composite,Even,Odd,B
The number 7 is a ___ number?,Prime,Composite,Even,Odd,A
The factors of 10 are?,1,2,5,10,All of these,D
The LCM of 4 and 5 is?,10,15,20,25,C
The HCF of 8 and 12 is?,2,4,6,8,B
The number 15 is divisible by?,3,5,Both 3 and 5,Neither,C
A number divisible by 2 is an ___ number?,Even,Odd,Prime,Composite,A
A number divisible by 5 ends in?,0,5,0 or 5,1,C
A number divisible by 10 ends in?,0,5,1,10,A
The divisibility rule for 3 depends on the ___ of digits?,Sum,Product,Difference,Division,A
The divisibility rule for 9 depends on the ___ of digits?,Sum,Product,Difference,Division,A
The number 1 is ___ a prime number?,Is,Not,Always,Sometimes,B
Every composite number can be written as a product of ___?,Prime numbers,Odd numbers,Even numbers,Natural numbers,A
The prime factorization of 12 is?,2 × 3,2 × 2 × 3,3 × 3 × 2,2 × 2 × 2 × 3,B
The prime factorization of 18 is?,2 × 3,2 × 2 × 3,2 × 3 × 3,3 × 3 × 2,C
The LCM of 2, 3 and 4 is?,12,24,6,8,A
The HCF of 6 and 9 is?,3,6,9,12,A
The number 2 has ___ factors?,1,2,3,4,B
The number 5 has ___ factors?,1,2,3,4,B
The number 8 has ___ factors?,2,3,4,5,C
All prime numbers greater than 2 are ___?,Even,Odd,Composite,Neither,B
A number divisible by 4 depends on the last ___ digits?,One,Two,Three,Four,B
The number 11 is a ___ number?,Composite,Prime,Even,Odd,B
