Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is the smallest whole number?,0,1,-1,2,A
What is the successor of 999?,998,1000,9999,1001,B
What is the predecessor of 1?,0,2,-1,1,A
Which of the following is not a whole number?,0,5,10,-3,D
How many whole numbers are there between 5 and 10?,3,4,5,Infinite,A
What is the result of 0 × 345?,0,1,345,3450,A
Which property is shown by 6 + 0 = 6?,Closure,Commutative,Additive identity,Associative,C
What is the sum of the smallest whole number and 25?,25,0,1,26,A
Which statement is true about whole numbers?,They start from 1,They include negative numbers,They start from 0,They exclude 0,C
If a = 12 and b = 0, what is a × b?,12,0,1,Not defined,B
Which property is used in 5 + 3 = 3 + 5?,Associative,Distributive,Commutative,Identity,C
What is the predecessor of 0?,1,-1,0,Not defined,D
Which pair shows closure under addition?,5 + 7 = 12,3 - 5 = -2,4 ÷ 2 = 2,5 × (-1) = -5,A
Which operation is NOT closed for whole numbers?,Addition,Multiplication,Subtraction,All are closed,C
What is the sum of the first three whole numbers?,3,1,6,2,B
What is the successor of 0?,-1,1,0,2,B
Which of the following is a whole number?,-7,-1,0,1,C
Which property is shown by 4 × 1 = 4?,Zero property,Multiplicative identity,Commutative,Associative,B
What is 25 + 0 equal to?,0,25,1,Cannot be determined,B
Which property is used in (2 + 3) + 4 = 2 + (3 + 4)?,Associative,Commutative,Distributive,Closure,A
Which of the following shows commutative property of multiplication?,2 × 3 = 3 × 2,2 × (3 × 4) = (2 × 3) × 4,2 × (3 + 4) = 2×3 + 2×4,3 × 0 = 0,A
What is the predecessor of 1000?,999,1001,998,1002,A
Which is the successor of 199?,198,200,201,190,B
Which of the following is true?,0 has a predecessor,0 has no successor,1 is the smallest whole number,0 is the smallest whole number,D
What is 0 + 0?,0,1,2,Not defined,A
Which property is shown by 7 × 0 = 0?,Multiplicative identity,Zero property,Commutative,Associative,B
How many whole numbers are there between 0 and 5?,4,3,5,Infinite,A
Which of the following is NOT true?,Whole numbers are closed under addition,Whole numbers are closed under multiplication,Whole numbers are closed under subtraction,Whole numbers include 0,C
What is the successor of 10,000?,9999,10001,10010,10000,B
What is the predecessor of 500?,499,501,498,502,A
Which of the following is a pair of whole numbers?,2 and 5,-1 and 3,-4 and -2,-3 and 0,A
What is the result of 1 × 999?,1,999,0,1000,B
Which of the following shows distributive property?,2 × (3 + 4) = 14,2 × 3 = 6,(2 + 3) × 4 = 20,3 + 4 = 7,A
Which number has no predecessor?,0,1,2,3,A
What is the sum of 0 and 89?,0,1,89,90,C
Which property is shown by 9 + 1 = 1 + 9?,Distributive,Associative,Commutative,Identity,C
What is 0 × 0?,0,1,Not defined,Infinite,A
Which is the smallest whole number?,-1,1,0,2,C
Which of the following operations always gives a whole number?,Addition,Subtraction,Division,All of these,A
What is the predecessor of 10?,11,9,8,12,B
Which of the following is correct?,Whole numbers include fractions,Whole numbers include negative numbers,Whole numbers include zero,Whole numbers exclude zero,C
What is the successor of 1?,0,2,3,1,B
What is 15 + 0 + 5?,0,20,15,5,B
Which number when added to any whole number gives the same number?,1,0,2,10,B
Which number when multiplied by any whole number gives 0?,0,1,2,10,A
Which property is shown by 3 × (2 + 5) = 3×2 + 3×5?,Commutative,Associative,Distributive,Closure,C
Which of the following is NOT a whole number?,12,0,7,-9,D
