Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Which of the following is a linear equation in two variables?,x+y=5,x²+y=4,xy=6,x/y=2,x+y=5
MCQ,2,The general form of linear equation in two variables is?,ax²+by+c=0,ax+by+c=0,axy+c=0,x+y+z=0,ax+by+c=0
MCQ,3,Which pair satisfies x+y=7?,(2,5),(1,3),(4,1),(0,6),(2,5)
MCQ,4,How many solutions does a linear equation in two variables have?,One,Two,Infinite,None,Infinite
MCQ,5,Which of the following is not a solution of x−y=1?,(2,1),(3,2),(1,0),(4,3),(1,0)
MCQ,6,The graph of a linear equation in two variables is?,Circle,Parabola,Straight line,Curve,Straight line
MCQ,7,Which is a solution of 2x+y=5?,(2,1),(1,1),(3,1),(0,5),(2,1)
MCQ,8,Which equation represents a straight line?,x²+y=4,2x+3y=6,xy=3,x/y=2,2x+3y=6
MCQ,9,Which pair satisfies 3x+2y=12?,(2,3),(4,0),(0,6),(2,2),(2,3)
MCQ,10,The equation x+y=0 passes through?,(0,0),(1,0),(0,1),(1,1),(0,0)
MCQ,11,Which is a solution of y=2x?,(1,1),(2,4),(3,5),(0,1),(2,4)
MCQ,12,Which is not linear?,2x+y=3,x²+y=4,3x−y=1,x+y=0,x²+y=4
MCQ,13,The graph of y=3 is?,Horizontal line,Vertical line,Slant line,Curve,Horizontal line
MCQ,14,The graph of x=−2 is?,Horizontal line,Vertical line,Slant line,Curve,Vertical line
MCQ,15,Which point lies on y-axis?,(0,3),(2,0),(1,1),(−1,2),(0,3)
MCQ,16,Which point lies on x-axis?,(0,4),(3,0),(1,2),(−2,5),(3,0)
MCQ,17,Which pair satisfies y=5?,(1,5),(5,1),(0,0),(2,3),(1,5)
MCQ,18,Which equation has y-intercept 3?,y=3x+3,y=3x,y=x−3,y=−3,y=3x+3
MCQ,19,Which equation has x-intercept 2?,x=2,y=2x+1,y=2,x+y=2,x=2
MCQ,20,The solution of x+0y=5 is?,x=5,y=5,x=0,y=0,x=5,any y,x=5,any y
MCQ,21,The solution of 0x+y=−4 is?,x=−4,y=0,y=−4,any x,x=0,y=−4,y=−4,any x
MCQ,22,Which is the solution of x+y=10?,(6,4),(3,5),(2,7),(1,1),(6,4)
MCQ,23,The equation y=0 represents?,x-axis,y-axis,origin,parallel line,x-axis
MCQ,24,The equation x=0 represents?,x-axis,y-axis,origin,parallel line,y-axis
MCQ,25,Which pair satisfies 4x−y=7?,(2,1),(3,5),(1,−3),(0,7),(2,1)
MCQ,26,Which is a solution of y=−x?,(1,−1),(2,1),(−1,1),(3,3),(1,−1)
MCQ,27,The equation y=2x+1 intersects y-axis at?,(0,1),(1,0),(0,2),(2,0),(0,1)
MCQ,28,The equation x+3y=6 intersects x-axis at?,(6,0),(3,0),(0,2),(0,6),(6,0)
MCQ,29,Which is not a solution of y=x?,(2,2),(3,3),(−1,−1),(1,2),(1,2)
MCQ,30,Which equation passes through (0,−2)?,y=−2,y=2x,y=x−2,x=−2,y=−2
MCQ,31,How many variables are in x+2y=7?,1,2,3,0,2
MCQ,32,Which is linear in x and y?,x+y=1,x²+y=1,xy=1,1/x+y=2,x+y=1
MCQ,33,Which pair satisfies y=3x−1?,(1,2),(2,5),(0,−1),(3,8),(1,2)
MCQ,34,Which line is parallel to x-axis?,y=4,x=4,y=x,x+y=1,y=4
MCQ,35,Which line is parallel to y-axis?,x=−3,y=−3,y=x,x+y=1,x=−3
MCQ,36,Which equation has infinite solutions?,x+y=5,x²+y=5,xy=5,x/y=5,x+y=5
MCQ,37,Which point satisfies 2x+3y=12?,(3,2),(2,3),(4,2),(0,4),(3,2)
MCQ,38,The graph of x+y=3 cuts y-axis at?,(0,3),(3,0),(1,2),(2,1),(0,3)
MCQ,39,The graph of x+y=3 cuts x-axis at?,(3,0),(0,3),(1,2),(2,1),(3,0)
MCQ,40,Which equation passes through origin?,x+y=0,y=2,x=3,y=−1,y=4,x+y=0
MCQ,41,Which is a solution of x=1?,(1,0),(0,1),(2,1),(1,1),(1,0)
MCQ,42,The equation y=mx+c is linear because?,m=0,c=0,degree is 1,graph is curve,variables squared,degree is 1
MCQ,43,Which equation is horizontal line?,y=5,x=5,y=x,x+y=1,y=5
MCQ,44,Which equation is vertical line?,y=5,x=5,y=x,x+y=1,x=5
MCQ,45,Which pair satisfies x−2y=0?,(2,1),(4,1),(0,1),(1,0),(2,1)
MCQ,46,Which equation has slope zero?,y=3,x=3,y=x,x+y=1,y=3
MCQ,47,Which equation has undefined slope?,x=4,y=4,y=x,x+y=2,x=4
MCQ,48,Which is a solution of y=1?,(0,1),(1,0),(2,2),(−1,0),(0,1)
MCQ,49,Which is not linear?,x+y=1,x²+y=2,2x−y=3,y=4,x²+y=2
MCQ,50,Which equation has infinite ordered pairs?,x+y=5,x²+y=5,xy=3,1/x+y=2,x+y=5

Integer,1,Number of solutions of x+y=3?,Infinite,,,,
Integer,2,Value of y if x=2 in x+y=5?,3,,,,
Integer,3,Value of x if y=4 in x+y=9?,5,,,,
Integer,4,Is x+y=1 linear? (Yes/No),Yes,,,,
Integer,5,Graph of linear equation is?,Straight line,,,,
Integer,6,Number of variables in 2x−3y=7?,2,,,,
Integer,7,Value of y if x=0 in y=5?,5,,,,
Integer,8,Value of x if y=0 in x=−3?,-3,,,,
Integer,9,y-intercept of y=3x+2?,2,,,,
Integer,10,x-intercept of x=4?,4,,,,
Integer,11,Is x²+y=4 linear? (Yes/No),No,,,,
Integer,12,Value of y if x=1 in y=2x?,2,,,,
Integer,13,Value of x if y=−2 in x+y=1?,3,,,,
Integer,14,Equation of x-axis?,y=0,,,,
Integer,15,Equation of y-axis?,x=0,,,,
Integer,16,Number of solutions of y=4?,Infinite,,,,
Integer,17,Value of y if x=3 in y=x?,3,,,,
Integer,18,Value of x if y=1 in x=5?,5,,,,
Integer,19,Graph of y=0?,X-axis,,,,
Integer,20,Graph of x=0?,Y-axis,,,,
Integer,21,Value of y if x=2 in y=3?,3,,,,
Integer,22,Value of x if y=0 in x+2y=6?,6,,,,
Integer,23,Number of straight lines for linear equations?,Infinite,,,,
Integer,24,Value of y if x=−1 in y=2x?,−2,,,,
Integer,25,Is 2x+y+3=0 linear? (Yes/No),Yes,,,,
Integer,26,Value of y if x=0 in y=−4?,−4,,,,
Integer,27,Value of x if y=5 in x+y=10?,5,,,,
Integer,28,Value of y if x=4 in x−y=1?,3,,,,
Integer,29,Value of x if y=2 in 2x+y=8?,3,,,,
Integer,30,Value of y if x=1 in y=x−3?,−2,,,,
Integer,31,Equation parallel to x-axis?,y=c,,,,
Integer,32,Equation parallel to y-axis?,x=c,,,,
Integer,33,Value of y if x=0 in x+y=7?,7,,,,
Integer,34,Value of x if y=0 in x+y=9?,9,,,,
Integer,35,Value of y if x=5 in y=1?,1,,,,
Integer,36,Value of x if y=3 in x=2?,2,,,,
Integer,37,Does y=mx+c represent straight line? (Yes/No),Yes,,,,
Integer,38,Value of y if x=2 in y=−x?,−2,,,,
Integer,39,Value of x if y=1 in x−y=2?,3,,,,
Integer,40,Number of solutions of x=3?,Infinite,,,,
Integer,41,Value of y if x=0 in y=0?,0,,,,
Integer,42,Value of x if y=0 in x=0?,0,,,,
Integer,43,Value of y if x=1 in x+y=0?,−1,,,,
Integer,44,Is xy=4 linear? (Yes/No),No,,,,
Integer,45,Value of y if x=2 in y=2x+1?,5,,,,
Integer,46,Value of x if y=1 in y=1?,Any,,,,
Integer,47,Equation passing through origin?,x+y=0,,,,
Integer,48,Value of y if x=3 in y=−3?,−3,,,,
Integer,49,Value of x if y=4 in x=1?,1,,,,
Integer,50,Number of variables in x=5?,1,,,,

Problem,1,Find y if x=3 in x+y=10.,,,,,7
Problem,2,Find x if y=4 in x+y=9.,,,,,5
Problem,3,Check whether (2,3) satisfies x+y=5.,,,,,Yes
Problem,4,Find y if x=2 in 2x+y=7.,,,,,3
Problem,5,Find x if y=1 in 3x+y=10.,,,,,3
Problem,6,Find y if x=0 in x+y=8.,,,,,8
Problem,7,Find x if y=0 in x+y=6.,,,,,6
Problem,8,Find y if x=4 in y=2x.,,,,,8
Problem,9,Find x if y=6 in y=3x.,,,,,2
Problem,10,Check whether (1,2) is solution of y=2x.,,,,,Yes
Problem,11,Find y if x=1 in y=x−5.,,,,,−4
Problem,12,Find x if y=−2 in x+y=1.,,,,,3
Problem,13,Find y if x=5 in y=3.,,,,,3
Problem,14,Find x if y=0 in x=−4.,,,,,−4
Problem,15,Find y if x=2 in x−y=1.,,,,,1
Problem,16,Find x if y=3 in x−y=2.,,,,,5
Problem,17,Find y if x=1 in y=−x.,,,,,−1
Problem,18,Find x if y=−6 in y=−2x.,,,,,3
Problem,19,Find y if x=0 in y=−7.,,,,,−7
Problem,20,Find x if y=5 in x=5.,,,,,5
Problem,21,Check whether (3,1) satisfies 2x+y=7.,,,,,Yes
Problem,22,Find y if x=2 in y=x+4.,,,,,6
Problem,23,Find x if y=9 in y=3x.,,,,,3
Problem,24,Find y if x=−2 in y=2x+1.,,,,,−3
Problem,25,Find x if y=0 in 2x+y=8.,,,,,4
Problem,26,Find y if x=1 in x+y=0.,,,,,−1
Problem,27,Find x if y=−1 in x+y=3.,,,,,4
Problem,28,Find y if x=4 in y=−x+2.,,,,,−2
Problem,29,Find x if y=2 in x−2y=0.,,,,,4
Problem,30,Find y if x=0 in y=5.,,,,,5
Problem,31,Find x if y=1 in x+y=4.,,,,,3
Problem,32,Find y if x=3 in y=4x.,,,,,12
Problem,33,Find x if y=12 in y=4x.,,,,,3
Problem,34,Find y if x=−1 in y=3x−2.,,,,,−5
Problem,35,Find x if y=1 in 2x−y=5.,,,,,3
Problem,36,Find y if x=6 in y=1.,,,,,1
Problem,37,Find x if y=7 in x=2.,,,,,2
Problem,38,Find y if x=5 in x+y=10.,,,,,5
Problem,39,Find x if y=5 in x+y=10.,,,,,5
Problem,40,Find y if x=2 in y=−3.,,,,,−3
Problem,41,Check whether (0,4) satisfies y=4.,,,,,Yes
Problem,42,Find x if y=2 in y=2x.,,,,,1
Problem,43,Find y if x=7 in y=x.,,,,,7
Problem,44,Find x if y=0 in y=x−3.,,,,,3
Problem,45,Find y if x=1 in y=5x.,,,,,5
Problem,46,Find x if y=10 in y=5x.,,,,,2
Problem,47,Find y if x=−3 in y=−x.,,,,,3
Problem,48,Find x if y=6 in y=2x.,,,,,3
Problem,49,Find y if x=8 in x+y=12.,,,,,4
Problem,50,Find x if y=4 in x+y=12.,,,,,8
