Type,Question,Answer 
Passage,"One day he found his cat playing with a little doll and he grabbed it away. To his surprise it wasn’t a doll at all, but a man of the tiniest size. He had a little wool shirt with old-fashioned britches and a high tall hat much like a witch’s. He yelled, “Save me! Don’t give me back to that cat. I’ll grant you a wish, I promise you that.” Patrick couldn’t believe how lucky he was! Here was the answer to all of his problems. So he said, “Only if you do all my homework till the end of the semester, that’s 35 days. If you do a good enough job, I could even get A’s.” The little man’s face wrinkled like a dishcloth thrown in the hamper. He kicked his legs and doubled his fists and he grimaced and scowled and pursed his lips, “Oh, am I cursed! But I’ll do it.”",""
Q1,What was Patrick’s cat playing with at first?,Patrick’s cat was playing with what looked like a little doll.
Q2,Why was Patrick surprised when he grabbed the doll?,Patrick was surprised because it was actually a tiny man and not a doll.
Q3,What kind of clothes was the tiny man wearing?,He was wearing a little wool shirt, old-fashioned britches, and a tall hat like a witch’s.
Q4,What did the little man ask Patrick to do?,The little man asked Patrick to save him and not give him back to the cat.
Q5,What wish did Patrick make?,Patrick wished that the little man would do all his homework till the end of the semester.
Q6,For how many days did Patrick want his homework to be done?,Patrick wanted his homework to be done for 35 days.
Q7,How did the little man react to Patrick’s wish?,He became angry and upset, grimaced and scowled, but agreed to do it.
Q8,Why did Patrick feel lucky?,Patrick felt lucky because he thought the little man could solve all his homework problems.
Q9,The Ant and the Dove,Easy,"One hot day, an ant was searching for water. It walked to a river to drink. Suddenly, it slipped and fell into the water. The ant struggled to stay afloat. A dove sitting on a tree saw the ant in trouble. The dove quickly picked a leaf and dropped it into the water near the ant. The ant climbed onto the leaf and floated safely to the shore."

Chapter,Type,Question,Answer
A House, A Home,Passage,"What is a home? It’s loving and family and doing for others. It’s brothers and sisters and fathers and mothers. It’s unselfish acts and kindly sharing and showing your loved ones you’re always caring.",""
A House, A Home,Q1,What does the poet say a home is made of?,The poet says a home is made of love, family, and doing for others.
A House, A Home,Q2,Who are the members of a home mentioned in the poem?,The members mentioned are brothers, sisters, fathers, and mothers.
A House, A Home,Q3,Which qualities are associated with a true home in the poem?,Unselfish acts, kindness, sharing, and caring are associated with a true home.
A House, A Home,Q4,What does “doing for others” mean in the poem?,It means helping and caring for others selflessly.
A House, A Home,Q5,What are “unselfish acts” according to the poem?,Unselfish acts are actions done for others without expecting anything in return.
A House, A Home,Q6,Why is kindly sharing important in a home?,Kindly sharing builds love and harmony among family members.
A House, A Home,Q7,How can we show our loved ones that we are always caring?,By helping them, being kind to them, and supporting them in daily life.
A House, A Home,Q8,What is the main message of the poem?,The poem teaches that a home is made by love, care, and family bonds, not just walls and rooms.

Chapter,Type,Question,Answer
