Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is a prime number?,15,21,29,35,C
Which number is a composite number?,2,3,5,12,D
The HCF of 12 and 18 is?,6,12,18,24,A
The LCM of 4 and 6 is?,10,12,14,16,B
Two numbers are co-prime if their HCF is?,0,1,2,3,B
The smallest prime number is?,0,1,2,3,C
The smallest composite number is?,1,2,3,4,D
Factors of 16 include?,1,2,4,8,All of the above,E
The sum of all factors of 1 is?,0,1,2,3,B
1 is considered?,Prime,Composite,Neither prime nor composite,Both C,C
Which number is divisible by 2?,15,18,27,31,B
Which number is divisible by 5?,21,35,18,16,B
Which number is divisible by 10?,20,25,30,All A and C,D
If a number is divisible by 3, the sum of its digits is divisible by?,3,9,6,12,A
The number 1 has exactly how many factors?,1,2,0,3,A
The HCF of 8 and 12 is?,2,4,6,8,B
The LCM of 8 and 12 is?,16,24,32,36,B
Which property is shown by 3×(2+5)=3×2+3×5?,Commutative,Associative,Distributive,Closure,C
The HCF of two co-prime numbers is?,0,1,2,Number itself,B
The LCM of two co-prime numbers is?,Sum of numbers,Product of numbers,HCF,0,B
Factors of 36 include?,1,2,3,All of the above,D
Multiples of 7 include?,7,14,21,All of the above,D
Which number is prime?,21,17,15,35,B
Which number is composite?,13,19,21,17,C
The HCF of 24 and 36 is?,6,12,18,24,B
The LCM of 15 and 20 is?,60,30,20,15,A
The number 45 is divisible by?,3,5,Both A and B,D
Which number is divisible by both 2 and 3?,12,14,15,17,A
The product of HCF and LCM of two numbers equals?,Sum of numbers,Product of numbers,Difference of numbers,Quotient of numbers,B
The LCM of 3,4 and 6 is?,6,12,24,36,C
The HCF of 9,12 and 15 is?,1,2,3,5,C
Which number is divisible by 8?,24,32,36,Both A and B,D
The number 91 is?,Prime,Composite,Neither,Both B,B
The number 97 is?,Prime,Composite,Neither,Both A,A
The factors of 60 include?,1,2,3,All of the above,D
LCM of 6 and 15 is?,30,60,45,90,A
HCF of 32 and 48 is?,8,16,24,32,B
Which number is divisible by 9?,18,27,36,All of the above,D
The number 35 is divisible by?,5,7,Both A and B,Neither C,C
The HCF of 18,24,30 is?,6,12,9,18,A
The LCM of 8,10,12 is?,120,60,100,80,A
Which number is neither prime nor composite?,1,2,3,4,A
Smallest odd prime number is?,1,2,3,5,C
The number 21 is?,Prime,Composite,Neither,Both B,B
Which number is divisible by 4?,24,30,36,Both A and C,D
The number 100 is divisible by?,2,4,5,All of the above,D
If a number ends with 0, it is divisible by?,2,5,10,All of the above,D
Which of the following is a unit number?,1,2,0,3,A
The number 72 can be expressed as product of prime factors?,2³×3²,2²×3²,2²×3³,2³×3³,A
The HCF of 48,64,80 is?,8,16,32,24,B
