Question,Answer
A triangle has ______ sides.,3
A quadrilateral has ______ sides.,4
A pentagon has ______ sides.,5
A hexagon has ______ sides.,6
A heptagon has ______ sides.,7
An octagon has ______ sides.,8
A triangle with all sides equal is called ______.,Equilateral
A triangle with two sides equal is called ______.,Isosceles
A triangle with all sides unequal is called ______.,Scalene
A triangle with one right angle is called ______.,Right-angled
The sum of angles in a triangle is ______ degrees.,180
The sum of angles in a quadrilateral is ______ degrees.,360
A polygon with all sides and angles equal is called ______.,Regular polygon
A polygon with sides and angles not equal is called ______.,Irregular polygon
A square has ______ sides equal.,All
All angles of a square are ______ degrees.,90
A rectangle has opposite sides ______.,Equal
All angles of a rectangle are ______ degrees.,90
A parallelogram has ______ pairs of opposite sides parallel.,Two
Opposite angles of a parallelogram are ______.,Equal
A rhombus has all sides ______.,Equal
A rhombus has opposite angles ______.,Equal
A trapezium has ______ pair of opposite sides parallel.,One
A kite has ______ pairs of adjacent sides equal.,Two
A circle is the set of all points ______ from the center.,Equidistant
The distance from the center to any point on the circle is called the ______.,Radius
The longest chord of a circle is called the ______.,Diameter
A chord is a line segment joining ______ points on a circle.,Two
A tangent touches a circle at ______ point.,One
A secant intersects a circle at ______ points.,Two
A point where two lines meet is called ______.,Vertex
Two angles opposite each other when two lines intersect are called ______ angles.,Vertically opposite
Two angles that add up to 90° are called ______ angles.,Complementary
Two angles that add up to 180° are called ______ angles.,Supplementary
Adjacent angles share a common ______.,Vertex and side
The sum of interior angles of an n-sided polygon is ______.,(n-2)×180
The sum of exterior angles of any polygon is always ______ degrees.,360
A line that intersects two or more lines at distinct points is called a ______.,Transversal
Angles on the same side of a transversal inside parallel lines are called ______.,Interior angles
Angles on the opposite side of a transversal inside parallel lines are called ______.,Alternate interior angles
Angles in the same relative position on parallel lines are called ______.,Corresponding angles
A median of a triangle joins a vertex to the ______ of the opposite side.,Midpoint
An altitude of a triangle is a line ______ to the opposite side.,Perpendicular
A line dividing an angle into two equal angles is called ______.,Angle bisector
A line perpendicular to a segment passing through its midpoint is called ______.,Perpendicular bisector
A line that divides a figure into two mirror images is called ______.,Line of symmetry
A convex polygon has all interior angles ______ 180°,Less than
A concave polygon has at least one interior angle ______ 180°,Greater than
A sector of a circle is the region enclosed by ______.,Two radii and an arc
A segment of a circle is the region enclosed by ______.,A chord and the corresponding arc
