Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the poet of the poem Amanda!?,Robin Klein,Carolyn Wells,Leslie Norris,Robert Frost,Robin Klein
MCQ,2,Amanda! is a,Story,Poem,Play,Essay,Poem
MCQ,3,What is Amanda mostly doing in the poem?,Listening to advice,Daydreaming,Studying,Playing,Daydreaming
MCQ,4,Who keeps instructing Amanda?,Teacher,Mother,Father,Friend,Mother
MCQ,5,Amanda is repeatedly told not to,Bite nails,Watch TV,Talk loudly,Sleep,Bite nails
MCQ,6,Amanda imagines herself as,Mermaid,Orphan,Rapunzel,Fairy,Mermaid
MCQ,7,Amanda dreams of living in,A city,A school,A tower,A castle,A tower
MCQ,8,Amanda imagines freedom like,A bird,A fish,A cloud,A tree,A fish
MCQ,9,The poem highlights the theme of,Freedom vs control,Love,Nature,Friendship,Freedom vs control
MCQ,10,Amanda longs for,Discipline,Freedom,Fame,Wealth,Freedom
MCQ,11,What does Amanda imagine herself as after mermaid?,Princess,Orphan,Rapunzel,Witch,Orphan
MCQ,12,Amanda’s silence shows,Obedience,Anger,Imagination,Rebellion,Imagination
MCQ,13,The instructions to Amanda show,Love,Care,Over-control,Indifference,Over-control
MCQ,14,Amanda imagines Rapunzel to feel,Trapped,Happy,Lonely,Free,Free
MCQ,15,Amanda does not respond verbally because she is,Afraid,Angry,Lost in thoughts,Disrespectful,Lost in thoughts
MCQ,16,The poem is written in a,Serious tone,Humorous tone,Reflective tone,Sad tone,Reflective tone
MCQ,17,Amanda represents,All children,Only girls,Only teenagers,Only students,All children
MCQ,18,The speaker criticizes,Children,Parents,Teachers,Rules,Parents
MCQ,19,Amanda’s mother worries about,Health,Discipline,Studies,Future,Discipline
MCQ,20,Amanda imagines freedom without,Rules,Parents,People,Books,Rules
MCQ,21,The poem reflects a child’s desire for,Control,Freedom,Power,Success,Freedom
MCQ,22,Amanda is told to sit,Straight,Cross-legged,Quietly,Still,Straight
MCQ,23,Amanda imagines herself as a mermaid living,In a pond,In the sea,In a river,In a lake,In the sea
MCQ,24,Amanda’s mother worries others will think her a,Bad child,Liar,Neglected girl,Disobedient,Neglected girl
MCQ,25,The poem shows a conflict between,Child and society,Child and parent,Child and school,Child and friends,Child and parent
MCQ,26,Amanda’s imagination helps her to,Escape rules,Study better,Obey parents,Play games,Escape rules
MCQ,27,Amanda is warned against,Daydreaming,Slouching,Biting nails,Talking,Slouching
MCQ,28,Amanda’s fantasies are a form of,Rebellion,Creativity,Disrespect,Discipline,Creativity
MCQ,29,The poet’s tone towards Amanda is,Critical,Sympathetic,Angry,Humorous,Sympathetic
MCQ,30,Amanda wants a life of,Discipline,Responsibility,Freedom,Rules,Freedom
MCQ,31,The poem criticizes excessive,Love,Discipline,Freedom,Care,Discipline
MCQ,32,Amanda’s mother fears,Amanda’s future,Amanda’s health,Public opinion,Amanda’s safety,Public opinion
MCQ,33,Amanda’s dreams contrast with,Reality,School,Friends,Studies,Reality
MCQ,34,Amanda imagines Rapunzel living,Alone,Happily,Sadly,Angrily,Happily
MCQ,35,The poem suggests children need,Strict rules,Some freedom,More discipline,More work,Some freedom
MCQ,36,Amanda is silent because she feels,Ignored,Confused,Overburdened,Happy,Overburdened
MCQ,37,The poem’s message is,Obey parents,Freedom is essential,Discipline is good,Children are careless,Freedom is essential
MCQ,38,Amanda’s character is,Rebellious,Imaginative,Lazy,Rude,Imaginative
MCQ,39,The poem is written from the perspective of,Amanda,Mother,Teacher,Observer,Mother
MCQ,40,Amanda’s mother instructs her continuously to show,Authority,Care,Anger,Hatred,Care
MCQ,41,Amanda imagines herself free from,Rules,Parents,People,School,Rules
MCQ,42,The poem ends with a feeling of,Sadness,Hope,Anger,Relief,Sadness
MCQ,43,Amanda’s dreams suggest children want,Attention,Freedom,Money,Fame,Freedom
MCQ,44,The poem Amanda! highlights the pressure of,School,Friends,Parents,Society,Parents
MCQ,45,Amanda’s imagination is a response to,Love,Restrictions,Praise,Joy,Restrictions
MCQ,46,The poem encourages parents to be,Strict,Understanding,Indifferent,Controlling,Understanding
MCQ,47,Amanda represents suppressed,Imagination,Freedom,Anger,Joy,Freedom
MCQ,48,Amanda’s fantasies include life without,Responsibility,Food,People,Nature,Responsibility
MCQ,49,The poem is relatable because,All parents behave same,Children face restrictions,School is strict,Life is hard,Children face restrictions
MCQ,50,The central theme of the poem is,Child psychology,Discipline,Freedom vs control,Family life,Freedom vs control

Integer,1,Name of the poet?,Robin Klein,,,,
Integer,2,Type of poem?,Lyric,,,,
Integer,3,Main character?,Amanda,,,,
Integer,4,Amanda imagines herself as?,Mermaid,,,,
