Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the poet of For Anne Gregory?,W B Yeats,Robert Frost,John Keats,William Wordsworth,W B Yeats
MCQ,2,For Anne Gregory is a,Story,Poem,Play,Essay,Poem
MCQ,3,The poem is addressed to,Anne Gregory,The poet’s sister,A friend,The poet’s wife,Anne Gregory
MCQ,4,What physical feature of Anne is praised?,Eyes,Hair,Face,Smile,Hair
MCQ,5,What colour is Anne’s hair?,Brown,Yellow,Black,Golden,Yellow
MCQ,6,The poet says young men love Anne for her,Personality,Kindness,Beauty,Wealth,Beauty
MCQ,7,What does the poet want Anne to understand?,Power of beauty,Value of inner beauty,Importance of wealth,Fame,Value of inner beauty
MCQ,8,The poem highlights the theme of,Love and beauty,Inner beauty vs outer beauty,Nature,Friendship,Inner beauty vs outer beauty
MCQ,9,Anne wants to be loved for her,Looks,Money,Soul,Fame,Soul
MCQ,10,The poet suggests that true love is based on,Appearance,Hair colour,Soul,Youth,Soul
MCQ,11,What does Anne say she can change?,Nature,Soul,Hair colour,Personality,Hair colour
MCQ,12,According to the poet, can inner beauty be changed?,Yes,No,Sometimes,Rarely,No
MCQ,13,The poet quotes a religious idea to support,Outer beauty,Inner beauty,Youth,Love,Inner beauty
MCQ,14,The poem uses dialogue between,Two lovers,Poet and Anne,Two friends,Teacher and student,Poet and Anne
MCQ,15,The tone of the poem is,Angry,Humorous,Philosophical,Sad,Philosophical
MCQ,16,The poet believes physical beauty is,Permanent,Temporary,More important,Useless,Temporary
MCQ,17,The poem suggests that real love is,Rare,Common,Based on beauty,Based on soul,Based on soul
MCQ,18,Anne Gregory wants to be loved for her,Yellow hair,True self,Youth,Fame,True self
MCQ,19,The poem ends with reference to,Love,God,Youth,Beauty,God
MCQ,20,The poet says only God can love a person for their,Soul,Hair,Face,Money,Soul
MCQ,21,The poem criticizes,Love,Physical attraction,Religion,Youth,Physical attraction
MCQ,22,The young men love Anne for what they see,Yes,No,Partly,Never,Yes
MCQ,23,The poet uses Anne’s hair as a symbol of,Youth,Beauty,Love,Power,Beauty
MCQ,24,What does Anne feel about her beauty?,Proud,Indifferent,Concerned,Happy,Concerned
MCQ,25,The poem belongs to the genre of,Lyric,Narrative,Ballad,Elegy,Lyric
MCQ,26,The poet’s advice to Anne is to value,Looks,Makeup,Inner self,Fashion,Inner self
MCQ,27,The poem suggests outer beauty can be,Loved forever,Changed,Ignored,Controlled,Changed
MCQ,28,The poet believes human love is often,Selfless,Superficial,Spiritual,Eternal,Superficial
MCQ,29,Anne Gregory represents,All women,Only poets,Rich people,Teenagers,All women
MCQ,30,The poem’s message is universal because,Everyone ages,Everyone values beauty,Everyone desires true love,Everyone changes hair,Everyone desires true love
MCQ,31,The poet’s attitude towards Anne is,Critical,Caring,Indifferent,Mocking,Caring
MCQ,32,What does Anne want to change to test love?,Nature,Personality,Soul,Hair,Hair
MCQ,33,The poet implies inner beauty is,Visible,Invisible,Temporary,Artificial,Invisible
MCQ,34,The poem contrasts,Youth and age,Outer and inner beauty,Love and hate,Faith and doubt,Outer and inner beauty
MCQ,35,The poet uses religious reference to emphasize,Truth,Beauty,Morality,Spiritual love,Spiritual love
MCQ,36,Anne’s wish reflects human desire for,Attention,True love,Beauty,Fame,True love
MCQ,37,The poet’s message is optimistic because,Love exists,God loves truly,Beauty lasts forever,Youth is powerful,God loves truly
MCQ,38,The poem teaches that appearance-based love is,Strong,Lasting,Shallow,Perfect,Shallow
