Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The decimal form of 129/(2² × 5⁷ × 7⁵) is:,Terminating,Non-terminating,Non-terminating non-repeating,None of the above,Non-terminating non-repeating
MCQ,2,HCF of 8, 9, 25 is:,8,9,25,1,1
MCQ,3,Which of the following is not irrational?,"(2 - √3)²","(√2 + √3)²","(√2 - √3)(√2 + √3)","2√7/7","(√2 - √3)(√2 + √3)"
MCQ,4,The product of a rational and irrational number is:,Rational,Irrational,Both of the above,None of the above,Irrational
MCQ,5,The sum of a rational and irrational number is:,Rational,Irrational,Both of the above,None of the above,Irrational
MCQ,6,The product of two different irrational numbers is always:,Rational,Irrational,Both of the above,None of the above,Both of the above
MCQ,7,The sum of two irrational numbers is always:,Irrational,Rational,Rational or Irrational,One,Rational or Irrational
MCQ,8,According to Euclid's division lemma, if b = 3, then any integer can be expressed as a =:,3q,3q + 1,3q + 2,All of the above,All of the above
MCQ,9,The product of three consecutive positive integers is divisible by:,4,6,No common factor,Only 1,6
MCQ,10,The decimal expansion of 17/8 will terminate after how many places of decimals?,1,2,3,Will not terminate,3
MCQ,11,If HCF (a, b) = 12 and a × b = 1800, then LCM (a, b) is:,3600,900,150,90,150
MCQ,12,For any positive integers a and b, HCF(a, b) × LCM(a, b) =:,a + b,a - b,a × b,a ÷ b,a × b
MCQ,13,The decimal expansion of √2 is:,Terminating,Non-terminating repeating,Non-terminating non-repeating,None of these,Non-terminating non-repeating
MCQ,14,Which of the following is a rational number?,√2,√3,√4,√5,√4
MCQ,15,The HCF of 96 and 404 is:,4,2,8,12,4
MCQ,16,The LCM of 96 and 404 is:,9696,4848,2424,1212,9696
MCQ,17,If p and q are positive integers such that p = ab² and q = a³b, where a and b are prime numbers, then HCF(p, q) is:,ab,ab²,a³b,a³b²,ab
MCQ,18,If p and q are positive integers such that p = ab² and q = a³b, where a and b are prime numbers, then LCM(p, q) is:,ab,ab²,a³b,a³b²,a³b²
MCQ,19,The decimal expansion of 6/15 will terminate after how many places?,1,2,3,Will not terminate,1
MCQ,20,According to Euclid's division algorithm, for any two positive integers a and b, there exist unique integers q and r such that a = bq + r, where r must satisfy:,0 ≤ r < b,0 < r < b,0 ≤ r ≤ b,1 ≤ r < b,0 ≤ r < b
MCQ,21,The number 7 × 11 × 13 + 13 is:,A prime number,A composite number,Neither prime nor composite,1,A composite number
MCQ,22,The number 2 × 3 × 4 + 4 is:,A prime number,A composite number,Neither prime nor composite,1,A composite number
MCQ,23,Which of the following rational numbers have a terminating decimal expansion?,1/7,1/11,1/15,7/8,7/8
MCQ,24,Which of the following rational numbers have a non-terminating repeating decimal expansion?,3/8,1/3,5/4,17/50,1/3
MCQ,25,The HCF of 52 and 130 is:,26,13,2,52,26
MCQ,26,The LCM of 52 and 130 is:,260,130,520,104,260
MCQ,27,If n is an odd positive integer, then n² - 1 is divisible by:,2,4,8,16,8
MCQ,28,The smallest number that is divisible by both 18 and 24 is:,36,48,72,144,72
MCQ,29,The largest number that divides 70 and 125 leaving remainders 5 and 8 respectively is:,13,65,875,1750,13
MCQ,30,The decimal expansion of 13/3125 will terminate after how many decimal places?,3,4,5,6,5
MCQ,31,If HCF(306, 657) = 9, then LCM(306, 657) is:,22338,22383,22833,22888,22338
MCQ,32,Which of the following is an irrational number?,0.14,0.1416,0.1416 (bar),0.4014001400014...,0.4014001400014...
MCQ,33,The decimal expansion of 35/50 will terminate after how many decimal places?,1,2,3,Will not terminate,2
MCQ,34,If the decimal expansion of a rational number terminates, then the denominator can be expressed in the form:,2^m × 5^n,2^m,5^n,2^m × 3^n,2^m × 5^n
MCQ,35,The number √7 is:,Rational,Irrational,Integer,Natural number,Irrational
MCQ,36,The number (3 + √5)(3 - √5) is:,Irrational,Rational,Integer,Natural number,Rational
MCQ,37,If a = 2³ × 3, b = 2 × 3², then HCF(a, b) is:,6,12,18,36,6
MCQ,38,If a = 2³ × 3, b = 2 × 3², then LCM(a, b) is:,72,36,24,12,72
MCQ,39,The smallest prime number is:,0,1,2,3,2
MCQ,40,The number of prime numbers between 1 and 50 is:,15,16,17,18,15
MCQ,41,If a number ends with 0, its square ends with:,0,1,4,9,0
MCQ,42,The decimal expansion of 1/17 is:,Terminating,Non-terminating repeating,Non-terminating non-repeating,None,Non-terminating repeating
MCQ,43,For any positive integer n, n³ - n is divisible by:,2,3,6,All of these,6
MCQ,44,The HCF of 867 and 255 is:,51,17,3,1,51
MCQ,45,The LCM of 867 and 255 is:,4335,43350,13005,26010,4335
MCQ,46,If a and b are co-prime, then HCF(a, b) is:,1,a,b,ab,1
MCQ,47,If a and b are co-prime, then LCM(a, b) is:,1,a,b,ab,ab
MCQ,48,The number 1.2345678910111213... is:,Rational,Irrational,Integer,Natural number,Irrational
MCQ,49,Every positive integer can be expressed as:,Product of primes,Sum of primes,Product of even numbers,Sum of even numbers,Product of primes
MCQ,50,The Fundamental Theorem of Arithmetic states that:,Every composite number can be expressed as a product of primes uniquely,Every natural number can be expressed as a product of primes,Every integer can be expressed as a product of primes,All of the above,Every composite number can be expressed as a product of primes uniquely
Integer,1,Find the HCF of 135 and 225.,15,,,,
Integer,2,Find the LCM of 12 and 18.,36,,,,
Integer,3,The HCF of 96 and 404 is:.,4,,,,
Integer,4,The LCM of 96 and 404 is:.,9696,,,,
Integer,5,Find the HCF of 6, 72 and 120.,6,,,,
Integer,6,Find the LCM of 6, 72 and 120.,360,,,,
Integer,7,The decimal expansion of 13/3125 will terminate after how many decimal places?,5,,,,
Integer,8,The decimal expansion of 17/8 will terminate after how many decimal places?,3,,,,
Integer,9,If HCF(306, 657) = 9, then LCM(306, 657) is:.,22338,,,,
Integer,10,Find the HCF of 867 and 255.,51,,,,
Integer,11,Find the LCM of 867 and 255.,4335,,,,
Integer,12,Find the largest number that divides 70 and 125 leaving remainders 5 and 8 respectively.,13,,,,
Integer,13,Find the smallest number which when divided by 12, 15 and 18 leaves a remainder of 7 in each case.,187,,,,
Integer,14,Find the HCF of 52 and 130.,26,,,,
Integer,15,Find the LCM of 52 and 130.,260,,,,
Integer,16,The decimal expansion of 35/50 will terminate after how many decimal places?,2,,,,
Integer,17,If HCF(26, 91) = 13, then LCM(26, 91) is:.,182,,,,
Integer,18,Find the HCF of 65 and 117.,13,,,,
Integer,19,Find the LCM of 65 and 117.,585,,,,
Integer,20,The decimal expansion of 6/15 will terminate after how many decimal places?,1,,,,
Integer,21,Find the HCF of 81 and 237.,3,,,,
Integer,22,Find the LCM of 81 and 237.,6399,,,,
