Question,Answer
Match the following materials with their state,"A. Water - 1. Liquid
B. Iron - 2. Solid
C. Oxygen - 3. Gas
D. Mercury - 1. Liquid
E. Helium - 3. Gas"
Match the following materials with their property,"A. Wood - 1. Floats on Water
B. Iron - 2. Magnetic
C. Cotton - 3. Absorbent
D. Glass - 4. Transparent
E. Plastic - 5. Non-magnetic"
Match the following objects with the material they are made of,"A. Spoon - 1. Metal
B. Chair - 2. Wood
C. Window - 3. Glass
D. Bag - 4. Plastic
E. Rope - 5. Fibre"
Match the following materials with their category,"A. Metal - 1. Iron
B. Non-metal - 2. Sulphur
C. Wood - 3. Teak
D. Plastic - 4. Bottle
E. Fabric - 5. Cotton Cloth"
Match the following substances with their solubility,"A. Salt - 1. Soluble
B. Sugar - 1. Soluble
C. Sand - 2. Insoluble
D. Oil - 2. Insoluble
E. Chalk - 2. Insoluble"
Match the following materials with their property,"A. Rubber - 1. Elastic
B. Sponge - 2. Absorbent
C. Steel - 3. Hard
D. Aluminium - 4. Lightweight
E. Wax - 5. Soft and Malleable"
Match the following materials with their source,"A. Cotton - 1. Plant
B. Silk - 2. Animal
C. Iron - 3. Mineral
D. Plastic - 4. Synthetic
E. Wood - 1. Plant"
Match the following objects with the material used,"A. Pencil - 1. Wood and Graphite
B. Ruler - 2. Plastic or Wood
C. Bottle - 3. Glass
D. Plate - 4. Steel
E. Bag - 5. Fabric"
Match the following properties with the material,"A. Transparent - 1. Glass
B. Elastic - 2. Rubber
C. Magnetic - 3. Iron
D. Absorbent - 4. Cotton
E. Hard - 5. Stone"
Match the following materials with their recyclability,"A. Paper - 1. Recyclable
B. Aluminium - 1. Recyclable
C. Plastic - 2. Recyclable (if sorted)
D. Glass - 1. Recyclable
E. Styrofoam - 3. Not Easily Recyclable"
Match the following materials with their electrical property,"A. Copper - 1. Conductor
B. Iron - 1. Conductor
C. Rubber - 2. Insulator
D. Plastic - 2. Insulator
E. Glass - 2. Insulator"
Match the following materials with their thermal property,"A. Aluminium - 1. Good Conductor
B. Iron - 1. Good Conductor
C. Wood - 2. Poor Conductor
D. Rubber - 2. Poor Conductor
E. Glass - 2. Poor Conductor"
Match the following materials with their state change property,"A. Ice - 1. Melts to Water
B. Water - 2. Freezes to Ice
C. Wax - 3. Melts on Heating
D. Salt - 4. Dissolves in Water
E. Sugar - 4. Dissolves in Water"
Match the following materials with their solubility in water,"A. Sugar - 1. Soluble
B. Salt - 1. Soluble
C. Sand - 2. Insoluble
D. Oil - 2. Insoluble
E. Chalk - 2. Insoluble"
Match the following materials with their characteristic,"A. Iron - 1. Magnetic and Hard
B. Copper - 2. Conducts Electricity
C. Rubber - 3. Elastic and Non-conductive
D. Cotton - 4. Soft and Absorbent
E. Glass - 5. Transparent and Brittle"
