Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "Mijbil the Otter"?,Gavin Maxwell,Mark Twain,George Orwell,Ruskin Bond,Gavin Maxwell
MCQ,2,Where did the author travel to in early 1956?,Southern Iraq,Northern India,Western Australia,Eastern Europe,Southern Iraq
MCQ,3,What pet did the author decide to keep instead of a dog?,An otter,A cat,A parrot,A rabbit,An otter
MCQ,4,Where is Camusfearna located?,Scotland,England,Ireland,Wales,Scotland
MCQ,5,Who suggested that the author get an otter from the Tigris marshes?,A friend,A relative,A neighbor,A colleague,A friend
MCQ,6,How long did the author wait in Basra for his mail?,Five days,Three days,One week,Two weeks,Five days
MCQ,7,What was the name of the otter?,Mijbil,Tommy,Oscar,Max,Mijbil
MCQ,8,What group of animals do otters belong to?,Mustellines,Felines,Canines,Reptiles,Mustellines
MCQ,9,Which of the following is NOT a member of the Mustellines group?,Elephant,Badger,Mongoose,Weasel,Elephant
MCQ,10,How did Mijbil react when first taken to the bathroom?,He went wild with joy,He was scared,He tried to escape,He remained indifferent,He went wild with joy
MCQ,11,What did Mijbil do two days after being taken to the bathroom?,He opened the tap himself,He refused to enter the bathroom,He broke the bathtub,He hid under the bed,He opened the tap himself
MCQ,12,How was Mijbil transported to England?,In a box,In a cage,On a leash,In a bag,In a box
MCQ,13,What happened to the box during the flight?,Mijbil tore it open,Mijbil slept peacefully,Mijbil made no noise,Mijbil refused to enter,Mijbil tore it open
MCQ,14,How did the air hostess react to Mijbil?,She was friendly,She was scared,She ignored him,She complained to the captain,She was friendly
MCQ,15,What game did Mijbil invent?,Playing with a ball on a suitcase,Chasing his tail,Jumping through hoops,Climbing curtains,Playing with a ball on a suitcase
MCQ,16,How did Londoners react to Mijbil?,They made wild guesses about his species,They recognized him as an otter,They were indifferent,They were scared,They made wild guesses about his species
MCQ,17,Which of the following was NOT a guess made by Londoners about Mijbil's species?,A dog,A baby seal,A squirrel,A walrus,A dog
MCQ,18,What did Mijbil do when he was taken to the bathroom for the first time?,Plunged and rolled in the water,Refused to enter,Sat quietly,Attempted to escape,Plunged and rolled in the water
MCQ,19,What did Mijbil do with the tap in the bathroom?,Turned it on himself,Ignored it,Bit it,Played with it without turning it on,Turned it on himself
MCQ,20,How did Mijbil behave during the flight to England?,He escaped from the box and caused chaos,He slept throughout,He stayed in the box quietly,He refused to eat,He escaped from the box and caused chaos
MCQ,21,What was Mijbil's initial reaction to the author?,Aloof and indifferent,Friendly,Hostile,Excited,Aloof and indifferent
MCQ,22,What did Mijbil do with a ping-pong ball?,Invented a game,Ignored it,Ate it,Destroyed it,Invented a game
MCQ,23,How did Mijbil's game with the ping-pong ball work?,He placed it on a suitcase and chased it,He threw it in the air,He hid it,He ignored it,He placed it on a suitcase and chased it
MCQ,24,What was the author's observation about Londoners' knowledge of otters?,They were unfamiliar with otters,They knew a lot about otters,They were indifferent to otters,They were scared of otters,They were unfamiliar with otters
MCQ,25,What did some Londoners mistake Mijbil for?,A baby seal,A dog,A cat,A rabbit,A baby seal
MCQ,26,How did Mijbil react to the new environment in London?,He adapted quickly,He was scared,He refused to eat,He tried to escape,He adapted quickly
MCQ,27,What was the author's main reason for getting an otter?,To have a unique pet,To replace his dog,To study otters,To impress his friends,To have a unique pet
MCQ,28,How did the author acquire Mijbil?,A friend sent him,A pet store,A zoo,A rescue center,A friend sent him
MCQ,29,What did Mijbil do when he first entered the bathroom?,Plunged and rolled in the water,Refused to enter,Sat quietly,Attempted to escape,Plunged and rolled in the water
MCQ,30,How did Mijbil open the tap?,With his paws,With his mouth,With his tail,He couldn't open it,With his paws
MCQ,31,What was the author's reaction to Mijbil opening the tap?,Amazed,Angry,Indifferent,Scared,Amazed
MCQ,32,What did the air hostess do after Mijbil escaped during the flight?,Allowed him on the author's lap,Scolded the author,Ignored the situation,Called security,Allowed him on the author's lap
MCQ,33,What was Mijbil's favorite game?,Playing with a ball on a suitcase,Chasing his tail,Jumping through hoops,Climbing curtains,Playing with a ball on a suitcase
MCQ,34,What animal group includes otters, badgers, and weasels?,Mustellines,Felines,Canines,Reptiles,Mustellines
MCQ,35,Why did the author want an otter as a pet?,He thought it would be a unique companion,He was studying wildlife,He couldn't keep a dog,He wanted to impress friends,He thought it would be a unique companion
MCQ,36,What was Mijbil's behavior when he first met the author?,Aloof,Playful,Friendly,Aggressive,Aloof
MCQ,37,How long did it take for Mijbil to learn to open the tap?,Two days,One week,One month,Never,Two days
MCQ,38,What happened when Mijbil tore open the box during the flight?,He caused chaos in the plane,He fell asleep,He stayed quiet,He escaped,He caused chaos in the plane
