Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,What is the full name of the little girl in the story?,Valli,Valliammai,Valmiki,Valli Amma,Valliammai
MCQ,2,How old was Valli?,Six years old,Seven years old,Eight years old,Nine years old,Eight years old
MCQ,3,What was Valli's favorite pastime?,Playing with dolls,Watching the street outside,Reading books,Drawing pictures,Watching the street outside
MCQ,4,What fascinated Valli the most on the street?,The shops,The people,The bus,The animals,The bus
MCQ,5,What was the destination of the bus that Valli wanted to ride?,The next village,The next town,The city,The beach,The next town
MCQ,6,How much did the bus fare cost?,Thirty paise,Forty paise,Fifty paise,Sixty paise,Thirty paise
MCQ,7,How long would it take to reach the destination?,One hour,One and a half hours,Two hours,Two and a half hours,One and a half hours
MCQ,8,What was Valli's strongest desire?,To buy toys,To ride the bus,To go to school,To meet friends,To ride the bus
MCQ,9,How did Valli save money for the bus ride?,By asking her mother,By asking her father,By resisting temptations,By stealing,By resisting temptations
MCQ,10,What did Valli resist buying to save money?,Pens and pencils,Toys and balloons,Books,Clothes,Toys and balloons
MCQ,11,What did Valli do to learn about the bus?,Observed it carefully,Asked the conductor,Read about it,Asked her parents,Observed it carefully
MCQ,12,On which day did Valli plan to take her bus ride?,Sunday,Monday,Tuesday,Wednesday,Thursday
MCQ,13,Why did Valli choose that particular day?,It was a holiday,Her mother would be away,It was a special day,No particular reason,Her mother would be away
MCQ,14,What did Valli tell her mother when she left?,She was going to play,She was going to a friend's house,She said nothing,She was going shopping,She said nothing
MCQ,15,Who was the bus conductor?,A friendly person,A rude person,A serious person,An old person,A friendly person
MCQ,16,What did the conductor call Valli?,Little girl,Madam,Child,Kiddo,Madam
MCQ,17,Why did the conductor call Valli "Madam"?,She was well-dressed,She behaved like a grown-up,She paid the fare,He was being sarcastic,She behaved like a grown-up
MCQ,18,What was the conductor's reaction when Valli said she could manage?,He laughed,He was surprised,He was annoyed,He ignored her,He laughed
MCQ,19,How did Valli feel when she got on the bus?,Scared,Excited,Nervous,Confident,Excited
MCQ,20,What did Valli see outside the bus window?,Beautiful scenery,Dirty streets,Tall buildings,Crowded markets,Beautiful scenery
MCQ,21,What did the old woman ask Valli?,Where are you going?,Are you alone?,How old are you?,Where are your parents?,Are you alone?
MCQ,22,How did Valli respond to the old woman's questions?,Politely,Impatiently,Angrily,Ignored her,Impatiently
MCQ,23,What did Valli see on the roadside during her journey?,A cow lying dead,Many people,Beautiful flowers,Wild animals,A cow lying dead
MCQ,24,How did Valli react to seeing the dead cow?,She was happy,She was sad,She was scared,She was indifferent,She was sad
MCQ,25,What realization did Valli have about the dead cow?,It was the same cow she saw on her way,It was a different cow,It was just sleeping,It was old,It was the same cow she saw on her way
MCQ,26,How did Valli feel on her return journey?,Happy and excited,Sad and thoughtful,Angry,Scared,Sad and thoughtful
MCQ,27,What did the conductor offer Valli on her return?,A free ride,A lollipop,Some refreshments,Nothing,A lollipop
MCQ,28,How did Valli respond to the conductor's offer?,Accepted it,Happily accepted,Refused politely,Refused rudely,Refused politely
MCQ,29,What was Valli's reaction when she reached home?,She was happy,She was sad,She was thoughtful,She was excited,She was thoughtful
MCQ,30,What did Valli's mother say when Valli was home?,Nothing,Asked where she was,Scolded her,Told her a story,Asked where she was
MCQ,31,What did Valli realize at the end of the story?,Life is fun,Death is a part of life,She should travel more,She should save more money,Death is a part of life
MCQ,32,What was the theme of the story?,Childhood innocence,The reality of life and death,Travel adventures,Friendship,The reality of life and death
MCQ,33,What literary device is used in the title "Madam Rides the Bus"?,Metaphor,Personification,Irony,Simile,Irony
MCQ,34,What does the story show about Valli's character?,She is naive,She is mature for her age,She is stubborn,She is shy,She is mature for her age
MCQ,35,What was Valli's relationship with the conductor?,Friendly,Hostile,Indifferent,Professional,Friendly
MCQ,36,What did Valli learn from her bus ride?,How to travel,The beauty of nature,The reality of death,How to save money,The reality of death
MCQ,37,How did the other passengers react to Valli?,They ignored her,They were curious,They were annoyed,They were scared,They were curious
MCQ,38,What was Valli's view of adults before the journey?,They were helpful,They were boring,They were interesting,She didn't think about them,They were boring
MCQ,39,What changed in Valli after the bus ride?,Nothing,She became more mature,She became more playful,She became sadder,She became more mature
MCQ,40,What does the story suggest about independence?,It is dangerous,It is exciting,It brings understanding,It is unnecessary,It brings understanding
MCQ,41,What was the setting of the story?,A city,A village,A town,A beach,A village
MCQ,42,What was the bus conductor's personality like?,Serious,Funny and friendly,Mean,Quiet,Funny and friendly
MCQ,43,What did Valli see that was running alongside the bus?,A dog,A cow,A goat,A horse,A cow
MCQ,44,How did Valli feel about the cow running alongside the bus?,She was scared,She was amused,She was annoyed,She was excited,She was amused
MCQ,45,What did Valli do during most of her journey?,Slept,Looked outside,Read,Played,Looked outside
MCQ,46,What was Valli's social status?,Rich,Poor,Middle class,Unknown,Middle class
MCQ,47,What does the story reveal about Valli's personality?,She is adventurous,She is timid,She is lazy,She is dependent,She is adventurous
MCQ,48,What lesson does the story teach?,Children should not travel alone,Experiences teach valuable lessons,Money is important,Adults are always right,Experiences teach valuable lessons
MCQ,49,What was the author's purpose in writing this story?,To entertain,To teach a lesson,Both to entertain and teach,To describe a bus ride,Both to entertain and teach
MCQ,50,What is the main conflict in the story?,Between Valli and her parents,Between Valli and the conductor,Valli's desire vs reality,Valli's fear vs courage,Valli's desire vs reality
Fill_Blank,1,Valli's full name was ______.,Valliammai,Valmiki,Valli,Valli Amma,Valliammai
Fill_Blank,2,Valli was ______ years old.,eight,8,eight years,8 years,eight
Fill_Blank,3,Valli's favorite pastime was watching the ______ outside.,street,road,outside,world,street
Fill_Blank,4,Valli was most fascinated by the ______.,bus,train,car,cycle,bus
Fill_Blank,5,The bus fare cost ______ paise.,thirty,30,thirty,30 paise,thirty
Fill_Blank,6,The journey to the destination would take ______ hours.,one and a half,1.5,one and half,1½,one and a half
Fill_Blank,7,Valli's strongest desire was to ride the ______.,bus,train,car,cycle,bus
Fill_Blank,8,Valli saved money by resisting the temptation to buy ______ and balloons.,toys,playthings,things,items,toys
Fill_Blank,9,Valli learned about the bus by ______ it carefully.,observing,watching,studying,seeing,observing
Fill_Blank,10,Valli planned her bus ride for a day when her mother would be ______.,away,out,absent,gone,away
Fill_Blank,11,The bus conductor called Valli ______.,Madam,madam,MADAM,Lady,Madam
Fill_Blank,12,The conductor was a ______ person.,friendly,kind,nice,good,friendly
Fill_Blank,13,Valli saw beautiful ______ outside the bus window.,scenery,views,landscapes,views,scenery
Fill_Blank,14,An old woman asked Valli if she was ______.,alone,by herself,on her own,solo,alone
Fill_Blank,15,Valli saw a ______ lying dead on the roadside.,cow,animal,creature,beast,cow
Fill_Blank,16,Valli realized the dead cow was the ______ one she had seen earlier.,same,very,exact,very same,same
