Question,Answer
The hard framework that supports our body is called the _______,,skeleton
The total number of bones in the human body is _______,,206
The point where two or more bones meet is called a _______,,joint
The joint that allows movement in all directions is the _______,,ball and socket joint
The joint that allows movement in only one direction is the _______,,hinge joint
The joint that allows sliding movement is called a _______,,gliding joint
The joint present in the neck that allows rotation is the _______,,pivot joint
The joint present between skull bones is _______,,immovable joint
The backbone is also called the _______,,vertebral column
The backbone is made up of small bones called _______,,vertebrae
The rib cage protects the _______,,heart and lungs
The bone of the upper arm is called _______,,humerus
The longest bone in the human body is _______,,femur
The smallest bone in the human body is _______,,stapes
Muscles are attached to bones by strong fibres called _______,,tendons
The place where muscles are attached to bones is called _______,,tendon
The tough bands connecting bones to bones are called _______,,ligaments
The joint in the shoulder is a _______,,ball and socket joint
The joint in the knee is a _______,,hinge joint
The skull protects the _______,,brain
The pelvic girdle supports the weight of the _______,,upper body
The bone of the lower arm is called _______,,ulna
The joint that allows back and forth movement in fingers is _______,,hinge joint
The movement of bones is brought about by _______,,muscles
Muscles always work in _______,,pairs
The contraction of muscles causes the bone to _______,,move
The relaxation of muscles causes the bone to _______,,return
The ribs are connected to the backbone by _______,,cartilage
The backbone protects the _______,,spinal cord
The structure that connects muscles to bones is _______,,tendon
The place where two bones are connected is called _______,,joint
The bones of the skull are joined by _______,,immovable joints
The joint in the elbow is a _______,,hinge joint
The movement of jaw is possible due to _______,,hinge joint
The girdle that connects the arm to the body is the _______,,pectoral girdle
The bones that form the shoulder are part of the _______,,pectoral girdle
The bones that form the hip are part of the _______,,pelvic girdle
The bending of arm at elbow is called _______,,flexion
The straightening of arm is called _______,,extension
The structure that allows smooth movement of bones at joints is _______,,cartilage
The skull has _______ bones,,"22"
The bone forming the lower jaw is called _______,,mandible
The backbone helps in keeping the body _______,,upright
The rib cage is connected to the backbone at the _______,,back
The bone forming the forehead is _______,,frontal bone
The bone that connects the arm to shoulder is _______,,humerus
The joints in our body allow _______,,movement
The shape of femur is _______,,long bone
