Question,Answer
The banyan tree served as a natural ________.,habitat
The narrator spent most of his time observing ________.,animals
The tree supported birds, insects, and ________.,reptiles
The banyan tree’s roots hung like thick ________.,ropes
The python remained motionless like a ________.,log
The fight involved a mongoose and a ________.,cobra
The mongoose relied on speed and ________.,agility
The cobra depended on its venom and ________.,strike
The birds reacted to the fight with loud ________.,cries
The banyan tree acted as a silent ________.,witness
The boy climbed the tree for safety and ________.,observation
The python symbolised danger through its ________.,size
The mongoose showed courage despite the snake’s ________.,strength
The fight represented survival in the natural ________.,world
The banyan tree provided protection from ________.,predators
The narrator felt fearless because of the tree’s ________.,height
The animals behaved according to natural ________.,instincts
The fight was watched by many ________.,birds
The mongoose attacked the snake repeatedly until it was ________.,exhausted
The snake tried to escape but was ________.,overpowered
The banyan tree was a centre of daily ________.,activity
The boy enjoyed observing wildlife in its ________.,natural
The tree symbolised stability and ________.,shelter
The python never interfered in the ________.,fight
The banyan tree sheltered life both day and ________.,night
The fight highlighted the balance of ________.,nature
The mongoose’s strategy was based on speed and ________.,timing
The snake relied heavily on a single ________.,bite
The birds’ reaction showed fear and ________.,excitement
The banyan tree allowed the boy to study animal ________.,behavior
The narrator developed patience through careful ________.,observation
The tree became a classroom for learning about ________.,nature
The banyan tree created a sense of ________.,security
The python’s presence added mystery and ________.,tension
The fight was intense and full of ________.,drama
The animals followed the rule of survival of the ________.,fittest
The banyan tree supported an entire small ________.,ecosystem
The narrator remained calm during the animal ________.,conflict
The tree represented coexistence of many life ________.,forms
The boy’s curiosity helped him understand ________.,wildlife
The banyan tree offered a safe place for quiet ________.,reflection
The fight ended with the mongoose’s ________.,victory
The story highlights the raw power of ________.,nature
The boy’s experience strengthened his love for ________.,animals
The banyan tree was central to many childhood ________.,memories
The narrator learned respect for the laws of ________.,nature
The animals’ actions were guided by survival ________.,instinct
The banyan tree remained calm amid natural ________.,chaos
